#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,1.20441108969403,0.516296500090763,1.51484662031467
5,1,1.20441108969403,0.667446281747065,1.87366727554893
6,1,1.20441108969403,0.832717615854085,2.03156169035331
7,1,1.20441108969403,0.998540587011188,2.1307414424454
8,1,1.20441108969403,1.16215154084066,2.34871373664515
9,1,1.20441108969403,1.28622672532482,2.71693419535113
10,1,1.20441108969403,1.44280079208766,2.96169435588306
11,1,1.20441108969403,1.60044454438733,3.15983450171991
12,1,1.20441108969403,1.74649449830024,3.49032087457289
13,1,1.20441108969403,1.8199143573926,3.32761210818609
14,1,1.20441108969403,1.9556407197633,3.32425088556948
15,1,1.20441108969403,1.97650556292713,3.32219305155389
16,1,1.20441108969403,1.93371924712677,3.32043349572095
17,1,1.20441108969403,2.06812357356283,3.31743879431611
18,1,1.20441108969403,2.16081415935647,3.76898208042793
19,1,1.20441108969403,2.27198645244418,3.96631152377865
20,1,1.20441108969403,2.38324986509097,3.94973016047122
21,1,1.20441108969403,2.48236067603416,3.83524192884823
22,1,1.20441108969403,2.57453308999125,3.68987628177182
23,1,1.20441108969403,2.65187131872229,3.53530035765056
24,1,1.20441108969403,2.73359690580317,4.29473919958447
25,1,1.20441108969403,2.81798819397351,4.13113718748346
26,1,1.20441108969403,2.88443721066544,3.97324543211846
27,1,1.20441108969403,2.9390449318506,3.86469889512266
28,1,1.20441108969403,3.00997199548901,3.77342261173691
29,1,1.20441108969403,3.08569742311227,3.71028013573155
30,1,1.20441108969403,3.12024790318961,3.65058518064634
31,1,1.20441108969403,3.24473907913296,3.61435457396656
32,1,1.20441108969403,3.37921341495549,3.53877917119111
