#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,4030660348.48,667186042.59,8373648098.89,667086931.50
5,4030660348.48,667186042.59,6478170207.11,667389751.58
6,4030660348.48,667186042.59,5188085059.56,667385124.94
7,4030660348.48,667186042.59,4330561240.33,667022544.08
8,4030660348.48,667186042.59,3716880666.22,667073275.83
9,4030660348.48,667186042.59,3356666186.58,667513958.92
10,4030660348.48,667186042.59,2988506950.83,667487637.92
11,4030660348.48,667186042.59,2696841433.19,667645460.11
12,4030660348.48,667186042.59,2463343206.28,667376551.89
13,4030660348.48,667186042.59,2331471632.69,666910172.25
14,4030660348.48,667186042.59,2163825149.69,666974411.92
15,4030660348.48,667186042.59,2114643986.61,667049433.42
16,4030660348.48,667186042.59,1943679185.08,666995453.47
17,4030660348.48,667186042.59,1837458521.97,667817036.50
18,4030660348.48,667186042.59,1737401194.36,667327763.25
19,4030660348.48,667186042.59,1655048788.31,667573339.00
20,4030660348.48,667186042.59,1588947093.72,667096149.39
21,4030660348.48,667186042.59,1517207588.11,667362580.36
22,4030660348.48,667186042.59,1475420461.75,667170184.28
23,4030660348.48,667186042.59,1475359623.58,667647735.25
24,4030660348.48,667186042.59,1382385399.81,668201015.47
25,4030660348.48,667186042.59,1344219981.06,667623807.58
26,4030660348.48,667186042.59,1309283038.64,667168953.31
27,4030660348.48,667186042.59,1279856546.03,666987624.75
28,4030660348.48,667186042.59,1252957361.69,667150903.03
29,4030660348.48,667186042.59,1249229245.03,666963165.17
30,4030660348.48,667186042.59,1195137088.53,666969038.69
31,4030660348.48,667186042.59,1143387444.86,667761109.28
32,4030660348.48,667186042.59,1174712244.83,668515859.97
