#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1137163352.34,207899346.83,1772181008.75,208563405.06
5,1137163352.34,207899346.83,1373426498.44,208460734.97
6,1137163352.34,207899346.83,1102988189.83,208444515.92
7,1137163352.34,207899346.83,978984859.78,208425144.56
8,1137163352.34,207899346.83,868012902.69,208478606.53
9,1137163352.34,207899346.83,729461432.44,208421223.47
10,1137163352.34,207899346.83,639984851.33,208452653.61
11,1137163352.34,207899346.83,582757640.69,208296142.92
12,1137163352.34,207899346.83,552572178.86,208397567.92
13,1137163352.34,207899346.83,528070840.14,208362438.17
14,1137163352.34,207899346.83,488006520.28,208370487.03
15,1137163352.34,207899346.83,441070485.11,208434105.89
16,1137163352.34,207899346.83,668567706.67,209044449.22
17,1137163352.34,207899346.83,424305496.56,208312621.44
18,1137163352.34,207899346.83,421008866.75,208667140.19
19,1137163352.34,207899346.83,537036702.78,208649216.50
20,1137163352.34,207899346.83,508197867.19,208548226.25
21,1137163352.34,207899346.83,483933001.08,208740003.94
22,1137163352.34,207899346.83,465563921.42,208727475.36
23,1137163352.34,207899346.83,450248490.92,208798613.25
24,1137163352.34,207899346.83,456312475.28,208598648.94
25,1137163352.34,207899346.83,440105496.61,208539867.58
26,1137163352.34,207899346.83,409601533.75,208507090.33
27,1137163352.34,207899346.83,397748306.31,208899201.47
28,1137163352.34,207899346.83,398561858.69,208770858.97
29,1137163352.34,207899346.83,385252198.72,208668430.47
30,1137163352.34,207899346.83,374642336.67,208570062.97
31,1137163352.34,207899346.83,364247689.94,208653234.94
32,1137163352.34,207899346.83,345968655.25,208716065.44
