#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,30139089.91,12445510.04,71326448.28,13731098.69
5,30139089.91,12445510.04,55704789.83,13759328.03
6,30139089.91,12445510.04,44795044.58,13729753.14
7,30139089.91,12445510.04,39912696.69,13732578.94
8,30139089.91,12445510.04,34728005.78,13749756.25
9,30139089.91,12445510.04,29366921.78,13779017.19
10,30139089.91,12445510.04,27819194.92,13688403.14
11,30139089.91,12445510.04,23868093.64,13706646.69
12,30139089.91,12445510.04,23164549.08,13758455.83
13,30139089.91,12445510.04,20496854.89,13716155.42
14,30139089.91,12445510.04,21471533.31,13721184.89
15,30139089.91,12445510.04,19178837.19,13672899.69
16,30139089.91,12445510.04,18255882.39,13642805.47
17,30139089.91,12445510.04,17190450.03,13654772.97
18,30139089.91,12445510.04,16842063.42,13933428.89
19,30139089.91,12445510.04,22362505.39,13914977.53
20,30139089.91,12445510.04,20132880.72,14182173.86
21,30139089.91,12445510.04,16725453.94,13922159.11
22,30139089.91,12445510.04,17283785.03,13804707.50
23,30139089.91,12445510.04,17739314.47,13827587.14
24,30139089.91,12445510.04,16901245.69,13882181.31
25,30139089.91,12445510.04,16671452.69,13806258.19
26,30139089.91,12445510.04,14954515.25,13797307.39
27,30139089.91,12445510.04,14677520.19,14286999.17
28,30139089.91,12445510.04,12925664.97,13796597.81
29,30139089.91,12445510.04,13987400.81,14164913.75
30,30139089.91,12445510.04,13072971.17,13773767.08
31,30139089.91,12445510.04,13219616.14,13917700.39
32,30139089.91,12445510.04,12030659.58,13655705.61
