#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,1.24269426653511,0.772437283624525,2.07939907575222
5,1,1.24269426653511,0.98905642760896,2.21795865984784
6,1,1.24269426653511,1.23873934518339,2.83724697903301
7,1,1.24269426653511,1.42107499387004,3.16593922676917
8,1,1.24269426653511,1.57349379528545,3.46130379733763
9,1,1.24269426653511,1.919721067413,3.46545458590478
10,1,1.24269426653511,2.14179746855907,3.4627695563205
11,1,1.24269426653511,2.3538010390477,3.43447104683677
12,1,1.24269426653511,2.55315073344998,4.904798805342
13,1,1.24269426653511,2.72900235407704,4.76949474121238
14,1,1.24269426653511,2.90037893226447,4.61177942663105
15,1,1.24269426653511,3.11609805786622,4.40666493774785
16,1,1.24269426653511,3.34384943790526,4.31692220553759
17,1,1.24269426653511,3.32778084167247,4.33241657359809
18,1,1.24269426653511,3.29317479541468,4.34207652721519
19,1,1.24269426653511,2.58671276392677,4.36448418274654
20,1,1.24269426653511,2.68378119367001,4.38715317034151
21,1,1.24269426653511,2.76327708787026,4.42028776766795
22,1,1.24269426653511,2.8530878171783,4.43638701568402
23,1,1.24269426653511,2.93888696495109,4.47186778777102
24,1,1.24269426653511,2.98831566722429,4.51885085307884
25,1,1.24269426653511,3.10852176535728,4.50556168232468
26,1,1.24269426653511,3.20108527776521,4.50452005398372
27,1,1.24269426653511,3.30449916197225,4.43577115697148
28,1,1.24269426653511,3.40357565587979,4.33126592826021
29,1,1.24269426653511,3.45281896939345,4.21402664316917
30,1,1.24269426653511,3.57236229658858,4.11989893057558
31,1,1.24269426653511,3.67725044721772,4.05176781671594
32,1,1.24269426653511,3.80087716330873,3.97705185519724
