#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,22174099664.47,16300141953.61,23501941265.72,9691116513.83
5,22174099664.47,16300141953.61,18112646415.17,8679165769.61
6,22174099664.47,16300141953.61,14497605912.89,7616331822.89
7,22174099664.47,16300141953.61,12452148265.17,6148990028.83
8,22174099664.47,16300141953.61,10675277770.00,6050157067.83
9,22174099664.47,16300141953.61,9355999592.83,6054713632.17
10,22174099664.47,16300141953.61,8332674572.61,6058761846.56
11,22174099664.47,16300141953.61,7528515113.17,6063529935.94
12,22174099664.47,16300141953.61,6928733453.17,6062902344.28
13,22174099664.47,16300141953.61,6536766674.83,6050392547.56
14,22174099664.47,16300141953.61,6421815061.61,6077427920.28
15,22174099664.47,16300141953.61,6261940667.06,6083799297.83
16,22174099664.47,16300141953.61,6294802853.72,6083483328.44
17,22174099664.47,16300141953.61,6261878653.06,6083606424.22
18,22174099664.47,16300141953.61,6367619477.72,6088147549.17
19,22174099664.47,16300141953.61,6145217110.06,6090441115.39
20,22174099664.47,16300141953.61,6119577661.83,6085796627.06
21,22174099664.47,16300141953.61,6041645400.56,6106171007.17
22,22174099664.47,16300141953.61,5948494016.94,6124222500.67
23,22174099664.47,16300141953.61,5788721344.39,6153665065.00
24,22174099664.47,16300141953.61,5651618219.78,6180576592.06
25,22174099664.47,16300141953.61,5602651473.67,6218596648.39
26,22174099664.47,16300141953.61,5533273796.50,6262613192.67
27,22174099664.47,16300141953.61,5485085582.17,6314020190.50
28,22174099664.47,16300141953.61,5425974777.22,6347032092.56
29,22174099664.47,16300141953.61,5357716621.83,6392571933.94
30,22174099664.47,16300141953.61,5316476297.72,6424468247.00
31,22174099664.47,16300141953.61,5238442183.94,6466237772.67
32,22174099664.47,16300141953.61,5252729901.22,6499885993.83
33,22174099664.47,16300141953.61,5309437743.11,6520876726.17
34,22174099664.47,16300141953.61,5186519300.17,6541935049.06
35,22174099664.47,16300141953.61,5184231726.89,6573638177.50
36,22174099664.47,16300141953.61,5225315337.06,6588857952.39
37,22174099664.47,16300141953.61,5291706341.56,6610140961.28
38,22174099664.47,16300141953.61,5467618179.89,6615615396.94
39,22174099664.47,16300141953.61,5136263243.00,6646636242.89
40,22174099664.47,16300141953.61,4993740441.17,6673171174.44
