#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,10188190213.76,1349780097.88,7680830838.06,1350358259.11
5,10188190213.76,1349780097.88,5807367556.67,1352800539.33
6,10188190213.76,1349780097.88,4636649796.67,1350351959.33
7,10188190213.76,1349780097.88,3928175129.44,1352933364.00
8,10188190213.76,1349780097.88,3498293550.00,1352971731.28
9,10188190213.76,1349780097.88,3178544229.06,1350549638.94
10,10188190213.76,1349780097.88,3029310190.28,1353263878.11
11,10188190213.76,1349780097.88,2945165863.39,1350659101.39
12,10188190213.76,1349780097.88,2861706558.39,1351562599.28
13,10188190213.76,1349780097.88,3632777160.83,1354392866.17
14,10188190213.76,1349780097.88,3397379639.44,1354290554.94
15,10188190213.76,1349780097.88,3304079642.94,1351856365.89
16,10188190213.76,1349780097.88,2990099721.83,1354159305.83
17,10188190213.76,1349780097.88,2899631424.22,1351860132.61
18,10188190213.76,1349780097.88,2862893011.67,1351965039.17
19,10188190213.76,1349780097.88,2791062326.44,1351449503.28
20,10188190213.76,1349780097.88,2867854166.28,1354191747.00
21,10188190213.76,1349780097.88,2274123481.67,1353171959.22
22,10188190213.76,1349780097.88,2400626437.06,1351189433.56
23,10188190213.76,1349780097.88,2703004648.28,1354334353.44
24,10188190213.76,1349780097.88,2713732531.11,1354047801.17
25,10188190213.76,1349780097.88,2512814327.83,1351041586.28
26,10188190213.76,1349780097.88,2432063991.94,1354212432.61
27,10188190213.76,1349780097.88,2354791504.72,1351036226.06
28,10188190213.76,1349780097.88,2375564491.28,1353915385.17
29,10188190213.76,1349780097.88,2337485689.17,1353935774.50
30,10188190213.76,1349780097.88,2353020610.33,1351653496.17
31,10188190213.76,1349780097.88,2337819974.94,1353910742.44
32,10188190213.76,1349780097.88,2320319280.06,1354069512.28
33,10188190213.76,1349780097.88,2346053358.78,1354270990.50
34,10188190213.76,1349780097.88,2303476970.78,1351442550.28
35,10188190213.76,1349780097.88,2320675794.72,1351217155.22
36,10188190213.76,1349780097.88,2249631157.56,1354052532.89
37,10188190213.76,1349780097.88,2250922475.39,1351842347.89
38,10188190213.76,1349780097.88,2245990342.11,1353761085.11
39,10188190213.76,1349780097.88,2265668741.33,1351256847.72
40,10188190213.76,1349780097.88,2134097093.83,1354329094.94
