#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,57693432169.38,42341951029.49,44099880411.67,21558184971.78
5,57693432169.38,42341951029.49,33863028524.33,16141687191.56
6,57693432169.38,42341951029.49,27020460846.28,13136263652.44
7,57693432169.38,42341951029.49,22408524313.67,13133608576.39
8,57693432169.38,42341951029.49,19734560840.44,13149065470.61
9,57693432169.38,42341951029.49,18178296952.11,13148036486.72
10,57693432169.38,42341951029.49,17359663567.72,13165612013.83
11,57693432169.38,42341951029.49,15911794943.56,13275202314.39
12,57693432169.38,42341951029.49,15265293481.44,13419076432.44
13,57693432169.38,42341951029.49,15168287505.89,13601992938.72
14,57693432169.38,42341951029.49,14396820300.56,13750614774.17
15,57693432169.38,42341951029.49,13790368607.00,13955579066.83
16,57693432169.38,42341951029.49,13524921785.94,14165556726.50
17,57693432169.38,42341951029.49,13229826693.89,14361964322.83
18,57693432169.38,42341951029.49,13009425474.22,14514399211.28
19,57693432169.38,42341951029.49,12580425946.56,14626444333.17
20,57693432169.38,42341951029.49,12137845342.78,14747121119.33
21,57693432169.38,42341951029.49,12388804365.17,14707353777.89
22,57693432169.38,42341951029.49,12640924523.56,14704196795.06
23,57693432169.38,42341951029.49,15800798517.00,14766135872.83
24,57693432169.38,42341951029.49,15245201058.83,14652176832.78
25,57693432169.38,42341951029.49,14752329588.78,14551058410.22
26,57693432169.38,42341951029.49,14261983905.78,14424601007.28
27,57693432169.38,42341951029.49,13828504001.33,14372235538.89
28,57693432169.38,42341951029.49,13732409987.44,14345730957.22
29,57693432169.38,42341951029.49,13892428481.72,14334942458.61
30,57693432169.38,42341951029.49,14240074966.67,14332308482.72
31,57693432169.38,42341951029.49,14023538302.17,14330907130.78
32,57693432169.38,42341951029.49,13966003635.17,14320427585.78
33,57693432169.38,42341951029.49,13933734114.67,14411007844.00
34,57693432169.38,42341951029.49,13895135363.33,14483703506.78
35,57693432169.38,42341951029.49,13945272922.83,14588367156.33
36,57693432169.38,42341951029.49,13894564589.83,14670906152.44
37,57693432169.38,42341951029.49,13983510875.28,14752540290.72
38,57693432169.38,42341951029.49,14165108502.33,14825542751.83
39,57693432169.38,42341951029.49,14212358666.72,14864387865.33
40,57693432169.38,42341951029.49,13829580013.78,14956348697.67
