#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,49546702.27,7239201.86,47517012.23,41226713.67,8528095.07
3000,486471379.39,53091027.39,425244846.10,311810491.69,60190412.57
5000,1297665855.12,142816182.36,1199263244.61,833322454.60,161869741.56
7000,2506438462.47,277645379.92,2282025411.42,1641082412.44,314807441.06
9000,3641402701.72,458021189.12,3585727034.90,2664812152.94,519730720.04
11000,5764190685.60,675564193.16,5544167983.13,3978840241.11,767034414.81
13000,8612970330.86,944581610.92,7611090447.84,5611290980.60,1072010209.80
15000,12460403389.53,1257994840.48,10513790888.22,7473869923.64,1427733066.19
17000,14144232636.63,9157148142.47,13981276356.77,8781930153.81,9929942695.81
19000,17867755172.34,11742801714.58,16726604574.03,11221631458.43,12438202811.02
21000,22431363781.03,13993496951.20,21338630341.50,13744761118.47,15139421443.15
23000,25840618430.47,17775793639.64,25391098633.11,15644910673.81,18279531977.52
25000,29437421841.27,17852284042.06,30139442025.99,18858758232.39,21832261658.76
