#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,5.17531871773708,1.99343423654931,0.909870656112863,4.96074322859944
3000,1,6.90925882422043,1.76029870234365,1.05641571382036,6.78436896987429
5000,1,7.09899811228725,1.74043629872917,1.05964781710205,6.98768926027592
7000,1,7.05010228805418,1.70373593523651,1.04433464641354,6.89147682945996
9000,1,7.4822717275657,1.79106744210558,1.10830781436337,7.33405231964936
11000,1,7.64287716528154,1.80154380187844,1.11285722193637,7.50027941776203
13000,1,7.51636574454941,1.78939009669494,1.10865515743134,7.46966412410339
15000,1,7.58879126882644,1.77763077560135,1.11024203787641,7.47685177982473
17000,1,1.09033104821999,1.72413771869386,1.09164806321315,2.29582507127894
19000,1,1.11459784725159,1.74663359652233,1.11552209931807,2.31994927185274
21000,1,1.13325225585015,1.73801424723965,1.13430401197111,2.33675570010094
23000,1,1.16527684146161,1.77838555235728,1.16670577469397,2.45748700064192
25000,1,1.13145118117886,1.69188930616714,1.1332541762665,2.28670838389241
27000,1,1.11186309752376,1.64973242952878,1.11289538174316,2.34017278752562
29000,1,1.07526853612291,1.58862529392958,1.07630779750485,2.2511797484834
31000,1,1.09728601817913,1.59206085820682,1.09883960732833,2.22299501766462
33000,1,1.07364642297743,1.56172206550113,1.07485686574617,2.20448505291368
35000,1,1.06522484152099,1.4989848296246,1.06622682086422,2.15729256441326
