#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3S,StencilCudaHybrid3
1000,1,2.42168378902372,2.35177422494819,2.42168378902372,2.21670805197039,2.19764628067764
3000,1,5.85435080263378,3.52982702124078,5.85435080263378,5.64564588873099,5.81750025142267
5000,1,5.46977837919742,3.26787725210351,5.46977837919742,5.29021341291334,5.46160845297489
7000,1,5.75684558468476,3.10771858026847,5.75684558468476,5.58058056457604,5.75972856802966
9000,1,6.04128397655484,3.47825219132916,6.04128397655484,5.85074077602035,6.04344101626605
11000,1,6.58286157356007,3.79732298814221,6.58286157356007,6.35198524652758,6.58674784700806
13000,1,6.69175579423646,3.90236457361964,6.69175579423646,6.46285953625031,6.69763245909963
15000,1,6.55330475327318,3.79802061292142,6.55330475327318,6.33536592711118,6.56084918315543
17000,1,1.18772764659769,3.79887300850547,1.18772764659769,3.39013328547154,4.26438217957839
19000,1,1.19194971333056,3.81127696603221,1.15511899438305,3.78049174994349,4.10538557623857
21000,1,1.22939054907954,3.95712174267938,1.18967590087574,4.29196372649569,4.3687099411307
23000,1,1.2843456408014,4.06129491451159,1.27833945357437,3.86485375080968,4.21490503717584
25000,1,1.21771299448448,3.83742601500971,1.19915631786443,3.43107051763036,4.22065210479196
27000,1,1.21289229686135,3.68942419945007,1.20216160500071,3.67194200061574,4.01617925117419
29000,1,1.24269426653511,3.80440235173864,1.23396194004044,3.89748793033115,4.18352972679811
31000,1,1.23127637816849,3.718717866222,1.21559513946764,4.10618795523151,4.25224135698405
33000,1,1.22454573000063,3.68301827091466,1.23411506283616,3.51143954343014,4.13183885717792
35000,1,1.23066533208595,3.58548916098904,1.22907600463299,3.70260848683148,4.22789085595327
37000,1,1.20441108969403,3.46357667105593,1.19496690598628,3.59666162118775,4.18976612942018
39000,1,1.19234372006348,3.37080271082187,1.20826754294244,3.78402814162393,4.23009468311694
41000,1,1.20951615442158,3.31052575027781,1.22573699892147,4.07447915949158,4.27020241157688
43000,1,1.2085974700525,3.26973674259777,1.21310685601264,3.87026939241285,4.2812016237673
