#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,1.87031958240229,3.18385303373681,0.386039091274238,1.66448023575142
3000,1,6.32794745025497,4.32767151521857,1.02586936099885,6.24812725097742
5000,1,6.30593247594059,4.23433486725381,0.991989323907151,6.27307440070185
7000,1,6.58834597300937,4.25121100394189,1.03553698757371,6.57137510640795
9000,1,7.17881205455037,4.70148047045008,1.12875783448761,7.16778393328761
11000,1,7.58154315629184,4.85997524675213,1.17494282577984,7.57200359758918
13000,1,7.54803706897282,4.72364103691503,1.17014685718883,7.54111511188194
15000,1,7.54943397219555,4.56568247398834,1.17167780111377,7.54216045608407
17000,1,1.32875307670259,4.55878048959665,1.28567781102967,4.17182176536435
19000,1,1.36036236540622,4.49407431241033,1.31697981317449,4.68482537457808
21000,1,1.39686463732387,4.73664643235637,1.35238378659699,5.20759999152008
23000,1,1.41175775119465,4.89859947675057,1.40339018552819,5.56299957703117
25000,1,1.40076718152602,4.45713137990524,1.37960619263723,4.97215964688056
27000,1,1.35934258744594,4.10137388601937,1.34581875474117,4.42432030653172
29000,1,1.36697688638543,4.21856129546216,1.35709500969715,4.24508951070642
31000,1,1.36255960735485,4.15672451214553,1.34769006640298,4.46196769519812
33000,1,1.36220914455743,3.91822342558289,1.3727420505265,4.83515348242137
35000,1,1.37508700017306,3.89535621933397,1.37367011142125,4.99092567004559
37000,1,1.34755350884923,3.68680026416989,1.33855105513989,4.8170801958044
39000,1,1.33848650217131,3.85746614445323,1.35784228415699,4.23859911508539
41000,1,1.36337006191628,3.57523837403004,1.38355701061107,4.75734979942787
43000,1,1.40118323108571,3.66811720241227,1.40774326413294,4.41280336068147
45000,1,1.41390277857676,3.6523065777766,1.41508456298782,4.55138994655437
47000,1,1.39325887908316,3.43678646397717,1.41412263854447,4.70671232637637
49000,1,1.37334813428506,3.69883951546802,1.36646820460468,3.83530898746871
