#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,39643682.38,7660143.18,19887128.28,7660143.18,8176158.93
3000,389775353.91,56413482.81,221425689.51,56413482.81,57111722.63
5000,1079383469.98,152047296.38,620179819.72,152047296.38,152804088.19
7000,2080241760.26,295065472.14,1220988368.70,295065472.14,295817533.12
9000,3645422649.68,487208000.78,2035335221.88,487208000.78,488004351.03
11000,5465117189.24,715060188.86,3033574417.42,715060188.86,720182271.17
13000,7601884282.90,1011377644.63,4248310246.57,1011377644.63,1014872842.71
15000,10133250035.20,1335291705.39,5700424505.63,1335291705.39,1352192062.57
17000,12921915116.62,11851368570.78,7494711690.67,11851368570.78,6144837075.67
19000,16491970371.92,14796341489.97,9442146541.07,14784082163.86,7581921427.36
21000,20484811854.28,18076127136.33,11786331376.06,18059366482.08,9001011451.90
23000,25596821163.17,21966300412.41,14393291223.74,21939396991.40,10821062937.58
25000,29359591908.93,25948615722.28,17353139949.47,25907331756.46,12899679584.60
27000,33662040957.49,30275346877.20,20404545825.11,30247264486.59,15575290219.47
29000,38024207287.21,35362522021.07,23935290110.58,35328376673.81,18255075665.41
31000,44326004937.84,40396035494.37,27841903598.94,40338921751.84,20862522678.01
33000,49720503196.21,46309941645.71,31836972976.53,46257790019.04,24424999131.43
35000,55487280141.31,52089735404.67,37016572179.19,52040784433.03,29186580159.76
