#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,2.42168378902372,2.35177422494819,2.42168378902372,2.16085752014434
3000,1,5.85435080263378,3.52982702124078,5.85435080263378,5.8010277333015
5000,1,5.46977837919742,3.26787725210351,5.46977837919742,5.45554571552093
7000,1,5.75684558468476,3.10771858026847,5.75684558468476,5.75412078040137
9000,1,6.04128397655484,3.47825219132916,6.04128397655484,6.03953903430778
11000,1,6.58286157356007,3.79732298814221,6.58286157356007,6.58417883024824
13000,1,6.69175579423646,3.90236457361964,6.69175579423646,6.69516581121796
15000,1,6.55330475327318,3.79802061292142,6.55330475327318,6.55909039933975
17000,1,1.18772764659769,3.79887300850547,1.18772764659769,3.25359955565585
19000,1,1.19194971333056,3.81127696603221,1.15511899438305,3.51580330922115
21000,1,1.22939054907954,3.95712174267938,1.18967590087574,3.83477901511524
23000,1,1.2843456408014,4.06129491451159,1.27833945357437,4.14991584768448
25000,1,1.21771299448448,3.83742601500971,1.19915631786443,4.07075136473757
27000,1,1.21289229686135,3.68942419945007,1.20216160500071,3.34794209720989
29000,1,1.24269426653511,3.80440235173864,1.23396194004044,3.3007553734833
31000,1,1.23127637816849,3.718717866222,1.21559513946764,3.94415493355318
33000,1,1.22454573000063,3.68301827091466,1.23411506283616,3.51721856914994
35000,1,1.23066533208595,3.58548916098904,1.22907600463299,3.56464865886302
37000,1,1.20441108969403,3.46357667105593,1.19496690598628,3.53921782841566
39000,1,1.19234372006348,3.37080271082187,1.20826754294244,3.57232328677474
41000,1,1.20951615442158,3.31052575027781,1.22573699892147,3.54184775549929
43000,1,1.2085974700525,3.26973674259777,1.21310685601264,3.22894931055892
45000,1,1.24233929044771,3.23784632404798,1.24245034383899,3.17086067708768
47000,1,1.22201842562815,2.93653847034035,1.2397553070343,3.19706431620348
49000,1,1.23190133099029,2.69666322166843,1.22436319711886,3.28111112252877
