#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,23359771.28,12489721.81,7336950.24,12489721.81,14034273.75
3000,484250749.94,76525722.40,111896373.89,76525722.40,77503343.08
5000,1289574296.14,204501761.01,304551797.76,204501761.01,205572931.83
7000,2623242836.86,398164098.79,617057782.93,398164098.79,399192375.17
9000,4716306612.48,656975914.21,1003153504.97,656975914.21,657986716.17
11000,7330793085.29,966926248.94,1508401321.63,966926248.94,968144427.14
13000,10188190213.76,1349780097.88,2156851067.67,1349780097.88,1351019055.22
15000,13576412013.08,1798335088.84,2973577792.68,1798335088.84,1800069369.00
17000,17340140070.98,13049934088.59,3803679538.98,13049934088.59,4156491107.78
19000,22174099664.47,16300141953.61,4934074989.20,16837083942.10,4733175282.22
21000,27830553802.61,19923586766.38,5875581848.90,20578887501.04,5344218804.81
23000,33496885102.52,23727077166.16,6838053460.28,23868547356.21,6021371139.56
25000,38880344360.63,27756464367.10,8723176645.84,28182204869.86,7819609007.33
27000,44290264461.49,32582120850.57,10798884884.03,32909531320.96,10010636977.64
29000,50657911125.67,37058352361.48,12008338288.26,37328197925.49,11933296341.08
31000,57693432169.38,42341951029.49,13879541932.79,42809124744.36,12930042553.08
33000,65808193536.69,48309904392.89,16795416286.63,47939227556.59,13610362892.50
35000,74081471334.43,53874024934.50,19017893913.46,53929593953.08,14843232745.19
37000,81818279170.31,60716163501.50,22192219080.99,61124511355.87,16985035715.53
39000,91335187126.42,68237660206.70,23677508422.92,67264945415.31,21548437265.83
41000,102488118753.16,75172634060.27,28666093846.39,74075819042.61,21543111832.03
43000,117061815878.58,83544973477.79,31913324852.76,83155656902.17,26527766209.03
45000,126097887565.36,89184270287.87,34525548411.69,89109789523.19,27705357933.75
47000,137428194536.53,98637946328.37,39987411489.48,97182656433.52,29198341646.33
49000,146304209446.36,106531043217.62,39554084148.43,107067408486.60,38146655178.08
