"machine","dim_X","dim_Y","dim_Z","iteration","cuDeviceGetAttribute_sum","cudaSetupArgument_sum","cudaMallocHost_sum","cudaGetDeviceCount_sum","cudaGetDeviceProperties_sum","cudaMemGetInfo_sum","cudaLaunch_sum","cudaMalloc_sum","cudaMemcpy_sum","CUDA memcpy HtoD_sum","CUDA memcpy DtoH_sum","cudaFree_sum","cudaLaunch (gpu_stencil37_hack1_cp_slices_sum","gpu_stencil37_hack1_cp_slices_sum","cudaLaunch (gpu_stencil37_hack1_cp_rows_sum","gpu_stencil37_hack1_cp_rows_sum","cudaLaunch (gpu_stencil37_hack1_cp_cols_sum","gpu_stencil37_hack1_cp_cols_sum","cudaLaunch (gpu_stencil37_hack2_sum","gpu_stencil37_hack2_sum","total_CUDA memcpy HtoD_sum","total_CUDA memcpy DtoH_sum","total_kernel_execution_time_sum","total_CUDA_functions_sum","total_running_time_sum","cuDeviceGetAttribute_min","cudaSetupArgument_min","cudaMallocHost_min","cudaGetDeviceCount_min","cudaGetDeviceProperties_min","cudaMemGetInfo_min","cudaLaunch_min","cudaMalloc_min","cudaMemcpy_min","CUDA memcpy HtoD_min","CUDA memcpy DtoH_min","cudaFree_min","cudaLaunch (gpu_stencil37_hack1_cp_slices_min","gpu_stencil37_hack1_cp_slices_min","cudaLaunch (gpu_stencil37_hack1_cp_rows_min","gpu_stencil37_hack1_cp_rows_min","cudaLaunch (gpu_stencil37_hack1_cp_cols_min","gpu_stencil37_hack1_cp_cols_min","cudaLaunch (gpu_stencil37_hack2_min","gpu_stencil37_hack2_min","total_CUDA memcpy HtoD_min","total_CUDA memcpy DtoH_min","total_kernel_execution_time_min","total_CUDA_functions_min","total_running_time_min","cuDeviceGetAttribute_max","cudaSetupArgument_max","cudaMallocHost_max","cudaGetDeviceCount_max","cudaGetDeviceProperties_max","cudaMemGetInfo_max","cudaLaunch_max","cudaMalloc_max","cudaMemcpy_max","CUDA memcpy HtoD_max","CUDA memcpy DtoH_max","cudaFree_max","cudaLaunch (gpu_stencil37_hack1_cp_slices_max","gpu_stencil37_hack1_cp_slices_max","cudaLaunch (gpu_stencil37_hack1_cp_rows_max","gpu_stencil37_hack1_cp_rows_max","cudaLaunch (gpu_stencil37_hack1_cp_cols_max","gpu_stencil37_hack1_cp_cols_max","cudaLaunch (gpu_stencil37_hack2_max","gpu_stencil37_hack2_max","total_CUDA memcpy HtoD_max","total_CUDA memcpy DtoH_max","total_kernel_execution_time_max","total_CUDA_functions_max","total_running_time_max","cuDeviceGetAttribute_mean","cudaSetupArgument_mean","cudaMallocHost_mean","cudaGetDeviceCount_mean","cudaGetDeviceProperties_mean","cudaMemGetInfo_mean","cudaLaunch_mean","cudaMalloc_mean","cudaMemcpy_mean","CUDA memcpy HtoD_mean","CUDA memcpy DtoH_mean","cudaFree_mean","cudaLaunch (gpu_stencil37_hack1_cp_slices_mean","gpu_stencil37_hack1_cp_slices_mean","cudaLaunch (gpu_stencil37_hack1_cp_rows_mean","gpu_stencil37_hack1_cp_rows_mean","cudaLaunch (gpu_stencil37_hack1_cp_cols_mean","gpu_stencil37_hack1_cp_cols_mean","cudaLaunch (gpu_stencil37_hack2_mean","gpu_stencil37_hack2_mean","total_CUDA memcpy HtoD_mean","total_CUDA memcpy DtoH_mean","total_kernel_execution_time_mean","total_CUDA_functions_mean","total_running_time_mean","cuDeviceGetAttribute_invocations","cudaSetupArgument_invocations","cudaMallocHost_invocations","cudaGetDeviceCount_invocations","cudaGetDeviceProperties_invocations","cudaMemGetInfo_invocations","cudaLaunch_invocations","cudaMalloc_invocations","cudaMemcpy_invocations","CUDA memcpy HtoD_invocations","CUDA memcpy DtoH_invocations","cudaFree_invocations","cudaLaunch (gpu_stencil37_hack1_cp_slices_invocations","gpu_stencil37_hack1_cp_slices_invocations","cudaLaunch (gpu_stencil37_hack1_cp_rows_invocations","gpu_stencil37_hack1_cp_rows_invocations","cudaLaunch (gpu_stencil37_hack1_cp_cols_invocations","gpu_stencil37_hack1_cp_cols_invocations","cudaLaunch (gpu_stencil37_hack2_invocations","gpu_stencil37_hack2_invocations","total_CUDA memcpy HtoD_invocations","total_CUDA memcpy DtoH_invocations","total_kernel_execution_time_invocations","total_CUDA_functions_invocations","total_running_time_invocations","exec_time"
1,100,100,100,1,302701,38066,76125823,5109,1790671,1428981,415259,3028396,7885284,3810456,3803480,8248948,257086,109091,56128,315555,48379,567880,53666,2080350,3810456,3803480,3072876,7009183,27790698,107,141,1429575,470,322269,249241,8636,120446,777430,760972,760523,119165,26578,21633,9331,62145,8636,109186,9500,414630,760972,760523,0,0,0,116884,849,74696248,2003,444763,385327,149060,286901,807942,765131,760780,854736,149060,22176,16725,64097,13065,116610,14662,418054,765131,760780,0,0,0,3220.223,190.33,38062912,1021.8,358134.2,285796.2,20762.95,151419.8,788528.4,762091.2,760696,374952.2,51417.2,21818.2,11225.6,63111,9675.8,113576,10733.2,416070,762091.2,760696,0,0,0,94,200,2,5,5,5,20,20,10,5,5,22,5,5,5,5,5,5,5,5,5,5,0,0,0,4705025
1,100,100,100,2,261402,77305,76280051,4882,1777135,1160321,595518,3062976,7892728,3810041,3803993,8309668,305608,233828,100806,646985,89523,1118418,99581,4148573,3810041,3803993,6147804,6939539,30384374,108,139,1446085,467,317657,199367,6422,117739,777128,760875,760523,118387,7199,21825,6536,62433,6422,109474,7432,412039,760875,760523,0,0,0,100947,1009,74833966,1958,450596,347384,156181,309456,811696,765068,761516,869721,156181,25184,21743,67105,14564,115266,16248,416678,765068,761516,0,0,0,2780.872,193.2625,38140026,976.4,355427,232064.2,14887.95,153148.8,789272.8,762008.2,760798.6,377712.2,30560.8,23382.8,10080.6,64698.5,8952.3,111841.8,9958.1,414857.3,762008.2,760798.6,0,0,0,94,400,2,5,5,5,40,20,10,5,5,22,10,10,10,10,10,10,10,10,5,5,0,0,0,5085255.33
1,100,100,100,3,298514,126686,76900854,5460,1905466,1156257,748404,3085357,7892741,3806490,3807960,8384170,357429,349063,132581,978927,121907,1685756,136487,6234202,3806490,3807960,9247948,7326144,33684952,129,163,1451839,688,318289,191208,6304,120746,776513,760907,760555,120588,6404,21632,6337,61921,6304,109442,6767,411110,760907,760555,0,0,0,114995,1188,75449015,2017,482942,363986,163084,317807,812107,761516,765035,875239,163084,24480,18647,66657,14053,117314,15892,417958,761516,765035,0,0,0,3175.681,211.1433,38450427,1092,381093.2,231251.4,12473.4,154267.9,789274.1,761298,761592,381098.6,23828.6,23270.87,8838.733,65261.8,8127.133,112383.7,9099.133,415613.5,761298,761592,0,0,0,94,600,2,5,5,5,60,20,10,5,5,22,15,15,15,15,15,15,15,15,5,5,0,0,0,5756756.33
1,100,100,100,4,347985,148052,76456940,4479,1831560,1115234,879173,3010858,7891995,3806327,3802967,8224890,376031,479301,173897,1311123,156615,2237312,172630,8306679,3806327,3802967,12334415,7337341,36106678,183,139,1428498,559,322898,199215,6111,117144,777972,760875,760523,116853,6353,21792,6127,62017,6111,109153,6504,412454,760875,760523,0,0,0,134016,956,75028442,1845,481773,314624,155102,303721,815719,761387,760715,857317,155102,24864,18881,67073,14973,116194,16040,417830,761387,760715,0,0,0,3701.968,185.065,38228470,895.8,366312,223046.8,10989.66,150542.9,789199.5,761265.4,760593.4,373858.6,18801.55,23965.05,8694.85,65556.15,7830.75,111865.6,8631.5,415334,761265.4,760593.4,0,0,0,94,800,2,5,5,5,80,20,10,5,5,22,20,20,20,20,20,20,20,20,5,5,0,0,0,6253890.67
1,100,100,100,5,262596,185632,76237886,4990,1808541,1141663,1033864,3060560,7874523,3806617,3803159,8286819,421331,600777,205906,1641721,194088,2799561,212539,10386971,3806617,3803159,15429030,7497846,39129918,107,142,1422745,713,322918,200703,5960,118669,776882,760908,760523,115907,6430,22048,5960,61921,6149,109153,6507,412166,760908,760523,0,0,0,101397,835,74815141,1874,478305,316699,159250,305466,809558,761515,760843,888063,159250,25057,19306,67009,14033,115681,16312,417830,761515,760843,0,0,0,2793.574,185.632,38118943,998,361708.2,228332.6,10338.64,153028,787452.3,761323.4,760631.8,376673.6,16853.24,24031.08,8236.24,65668.84,7763.52,111982.4,8501.56,415478.8,761323.4,760631.8,0,0,0,94,1000,2,5,5,5,100,20,10,5,5,22,25,25,25,25,25,25,25,25,5,5,0,0,0,6840196.67
1,100,100,100,6,301539,222070,76279348,5238,1806180,1121355,1166983,3165798,8021378,3806392,3803511,8218828,456290,708553,233565,1982750,228133,3367794,248995,12432406,3806392,3803511,18491503,7789163,41973886,107,143,1466197,580,321153,198594,5915,118268,792322,760876,760523,119913,6117,21888,5959,62657,5915,109377,6274,410662,760876,760523,0,0,0,124675,944,74813151,1911,453840,317151,160150,357733,811505,761451,761131,855674,160150,24480,17977,67585,14566,115586,15715,417702,761451,761131,0,0,0,3207.862,185.0583,38139674,1047.6,361236,224271,9724.858,158289.9,802137.8,761278.4,760702.2,373583.1,15209.67,23618.43,7785.5,66091.67,7604.433,112259.8,8299.833,414413.5,761278.4,760702.2,0,0,0,94,1200,2,5,5,5,120,20,10,5,5,22,30,30,30,30,30,30,30,30,5,5,0,0,0,7404211.33
1,100,100,100,7,295475,252052,76401523,5815,1822910,1134770,1317050,3075537,7880527,3806615,3802904,8294224,494152,845931,277547,2305762,261409,3915833,283942,14538099,3806615,3802904,21605625,7903609,44685742,105,138,1444685,851,319533,191303,5916,119379,777627,760907,760523,118311,6143,22144,5916,61889,5921,108898,6315,410662,760907,760523,0,0,0,115639,1075,74956838,1820,490584,342518,162195,315894,812072,761483,760683,857467,162195,25088,18842,67105,14523,116385,15957,418502,761483,760683,0,0,0,3143.351,180.0371,38200762,1163,364582,226954,9407.5,153776.9,788052.7,761323,760580.8,377010.2,14118.63,24169.46,7929.914,65878.91,7468.829,111880.9,8112.629,415374.3,761323,760580.8,0,0,0,94,1400,2,5,5,5,140,20,10,5,5,22,35,35,35,35,35,35,35,35,5,5,0,0,0,7986307
1,100,100,100,8,288712,295458,76086747,4888,1815972,1167236,1510995,3103472,7885233,3806519,3802903,8253969,546847,948365,323692,2646727,311110,4470528,329346,16641361,3806519,3802903,24706981,8186733,47624129,108,139,1434663,744,317886,190025,6072,114119,777116,760907,760523,119916,6216,21728,6072,61921,6216,109377,6441,411174,760907,760523,0,0,0,115746,913,74652084,1644,489597,352711,165142,318137,813527,761451,760651,855220,165142,24512,18796,67297,14484,114946,16488,418182,761451,760651,0,0,0,3071.404,184.6612,38043374,977.6,363194.4,233447.2,9443.719,155173.6,788523.3,761303.8,760580.6,375180.4,13671.17,23709.12,8092.3,66168.18,7777.75,111763.2,8233.65,416034,761303.8,760580.6,0,0,0,94,1600,2,5,5,5,160,20,10,5,5,22,40,40,40,40,40,40,40,40,5,5,0,0,0,8546610
1,100,100,100,9,385412,344056,77918532,4835,1784700,1501761,1653269,3039893,7885946,3806550,3807799,8303630,577724,1073424,359245,2965416,346734,5029190,369566,18709230,3806550,3807799,27777260,8713926,50638139,185,137,1431528,564,317545,267250,6176,118447,777641,760907,760587,119619,6265,21728,6176,62081,6229,108673,6546,410886,760907,760587,0,0,0,151003,17645,76487004,1846,451363,406844,162738,311183,809779,761483,765291,904166,162738,24800,18377,67393,14843,117570,16067,419078,761483,765291,0,0,0,4100.128,191.1422,38959266,967,356940,300352.2,9184.828,151994.6,788594.6,761310,761559.8,377437.7,12838.31,23853.87,7983.222,65898.13,7705.2,111759.8,8212.578,415760.7,761310,761559.8,0,0,0,94,1800,2,5,5,5,180,20,10,5,5,22,45,45,45,45,45,45,45,45,5,5,0,0,0,9255789.67
1,100,100,50,1,291993,32949,135461059,3064,1745732,1146083,318474,3066907,4038942,1913016,1907257,5394447,179874,106944,49934,289124,41794,533669,46872,1044589,1913016,1907257,1974326,6605202,18360584,118,139,771733,281,302802,190588,7708,127230,396203,382212,381413,112771,15056,21216,8713,57473,7708,106337,8705,208291,382212,381413,0,0,0,114467,735,134689326,1766,447254,332197,117399,298657,423067,382725,381573,484879,117399,21696,12555,58496,9656,107137,10473,209507,382725,381573,0,0,0,3106.309,164.745,67730530,612.8,349146.4,229216.6,15923.7,153345.4,403894.2,382603.2,381451.4,245202.1,35974.8,21388.8,9986.8,57824.8,8358.8,106733.8,9374.4,208917.8,382603.2,381451.4,0,0,0,94,200,2,5,5,5,20,20,10,5,5,22,5,5,5,5,5,5,5,5,5,5,0,0,0,3046430.33
1,100,100,50,2,259149,75377,74659488,3013,1824367,1109753,523121,2753770,4061355,1917148,1907516,5484272,257458,215682,90454,579466,82606,1070832,92603,2086463,1917148,1907516,3952443,6548550,20288498,106,140,761582,325,306805,182694,6127,114856,395756,382662,381446,100893,6899,20992,6127,57153,6353,105953,7063,207940,382662,381446,0,0,0,100677,834,73897906,1307,431473,300186,156888,263024,440053,386278,381637,494432,156888,22144,19300,58881,14774,107682,15795,209923,386278,381637,0,0,0,2756.904,188.4425,37329744,602.6,364873.4,221950.6,13078.02,137688.5,406135.5,383429.6,381503.2,249285.1,25745.8,21568.2,9045.4,57946.6,8260.6,107083.2,9260.3,208646.3,383429.6,381503.2,0,0,0,94,400,2,5,5,5,40,20,10,5,5,22,10,10,10,10,10,10,10,10,5,5,0,0,0,3389012.67
1,100,100,50,3,260333,111413,74556044,3104,1680932,1083344,636677,2763971,4041903,1912892,1907580,5436362,283609,329923,118053,869101,111734,1609046,123281,3134668,1912892,1907580,5942738,6539774,22097085,105,139,779345,292,301813,180854,5804,113282,396951,382182,381445,96827,6243,21280,5804,57249,5969,106049,6214,208131,382182,381445,0,0,0,100625,832,73776699,1401,422727,298776,146060,248621,424535,382694,381637,481284,146060,22624,15728,58849,12744,108066,13942,210179,382694,381637,0,0,0,2769.5,185.6883,37278022,620.8,336186.4,216668.8,10611.28,138198.5,404190.3,382578.4,381516,247107.4,18907.27,21994.87,7870.2,57940.07,7448.933,107269.7,8218.733,208977.9,382578.4,381516,0,0,0,94,600,2,5,5,5,60,20,10,5,5,22,15,15,15,15,15,15,15,15,5,5,0,0,0,3927025.33
1,100,100,50,4,292405,162983,74679603,3163,1762637,1079439,797999,3066765,4052433,1912858,1912889,5507844,325660,436072,158489,1165517,147900,2147964,165950,4175644,1912858,1912889,7925197,7165391,24085750,107,139,778475,354,304801,183038,5788,125475,395738,382181,381381,106434,6180,21088,5982,57440,5788,105761,6183,207619,382181,381381,0,0,0,115627,863,73901128,1174,468982,307521,154335,270732,426249,382693,387077,508631,154335,22432,17676,58881,13950,107842,15049,209891,382693,387077,0,0,0,3110.691,203.7287,37339802,632.6,352527.4,215887.8,9974.987,153338.2,405243.3,382571.6,382577.8,250356.5,16283,21803.6,7924.45,58275.85,7395,107398.2,8297.5,208782.2,382571.6,382577.8,0,0,0,94,800,2,5,5,5,80,20,10,5,5,22,20,20,20,20,20,20,20,20,5,5,0,0,0,4111473
1,100,100,50,5,282566,183159,74640439,3230,1705982,1134792,953992,4608073,4053561,1913052,1907388,6534182,387260,539915,191087,1449943,180816,2682668,194829,5217131,1913052,1907388,9889657,8871794,28141586,107,139,769809,361,301942,190212,5769,165177,396700,382214,381445,161157,6029,20896,5819,57217,5769,106081,6118,207843,382214,381445,0,0,0,114064,896,73870630,1678,438649,312605,182692,417206,433425,382821,381541,514833,182692,22272,17956,58913,14432,107842,15242,209923,382821,381541,0,0,0,3006.021,183.159,37320220,646,341196.4,226958.4,9539.92,230403.6,405356.1,382610.4,381477.6,297008.3,15490.4,21596.6,7643.48,57997.72,7232.64,107306.7,7793.16,208685.2,382610.4,381477.6,0,0,0,94,1000,2,5,5,5,100,20,10,5,5,22,25,25,25,25,25,25,25,25,5,5,0,0,0,4580763
