machine,size,iteration,metric,invocations,min,max,mean,sum
ccsl,100_100_50,1,cuDeviceGetAttribute,94,118,114467,3106.309,291993
ccsl,100_100_50,1,cudaSetupArgument,200,139,735,164.745,32949
ccsl,100_100_50,1,cudaMallocHost,2,771733,134689326,67730530,135461059
ccsl,100_100_50,1,cudaGetDeviceCount,5,281,1766,612.8,3064
ccsl,100_100_50,1,cudaGetDeviceProperties,5,302802,447254,349146.4,1745732
ccsl,100_100_50,1,cudaMemGetInfo,5,190588,332197,229216.6,1146083
ccsl,100_100_50,1,cudaLaunch,20,7708,117399,15923.7,318474
ccsl,100_100_50,1,cudaMalloc,20,127230,298657,153345.4,3066907
ccsl,100_100_50,1,cudaMemcpy,10,396203,423067,403894.2,4038942
ccsl,100_100_50,1,CUDA memcpy HtoD,5,382212,382725,382603.2,1913016
ccsl,100_100_50,1,CUDA memcpy DtoH,5,381413,381573,381451.4,1907257
ccsl,100_100_50,1,cudaFree,22,112771,484879,245202.1,5394447
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_slices,5,15056,117399,35974.8,179874
ccsl,100_100_50,1,gpu_stencil37_hack1_cp_slices,5,21216,21696,21388.8,106944
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_rows,5,8713,12555,9986.8,49934
ccsl,100_100_50,1,gpu_stencil37_hack1_cp_rows,5,57473,58496,57824.8,289124
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_cols,5,7708,9656,8358.8,41794
ccsl,100_100_50,1,gpu_stencil37_hack1_cp_cols,5,106337,107137,106733.8,533669
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,5,8705,10473,9374.4,46872
ccsl,100_100_50,1,gpu_stencil37_hack2,5,208291,209507,208917.8,1044589
ccsl,100_100_50,1,total_CUDA memcpy HtoD,5,382212,382725,382603.2,1913016
ccsl,100_100_50,1,total_CUDA memcpy DtoH,5,381413,381573,381451.4,1907257
ccsl,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 1974326
ccsl,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 6605202
ccsl,100_100_50,1,total_running_time,0, 0, 0, 0, 18360584
ccsl,100_100_50,2,cuDeviceGetAttribute,94,106,100677,2756.904,259149
ccsl,100_100_50,2,cudaSetupArgument,400,140,834,188.4425,75377
ccsl,100_100_50,2,cudaMallocHost,2,761582,73897906,37329744,74659488
ccsl,100_100_50,2,cudaGetDeviceCount,5,325,1307,602.6,3013
ccsl,100_100_50,2,cudaGetDeviceProperties,5,306805,431473,364873.4,1824367
ccsl,100_100_50,2,cudaMemGetInfo,5,182694,300186,221950.6,1109753
ccsl,100_100_50,2,cudaLaunch,40,6127,156888,13078.02,523121
ccsl,100_100_50,2,cudaMalloc,20,114856,263024,137688.5,2753770
ccsl,100_100_50,2,cudaMemcpy,10,395756,440053,406135.5,4061355
ccsl,100_100_50,2,CUDA memcpy HtoD,5,382662,386278,383429.6,1917148
ccsl,100_100_50,2,CUDA memcpy DtoH,5,381446,381637,381503.2,1907516
ccsl,100_100_50,2,cudaFree,22,100893,494432,249285.1,5484272
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_slices,10,6899,156888,25745.8,257458
ccsl,100_100_50,2,gpu_stencil37_hack1_cp_slices,10,20992,22144,21568.2,215682
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_rows,10,6127,19300,9045.4,90454
ccsl,100_100_50,2,gpu_stencil37_hack1_cp_rows,10,57153,58881,57946.6,579466
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_cols,10,6353,14774,8260.6,82606
ccsl,100_100_50,2,gpu_stencil37_hack1_cp_cols,10,105953,107682,107083.2,1070832
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,10,7063,15795,9260.3,92603
ccsl,100_100_50,2,gpu_stencil37_hack2,10,207940,209923,208646.3,2086463
ccsl,100_100_50,2,total_CUDA memcpy HtoD,5,382662,386278,383429.6,1917148
ccsl,100_100_50,2,total_CUDA memcpy DtoH,5,381446,381637,381503.2,1907516
ccsl,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 3952443
ccsl,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 6548550
ccsl,100_100_50,2,total_running_time,0, 0, 0, 0, 20288498
ccsl,100_100_50,3,cuDeviceGetAttribute,94,105,100625,2769.5,260333
ccsl,100_100_50,3,cudaSetupArgument,600,139,832,185.6883,111413
ccsl,100_100_50,3,cudaMallocHost,2,779345,73776699,37278022,74556044
ccsl,100_100_50,3,cudaGetDeviceCount,5,292,1401,620.8,3104
ccsl,100_100_50,3,cudaGetDeviceProperties,5,301813,422727,336186.4,1680932
ccsl,100_100_50,3,cudaMemGetInfo,5,180854,298776,216668.8,1083344
ccsl,100_100_50,3,cudaLaunch,60,5804,146060,10611.28,636677
ccsl,100_100_50,3,cudaMalloc,20,113282,248621,138198.5,2763971
ccsl,100_100_50,3,cudaMemcpy,10,396951,424535,404190.3,4041903
ccsl,100_100_50,3,CUDA memcpy HtoD,5,382182,382694,382578.4,1912892
ccsl,100_100_50,3,CUDA memcpy DtoH,5,381445,381637,381516,1907580
ccsl,100_100_50,3,cudaFree,22,96827,481284,247107.4,5436362
ccsl,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_slices,15,6243,146060,18907.27,283609
ccsl,100_100_50,3,gpu_stencil37_hack1_cp_slices,15,21280,22624,21994.87,329923
ccsl,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_rows,15,5804,15728,7870.2,118053
ccsl,100_100_50,3,gpu_stencil37_hack1_cp_rows,15,57249,58849,57940.07,869101
ccsl,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_cols,15,5969,12744,7448.933,111734
ccsl,100_100_50,3,gpu_stencil37_hack1_cp_cols,15,106049,108066,107269.7,1609046
ccsl,100_100_50,3,cudaLaunch (gpu_stencil37_hack2,15,6214,13942,8218.733,123281
ccsl,100_100_50,3,gpu_stencil37_hack2,15,208131,210179,208977.9,3134668
ccsl,100_100_50,3,total_CUDA memcpy HtoD,5,382182,382694,382578.4,1912892
ccsl,100_100_50,3,total_CUDA memcpy DtoH,5,381445,381637,381516,1907580
ccsl,100_100_50,3,total_kernel_execution_time,0, 0, 0, 0, 5942738
ccsl,100_100_50,3,total_CUDA_functions,0, 0, 0, 0, 6539774
ccsl,100_100_50,3,total_running_time,0, 0, 0, 0, 22097085
ccsl,100_100_50,4,cuDeviceGetAttribute,94,107,115627,3110.691,292405
ccsl,100_100_50,4,cudaSetupArgument,800,139,863,203.7287,162983
ccsl,100_100_50,4,cudaMallocHost,2,778475,73901128,37339802,74679603
ccsl,100_100_50,4,cudaGetDeviceCount,5,354,1174,632.6,3163
ccsl,100_100_50,4,cudaGetDeviceProperties,5,304801,468982,352527.4,1762637
ccsl,100_100_50,4,cudaMemGetInfo,5,183038,307521,215887.8,1079439
ccsl,100_100_50,4,cudaLaunch,80,5788,154335,9974.987,797999
ccsl,100_100_50,4,cudaMalloc,20,125475,270732,153338.2,3066765
ccsl,100_100_50,4,cudaMemcpy,10,395738,426249,405243.3,4052433
ccsl,100_100_50,4,CUDA memcpy HtoD,5,382181,382693,382571.6,1912858
ccsl,100_100_50,4,CUDA memcpy DtoH,5,381381,387077,382577.8,1912889
ccsl,100_100_50,4,cudaFree,22,106434,508631,250356.5,5507844
ccsl,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_slices,20,6180,154335,16283,325660
ccsl,100_100_50,4,gpu_stencil37_hack1_cp_slices,20,21088,22432,21803.6,436072
ccsl,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_rows,20,5982,17676,7924.45,158489
ccsl,100_100_50,4,gpu_stencil37_hack1_cp_rows,20,57440,58881,58275.85,1165517
ccsl,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_cols,20,5788,13950,7395,147900
ccsl,100_100_50,4,gpu_stencil37_hack1_cp_cols,20,105761,107842,107398.2,2147964
ccsl,100_100_50,4,cudaLaunch (gpu_stencil37_hack2,20,6183,15049,8297.5,165950
ccsl,100_100_50,4,gpu_stencil37_hack2,20,207619,209891,208782.2,4175644
ccsl,100_100_50,4,total_CUDA memcpy HtoD,5,382181,382693,382571.6,1912858
ccsl,100_100_50,4,total_CUDA memcpy DtoH,5,381381,387077,382577.8,1912889
ccsl,100_100_50,4,total_kernel_execution_time,0, 0, 0, 0, 7925197
ccsl,100_100_50,4,total_CUDA_functions,0, 0, 0, 0, 7165391
ccsl,100_100_50,4,total_running_time,0, 0, 0, 0, 24085750
ccsl,100_100_50,5,cuDeviceGetAttribute,94,107,114064,3006.021,282566
ccsl,100_100_50,5,cudaSetupArgument,1000,139,896,183.159,183159
ccsl,100_100_50,5,cudaMallocHost,2,769809,73870630,37320220,74640439
ccsl,100_100_50,5,cudaGetDeviceCount,5,361,1678,646,3230
ccsl,100_100_50,5,cudaGetDeviceProperties,5,301942,438649,341196.4,1705982
ccsl,100_100_50,5,cudaMemGetInfo,5,190212,312605,226958.4,1134792
ccsl,100_100_50,5,cudaLaunch,100,5769,182692,9539.92,953992
ccsl,100_100_50,5,cudaMalloc,20,165177,417206,230403.6,4608073
ccsl,100_100_50,5,cudaMemcpy,10,396700,433425,405356.1,4053561
ccsl,100_100_50,5,CUDA memcpy HtoD,5,382214,382821,382610.4,1913052
ccsl,100_100_50,5,CUDA memcpy DtoH,5,381445,381541,381477.6,1907388
ccsl,100_100_50,5,cudaFree,22,161157,514833,297008.3,6534182
ccsl,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_slices,25,6029,182692,15490.4,387260
ccsl,100_100_50,5,gpu_stencil37_hack1_cp_slices,25,20896,22272,21596.6,539915
ccsl,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_rows,25,5819,17956,7643.48,191087
ccsl,100_100_50,5,gpu_stencil37_hack1_cp_rows,25,57217,58913,57997.72,1449943
ccsl,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_cols,25,5769,14432,7232.64,180816
ccsl,100_100_50,5,gpu_stencil37_hack1_cp_cols,25,106081,107842,107306.7,2682668
ccsl,100_100_50,5,cudaLaunch (gpu_stencil37_hack2,25,6118,15242,7793.16,194829
ccsl,100_100_50,5,gpu_stencil37_hack2,25,207843,209923,208685.2,5217131
ccsl,100_100_50,5,total_CUDA memcpy HtoD,5,382214,382821,382610.4,1913052
ccsl,100_100_50,5,total_CUDA memcpy DtoH,5,381445,381541,381477.6,1907388
ccsl,100_100_50,5,total_kernel_execution_time,0, 0, 0, 0, 9889657
ccsl,100_100_50,5,total_CUDA_functions,0, 0, 0, 0, 8871794
ccsl,100_100_50,5,total_running_time,0, 0, 0, 0, 28141586
ccsl,100_100_50,6,cuDeviceGetAttribute,94,105,102091,2809.277,264072
ccsl,100_100_50,6,cudaSetupArgument,1200,139,789,210.6592,252791
ccsl,100_100_50,6,cudaMallocHost,2,772413,74235516,37503964,75007929
ccsl,100_100_50,6,cudaGetDeviceCount,5,369,1587,653.2,3266
ccsl,100_100_50,6,cudaGetDeviceProperties,5,303653,441502,363122.6,1815613
ccsl,100_100_50,6,cudaMemGetInfo,5,182815,299774,230535,1152675
ccsl,100_100_50,6,cudaLaunch,120,5824,156821,9468.258,1136191
ccsl,100_100_50,6,cudaMalloc,20,115909,268039,149395.8,2987916
ccsl,100_100_50,6,cudaMemcpy,10,396403,433247,406340.8,4063408
ccsl,100_100_50,6,CUDA memcpy HtoD,5,382182,382886,382635.8,1913179
ccsl,100_100_50,6,CUDA memcpy DtoH,5,381382,381638,381503.4,1907517
ccsl,100_100_50,6,cudaFree,22,100574,481203,247331.2,5441286
ccsl,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_slices,30,5937,156821,14032.6,420978
ccsl,100_100_50,6,gpu_stencil37_hack1_cp_slices,30,20896,22496,21728.37,651851
ccsl,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_rows,30,5824,19014,7987.633,239629
ccsl,100_100_50,6,gpu_stencil37_hack1_cp_rows,30,57793,59297,58525.67,1755770
ccsl,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_cols,30,5828,13559,7658.067,229742
ccsl,100_100_50,6,gpu_stencil37_hack1_cp_cols,30,105729,107937,107430.8,3222924
ccsl,100_100_50,6,cudaLaunch (gpu_stencil37_hack2,30,6070,13974,8194.733,245842
ccsl,100_100_50,6,gpu_stencil37_hack2,30,208227,209731,209062.1,6271864
ccsl,100_100_50,6,total_CUDA memcpy HtoD,5,382182,382886,382635.8,1913179
ccsl,100_100_50,6,total_CUDA memcpy DtoH,5,381382,381638,381503.4,1907517
ccsl,100_100_50,6,total_kernel_execution_time,0, 0, 0, 0, 11902409
ccsl,100_100_50,6,total_CUDA_functions,0, 0, 0, 0, 7612524
ccsl,100_100_50,6,total_running_time,0, 0, 0, 0, 27449255
ccsl,100_100_50,7,cuDeviceGetAttribute,94,123,100596,2785.5,261837
ccsl,100_100_50,7,cudaSetupArgument,1400,139,916,203.425,284795
ccsl,100_100_50,7,cudaMallocHost,2,785206,74118086,37451646,74903292
ccsl,100_100_50,7,cudaGetDeviceCount,5,302,1398,621,3105
ccsl,100_100_50,7,cudaGetDeviceProperties,5,303837,460453,342628.6,1713143
ccsl,100_100_50,7,cudaMemGetInfo,5,185775,307598,214097.4,1070487
ccsl,100_100_50,7,cudaLaunch,140,5889,151445,8977.479,1256847
ccsl,100_100_50,7,cudaMalloc,20,113526,253553,141225.8,2824515
ccsl,100_100_50,7,cudaMemcpy,10,397039,425692,404968.8,4049688
ccsl,100_100_50,7,CUDA memcpy HtoD,5,382181,382950,382642.2,1913211
ccsl,100_100_50,7,CUDA memcpy DtoH,5,381445,381541,381490,1907450
ccsl,100_100_50,7,cudaFree,22,101923,481741,244334.3,5375354
ccsl,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_slices,35,6190,151445,12673.09,443558
ccsl,100_100_50,7,gpu_stencil37_hack1_cp_slices,35,21120,22208,21789.54,762634
ccsl,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_rows,35,5932,18824,7829.371,274028
ccsl,100_100_50,7,gpu_stencil37_hack1_cp_rows,35,57281,59009,58137.57,2034815
ccsl,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_cols,35,5889,14225,7451.686,260809
ccsl,100_100_50,7,gpu_stencil37_hack1_cp_cols,35,106049,108129,107543.4,3764020
ccsl,100_100_50,7,cudaLaunch (gpu_stencil37_hack2,35,6237,15070,7955.771,278452
ccsl,100_100_50,7,gpu_stencil37_hack2,35,207619,210307,208964.7,7313766
ccsl,100_100_50,7,total_CUDA memcpy HtoD,5,382181,382950,382642.2,1913211
ccsl,100_100_50,7,total_CUDA memcpy DtoH,5,381445,381541,381490,1907450
ccsl,100_100_50,7,total_kernel_execution_time,0, 0, 0, 0, 13875235
ccsl,100_100_50,7,total_CUDA_functions,0, 0, 0, 0, 7414729
ccsl,100_100_50,7,total_running_time,0, 0, 0, 0, 28952608
ccsl,100_100_50,8,cuDeviceGetAttribute,94,106,117832,3146.798,295799
ccsl,100_100_50,8,cudaSetupArgument,1600,138,955,193.05,308880
ccsl,100_100_50,8,cudaMallocHost,2,779781,74101769,37440775,74881550
ccsl,100_100_50,8,cudaGetDeviceCount,5,351,1450,755.6,3778
ccsl,100_100_50,8,cudaGetDeviceProperties,5,303712,450136,345106.6,1725533
ccsl,100_100_50,8,cudaMemGetInfo,5,190034,320057,225268.2,1126341
ccsl,100_100_50,8,cudaLaunch,160,11329,174879,25759.62,4121540
ccsl,100_100_50,8,cudaMalloc,20,115654,263979,139890.4,2797807
ccsl,100_100_50,8,cudaMemcpy,10,396089,429545,405968.9,4059689
ccsl,100_100_50,8,CUDA memcpy HtoD,5,382278,382757,382597.6,1912988
ccsl,100_100_50,8,CUDA memcpy DtoH,5,381414,387941,382764,1913820
ccsl,100_100_50,8,cudaFree,22,97283,502645,243224.4,5350937
ccsl,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_slices,40,14838,174879,28576.4,1143056
ccsl,100_100_50,8,gpu_stencil37_hack1_cp_slices,40,20544,22336,21668.28,866731
ccsl,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_rows,40,21012,42938,25104.45,1004178
ccsl,100_100_50,8,gpu_stencil37_hack1_cp_rows,40,56961,58849,58033.65,2321346
ccsl,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_cols,40,20908,38872,24893.7,995748
ccsl,100_100_50,8,gpu_stencil37_hack1_cp_cols,40,105666,108066,107420.6,4296826
ccsl,100_100_50,8,cudaLaunch (gpu_stencil37_hack2,40,11329,39892,24463.95,978558
ccsl,100_100_50,8,gpu_stencil37_hack2,40,207331,210852,209148.6,8365945
ccsl,100_100_50,8,total_CUDA memcpy HtoD,5,382278,382757,382597.6,1912988
ccsl,100_100_50,8,total_CUDA memcpy DtoH,5,381414,387941,382764,1913820
ccsl,100_100_50,8,total_kernel_execution_time,0, 0, 0, 0, 15850848
ccsl,100_100_50,8,total_CUDA_functions,0, 0, 0, 0, 10379678
ccsl,100_100_50,8,total_running_time,0, 0, 0, 0, 31199560
ccsl,100_100_50,9,cuDeviceGetAttribute,94,107,114491,3092.691,290713
ccsl,100_100_50,9,cudaSetupArgument,1800,143,782,186.9639,336535
ccsl,100_100_50,9,cudaMallocHost,2,767629,74118267,37442948,74885896
ccsl,100_100_50,9,cudaGetDeviceCount,5,397,1760,732.2,3661
ccsl,100_100_50,9,cudaGetDeviceProperties,5,304576,452683,345657.4,1728287
ccsl,100_100_50,9,cudaMemGetInfo,5,183672,326389,219363.8,1096819
ccsl,100_100_50,9,cudaLaunch,180,5705,154719,8266.722,1488010
ccsl,100_100_50,9,cudaMalloc,20,114487,277290,142641.9,2852838
ccsl,100_100_50,9,cudaMemcpy,10,397378,432521,405903.5,4059035
ccsl,100_100_50,9,CUDA memcpy HtoD,5,382374,382695,382617.8,1913089
ccsl,100_100_50,9,CUDA memcpy DtoH,5,381414,388231,382810,1914050
ccsl,100_100_50,9,cudaFree,22,115939,518019,247517.7,5445389
ccsl,100_100_50,9,cudaLaunch (gpu_stencil37_hack1_cp_slices,45,5991,154719,11164.38,502397
ccsl,100_100_50,9,gpu_stencil37_hack1_cp_slices,45,21088,22273,21766.62,979498
ccsl,100_100_50,9,cudaLaunch (gpu_stencil37_hack1_cp_rows,45,5705,17875,7240.178,325808
ccsl,100_100_50,9,gpu_stencil37_hack1_cp_rows,45,57537,59617,58458.6,2630637
ccsl,100_100_50,9,cudaLaunch (gpu_stencil37_hack1_cp_cols,45,5863,14187,7072.511,318263
ccsl,100_100_50,9,gpu_stencil37_hack1_cp_cols,45,106370,108226,107752.3,4848855
ccsl,100_100_50,9,cudaLaunch (gpu_stencil37_hack2,45,6215,15263,7589.822,341542
ccsl,100_100_50,9,gpu_stencil37_hack2,45,207684,210404,209021.3,9405958
ccsl,100_100_50,9,total_CUDA memcpy HtoD,5,382374,382695,382617.8,1913089
ccsl,100_100_50,9,total_CUDA memcpy DtoH,5,381414,388231,382810,1914050
ccsl,100_100_50,9,total_kernel_execution_time,0, 0, 0, 0, 17864948
ccsl,100_100_50,9,total_CUDA_functions,0, 0, 0, 0, 7796863
ccsl,100_100_50,9,total_running_time,0, 0, 0, 0, 32365166
ccsl,200_200_50,1,cuDeviceGetAttribute,94,108,101733,2800.617,263258
ccsl,200_200_50,1,cudaSetupArgument,200,141,729,176.23,35246
ccsl,200_200_50,1,cudaMallocHost,2,2858566,75922907,39390736,78781473
