machine,size,iteration,metric,invocations,min,max,mean,sum
ccsl,100_100_50,1,cuDeviceGetAttribute,94,107,100871,2775.532,260900
ccsl,100_100_50,1,cudaSetupArgument,1280,140,623,175.7758,224993
ccsl,100_100_50,1,cudaMallocHost,2,780436,74500811,37640624,75281247
ccsl,100_100_50,1,cudaGetDeviceCount,5,327,1255,984.6,4923
ccsl,100_100_50,1,cudaGetDeviceProperties,5,300416,380656,341910,1709550
ccsl,100_100_50,1,cudaMemGetInfo,5,185730,209760,200391.8,1001959
ccsl,100_100_50,1,cudaLaunch,80,6638,245834,12360.61,988849
ccsl,100_100_50,1,cudaMalloc,22,118850,74500811,3550018,78100399
ccsl,100_100_50,1,cudaMemcpy,40,6216,31916,10737.23,429489
ccsl,100_100_50,1,CUDA memcpy HtoD,20,41889,178307,134288.9,2685777
ccsl,100_100_50,1,CUDA memcpy DtoH,20,33376,174435,126442.3,2528846
ccsl,100_100_50,1,cudaFree,22,108344,1050024,381919.5,8402230
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_slices,20,7831,245834,24748.1,494962
ccsl,100_100_50,1,gpu_stencil37_hack2_cp_slices,20,17088,22689,20760.2,415204
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_rows,20,6867,11829,8301.05,166021
ccsl,100_100_50,1,gpu_stencil37_hack2_cp_rows,20,48577,61986,57145.05,1142901
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_cols,20,6638,9774,7935.4,158708
ccsl,100_100_50,1,gpu_stencil37_hack2_cp_cols,20,105314,116258,109902.6,2198053
ccsl,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,60,6638,245834,13661.52,819691
ccsl,100_100_50,1,gpu_stencil37_hack2,60,17088,116258,62602.63,3756158
ccsl,100_100_50,1,total_CUDA memcpy HtoD,20,41889,178307,134288.9,2685777
ccsl,100_100_50,1,total_CUDA memcpy DtoH,20,33376,174435,126442.3,2528846
ccsl,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 7512316
ccsl,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 7577206381800757
ccsl,100_100_50,1,total_running_time,0, 0, 0, 0, 22896461
ccsl,100_100_50,2,cuDeviceGetAttribute,94,107,101115,2779.17,261242
ccsl,100_100_50,2,cudaSetupArgument,2560,138,676,165.857,424594
ccsl,100_100_50,2,cudaMallocHost,2,776355,74476429,37626392,75252784
ccsl,100_100_50,2,cudaGetDeviceCount,5,335,1794,701.2,3506
ccsl,100_100_50,2,cudaGetDeviceProperties,5,320208,347020,335669.8,1678349
ccsl,100_100_50,2,cudaMemGetInfo,5,190650,211745,203490,1017450
ccsl,100_100_50,2,cudaLaunch,160,6342,243777,9050.519,1448083
ccsl,100_100_50,2,cudaMalloc,22,118272,74476429,3539042,77858916
ccsl,100_100_50,2,cudaMemcpy,80,5554,34565,7904.5,632360
ccsl,100_100_50,2,CUDA memcpy HtoD,40,43233,188740,133656,5346242
ccsl,100_100_50,2,CUDA memcpy DtoH,40,33345,183299,126523.1,5060923
ccsl,100_100_50,2,cudaFree,22,122159,1052734,383654.5,8440398
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_slices,40,7388,243777,14661.9,586476
ccsl,100_100_50,2,gpu_stencil37_hack2_cp_slices,40,16576,23104,20817.88,832715
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_rows,40,6432,12284,7068.175,282727
ccsl,100_100_50,2,gpu_stencil37_hack2_cp_rows,40,44577,62145,56715.4,2268616
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_cols,40,6342,10642,7047.25,281890
ccsl,100_100_50,2,gpu_stencil37_hack2_cp_cols,40,105826,118434,110250,4409999
ccsl,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,120,6342,243777,9592.442,1151093
ccsl,100_100_50,2,gpu_stencil37_hack2,120,16576,118434,62594.42,7511330
ccsl,100_100_50,2,total_CUDA memcpy HtoD,40,43233,188740,133656,5346242
ccsl,100_100_50,2,total_CUDA memcpy DtoH,40,33345,183299,126523.1,5060923
ccsl,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 15022660
ccsl,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 7594212682002798
ccsl,100_100_50,2,total_running_time,0, 0, 0, 0, 27619392
ccsl,100_100_50,3,cuDeviceGetAttribute,94,108,117853,3184.691,299361
ccsl,100_100_50,3,cudaSetupArgument,3840,138,604,156.4799,600883
ccsl,100_100_50,3,cudaMallocHost,2,782190,74303255,37542722,75085445
ccsl,100_100_50,3,cudaGetDeviceCount,5,316,882,467.4,2337
ccsl,100_100_50,3,cudaGetDeviceProperties,5,304650,337709,322731,1613655
ccsl,100_100_50,3,cudaMemGetInfo,5,189977,211200,197700.6,988503
ccsl,100_100_50,3,cudaLaunch,240,6385,245276,8425.429,2022103
ccsl,100_100_50,3,cudaMalloc,22,115026,74303255,3530782,77677197
ccsl,100_100_50,3,cudaMemcpy,120,5898,24910,7675.942,921113
ccsl,100_100_50,3,CUDA memcpy HtoD,60,42688,172675,132883.9,7973032
ccsl,100_100_50,3,CUDA memcpy DtoH,60,33664,170179,126530.2,7591813
ccsl,100_100_50,3,cudaFree,22,106239,1051495,380105.8,8362328
ccsl,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_slices,60,7784,245276,12821.32,769279
ccsl,100_100_50,3,gpu_stencil37_hack2_cp_slices,60,16288,23009,20679.83,1240790
