machine,size,iteration,metric,invocations,min,max,mean,sum
debian,100_100_50,1,cuDeviceGetAttribute,188,189,161252,4023.457,756410
debian,100_100_50,1,cudaSetupArgument,200,175,667,210.455,42091
debian,100_100_50,1,cudaMallocHost,2,935838,86566943,43751390,87502781
debian,100_100_50,1,cudaGetDeviceCount,5,942,2124,1345.4,6727
debian,100_100_50,1,cudaGetDeviceProperties,5,485629,500204,492687,2463435
debian,100_100_50,1,cudaMemGetInfo,5,140841,151105,143474.8,717374
debian,100_100_50,1,cudaLaunch,20,14087,141195,25859.7,517194
debian,100_100_50,1,cudaMalloc,20,156659,268975,176725.4,3534508
debian,100_100_50,1,cudaMemcpy,10,359498,389070,371721.2,3717212
debian,100_100_50,1,CUDA memcpy HtoD,5,344703,345535,345336.6,1726683
debian,100_100_50,1,CUDA memcpy DtoH,5,341215,341247,341221.4,1706107
debian,100_100_50,1,cudaFree,22,137259,565134,269571.4,5930571
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack1_cp_slices,5,18688,18975,18841.4,94207
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack1_cp_rows,5,51872,52255,52044.6,260223
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack1_cp_cols,5,95936,96320,96217.4,481087
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack2,5,199903,202047,200619.8,1003099
debian,100_100_50,1,total_CUDA memcpy HtoD,5,344703,345535,345336.6,1726683
debian,100_100_50,1,total_CUDA memcpy DtoH,5,341215,341247,341221.4,1706107
debian,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 1838616
debian,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 8037739
debian,100_100_50,1,total_running_time,0, 0, 0, 0, 20459613
debian,100_100_50,2,cuDeviceGetAttribute,188,186,160521,3995.75,751201
debian,100_100_50,2,cudaSetupArgument,400,174,697,202.7425,81097
debian,100_100_50,2,cudaMallocHost,2,1012564,88411269,44711916,89423833
debian,100_100_50,2,cudaGetDeviceCount,5,1096,2167,1418.4,7092
debian,100_100_50,2,cudaGetDeviceProperties,5,477404,505793,487026.4,2435132
debian,100_100_50,2,cudaMemGetInfo,5,141664,152416,144895.6,724478
debian,100_100_50,2,cudaLaunch,40,11822,137445,18911.62,756465
debian,100_100_50,2,cudaMalloc,20,157464,291912,181973,3639461
debian,100_100_50,2,cudaMemcpy,10,374818,399573,386383,3863830
debian,100_100_50,2,CUDA memcpy HtoD,5,355551,359231,358360.6,1791803
debian,100_100_50,2,CUDA memcpy DtoH,5,357598,358175,357899.4,1789497
debian,100_100_50,2,cudaFree,22,138686,594735,263593.8,5799064
debian,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,2,gpu_stencil37_hack1_cp_slices,10,18848,19584,19167.9,191679
debian,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,2,gpu_stencil37_hack1_cp_rows,10,51935,52576,52236.6,522366
debian,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,2,gpu_stencil37_hack1_cp_cols,10,96320,97600,96998.2,969982
debian,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,2,gpu_stencil37_hack2,10,199103,201823,200156,2001560
debian,100_100_50,2,total_CUDA memcpy HtoD,5,355551,359231,358360.6,1791803
debian,100_100_50,2,total_CUDA memcpy DtoH,5,357598,358175,357899.4,1789497
debian,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 3685587
debian,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 8394926
debian,100_100_50,2,total_running_time,0, 0, 0, 0, 22183623
debian,100_100_50,3,cuDeviceGetAttribute,188,184,161301,4025.771,756845
debian,100_100_50,3,cudaSetupArgument,600,220,811,255.125,153075
debian,100_100_50,3,cudaMallocHost,2,973818,87961040,44467429,88934858
debian,100_100_50,3,cudaGetDeviceCount,5,973,1962,1407.4,7037
debian,100_100_50,3,cudaGetDeviceProperties,5,476152,502574,484327.6,2421638
debian,100_100_50,3,cudaMemGetInfo,5,140937,149934,143258.4,716292
debian,100_100_50,3,cudaLaunch,60,11534,143287,16637.37,998242
debian,100_100_50,3,cudaMalloc,20,156323,269252,176853.7,3537074
debian,100_100_50,3,cudaMemcpy,10,371071,401246,385252.2,3852522
debian,100_100_50,3,CUDA memcpy HtoD,5,356062,359902,358987.4,1794937
debian,100_100_50,3,CUDA memcpy DtoH,5,353791,354303,353969.6,1769848
debian,100_100_50,3,cudaFree,22,138384,598040,264411,5817043
debian,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,3,gpu_stencil37_hack1_cp_slices,15,19008,19872,19404.8,291072
debian,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,3,gpu_stencil37_hack1_cp_rows,15,51872,52864,52347.53,785213
debian,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,3,gpu_stencil37_hack1_cp_cols,15,96096,97439,96870.13,1453052
debian,100_100_50,3,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,3,gpu_stencil37_hack2,15,199391,203391,200762.9,3011443
debian,100_100_50,3,total_CUDA memcpy HtoD,5,356062,359902,358987.4,1794937
debian,100_100_50,3,total_CUDA memcpy DtoH,5,353791,354303,353969.6,1769848
debian,100_100_50,3,total_kernel_execution_time,0, 0, 0, 0, 5540780
debian,100_100_50,3,total_CUDA_functions,0, 0, 0, 0, 8590203
debian,100_100_50,3,total_running_time,0, 0, 0, 0, 23725234
debian,100_100_50,4,cuDeviceGetAttribute,188,204,204135,4503.66,846688
debian,100_100_50,4,cudaSetupArgument,800,173,941,205.2225,164178
debian,100_100_50,4,cudaMallocHost,2,978973,90503039,45741006,91482012
debian,100_100_50,4,cudaGetDeviceCount,5,1047,1946,1278.4,6392
debian,100_100_50,4,cudaGetDeviceProperties,5,474948,508351,488480.2,2442401
debian,100_100_50,4,cudaMemGetInfo,5,140901,162262,145949.6,729748
debian,100_100_50,4,cudaLaunch,80,11642,142770,15633.33,1250666
debian,100_100_50,4,cudaMalloc,20,153683,272235,176216.1,3524322
debian,100_100_50,4,cudaMemcpy,10,374183,402049,386805.3,3868053
debian,100_100_50,4,CUDA memcpy HtoD,5,356126,359903,359044.8,1795224
debian,100_100_50,4,CUDA memcpy DtoH,5,355615,355998,355761.8,1778809
debian,100_100_50,4,cudaFree,22,136999,617879,264745.6,5824403
debian,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,4,gpu_stencil37_hack1_cp_slices,20,18943,19776,19439.9,388798
debian,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,4,gpu_stencil37_hack1_cp_rows,20,51840,52800,52372.65,1047453
debian,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,4,gpu_stencil37_hack1_cp_cols,20,95999,97311,96785.2,1935704
debian,100_100_50,4,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,4,gpu_stencil37_hack2,20,199327,203967,200623.2,4012464
debian,100_100_50,4,total_CUDA memcpy HtoD,5,356126,359903,359044.8,1795224
debian,100_100_50,4,total_CUDA memcpy DtoH,5,355615,355998,355761.8,1778809
debian,100_100_50,4,total_kernel_execution_time,0, 0, 0, 0, 7384419
debian,100_100_50,4,total_CUDA_functions,0, 0, 0, 0, 8964395
debian,100_100_50,4,total_running_time,0, 0, 0, 0, 25393284
debian,100_100_50,5,cuDeviceGetAttribute,188,187,171539,4348.521,817522
debian,100_100_50,5,cudaSetupArgument,1000,172,706,199.641,199641
debian,100_100_50,5,cudaMallocHost,2,1046744,98274632,49660688,99321376
debian,100_100_50,5,cudaGetDeviceCount,5,1018,1942,1307.8,6539
debian,100_100_50,5,cudaGetDeviceProperties,5,474331,543599,492138.2,2460691
debian,100_100_50,5,cudaMemGetInfo,5,141604,157838,145396.8,726984
debian,100_100_50,5,cudaLaunch,100,11399,142479,14971.92,1497192
