machine,size,iteration,metric,invocations,min,max,mean,sum
debian,100_100_50,1,cuDeviceGetAttribute,188,172,156958,3963.989,745230
debian,100_100_50,1,cudaSetupArgument,1280,165,6182,192.9531,246980
debian,100_100_50,1,cudaMallocHost,2,866178,93147480,47006829,94013658
debian,100_100_50,1,cudaGetDeviceCount,5,815,2160,1262,6310
debian,100_100_50,1,cudaGetDeviceProperties,5,463173,494579,478519.8,2392599
debian,100_100_50,1,cudaMemGetInfo,5,132894,144832,139633.6,698168
debian,100_100_50,1,cudaLaunch,80,11503,264523,17836.08,1426886
debian,100_100_50,1,cudaMalloc,15,151042,163729,155946.1,2339192
debian,100_100_50,1,cudaMemcpy,40,9259,66327,35113.65,1404546
debian,100_100_50,1,CUDA memcpy HtoD,20,37472,149248,121006.1,2420121
debian,100_100_50,1,CUDA memcpy DtoH,20,29312,140479,111764.4,2235288
debian,100_100_50,1,cudaFree,22,144427,974184,379517,8349374
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_slices,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack2_cp_slices,20,11584,19871,17169.45,343389
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_rows,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack2_cp_rows,20,38208,54624,47487.65,949753
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack2_cp_cols,20,96255,98656,97604.25,1952085
debian,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_50,1,gpu_stencil37_hack2,60,11584,98656,54087.12,3245227
debian,100_100_50,1,total_CUDA memcpy HtoD,20,37472,149248,121006.1,2420121
debian,100_100_50,1,total_CUDA memcpy DtoH,20,29312,140479,111764.4,2235288
debian,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 6490454
debian,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 7855365
debian,100_100_50,1,total_running_time,0, 0, 0, 0, 51700838
debian,100_100_50,2,cuDeviceGetAttribute,188,171,157067,3839.42,721811
debian,100_100_50,2,cudaSetupArgument,2560,161,498,184.3988,472061
debian,100_100_50,2,cudaMallocHost,2,852251,92236385,46544318,93088636
