machine,size,iteration,metric,invocations,min,max,mean,sum
f3,100_100_50,1,cuDeviceGetAttribute,91,336,238624,6814.352,620106
f3,100_100_50,1,cudaSetupArgument,200,605,2330,758.755,151751
f3,100_100_50,1,cudaMallocHost,2,2091226,192552928,97322077,194644154
f3,100_100_50,1,cudaGetDeviceCount,5,930,7708,2445,12225
f3,100_100_50,1,cudaGetDeviceProperties,5,631784,936933,735315.8,3676579
f3,100_100_50,1,cudaMemGetInfo,5,176844,297418,216073.2,1080366
f3,100_100_50,1,cudaLaunch,20,25082,134994,38824.65,776493
f3,100_100_50,1,cudaMalloc,20,272873,607745,327657,6553140
f3,100_100_50,1,cudaMemcpy,10,637016,753784,672771.3,6727713
f3,100_100_50,1,CUDA memcpy HtoD,5,632669,642941,637635.4,3188177
f3,100_100_50,1,CUDA memcpy DtoH,5,596507,610011,600193.6,3000968
f3,100_100_50,1,cudaFree,22,228624,1636310,445673.5,9804817
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_slices,5,39262,134994,61460.4,307302
f3,100_100_50,1,gpu_stencil37_hack1_cp_slices,5,23233,23489,23316.2,116581
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_rows,5,25315,42620,31183.6,155918
f3,100_100_50,1,gpu_stencil37_hack1_cp_rows,5,64323,64963,64675,323375
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_cols,5,25082,39532,30061.2,150306
f3,100_100_50,1,gpu_stencil37_hack1_cp_cols,5,117701,118085,117874,589370
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,5,26526,42085,32593.4,162967
f3,100_100_50,1,gpu_stencil37_hack2,5,246315,251276,248133,1240665
f3,100_100_50,1,total_CUDA memcpy HtoD,5,632669,642941,637635.4,3188177
f3,100_100_50,1,total_CUDA memcpy DtoH,5,596507,610011,600193.6,3000968
f3,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 2269991
f3,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 12870660
f3,100_100_50,1,total_running_time,0, 0, 0, 0, 41714624
f3,100_100_50,2,cuDeviceGetAttribute,91,424,272547,8013.725,729249
f3,100_100_50,2,cudaSetupArgument,400,478,2091,591.745,236698
f3,100_100_50,2,cudaMallocHost,2,2070656,200910110,101490383,202980766
f3,100_100_50,2,cudaGetDeviceCount,5,951,6939,2218.6,11093
f3,100_100_50,2,cudaGetDeviceProperties,5,602903,926816,707368.8,3536844
f3,100_100_50,2,cudaMemGetInfo,5,159360,294053,204454,1022270
f3,100_100_50,2,cudaLaunch,40,20320,127188,30166.67,1206667
f3,100_100_50,2,cudaMalloc,20,343062,808406,490033.4,9800668
f3,100_100_50,2,cudaMemcpy,10,629161,759887,668251.9,6682519
f3,100_100_50,2,CUDA memcpy HtoD,5,632445,647390,638301.2,3191506
f3,100_100_50,2,CUDA memcpy DtoH,5,596475,601627,597543.8,2987719
f3,100_100_50,2,cudaFree,22,263958,1472741,488870.9,10755160
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_slices,10,21560,127188,41260.1,412601
f3,100_100_50,2,gpu_stencil37_hack1_cp_slices,10,22977,23873,23306.6,233066
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_rows,10,20320,40285,26819.8,268198
f3,100_100_50,2,gpu_stencil37_hack1_cp_rows,10,65123,67779,66339,663390
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack1_cp_cols,10,20548,36351,25371,253710
f3,100_100_50,2,gpu_stencil37_hack1_cp_cols,10,117766,119238,118424.8,1184248
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,10,22202,40139,27215.8,272158
f3,100_100_50,2,gpu_stencil37_hack2,10,246219,252780,249585.8,2495858
f3,100_100_50,2,total_CUDA memcpy HtoD,5,632445,647390,638301.2,3191506
f3,100_100_50,2,total_CUDA memcpy DtoH,5,596475,601627,597543.8,2987719
f3,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 4576562
f3,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 16543489
f3,100_100_50,2,total_running_time,0, 0, 0, 0, 46894632
f3,100_100_50,3,cuDeviceGetAttribute,91,426,327060,8471.56,770912
f3,100_100_50,3,cudaSetupArgument,600,496,1794,596.7233,358034
f3,100_100_50,3,cudaMallocHost,2,2092742,201485794,101789268,203578536
f3,100_100_50,3,cudaGetDeviceCount,5,731,6156,1897.8,9489
f3,100_100_50,3,cudaGetDeviceProperties,5,533445,806985,619815.8,3099079
f3,100_100_50,3,cudaMemGetInfo,5,146662,246885,172157.2,860786
f3,100_100_50,3,cudaLaunch,60,17791,111644,24222.25,1453335
f3,100_100_50,3,cudaMalloc,20,222003,504346,265663,5313261
f3,100_100_50,3,cudaMemcpy,10,628302,742645,664864,6648640
f3,100_100_50,3,CUDA memcpy HtoD,5,632733,646622,637718.8,3188594
f3,100_100_50,3,CUDA memcpy DtoH,5,596475,609884,601755.8,3008779
f3,100_100_50,3,cudaFree,22,190608,1347684,391575.9,8614669
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_slices,15,18362,111644,30367.87,455518
f3,100_100_50,3,gpu_stencil37_hack1_cp_slices,15,22945,23777,23299.2,349488
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_rows,15,17791,33592,22316.8,334752
f3,100_100_50,3,gpu_stencil37_hack1_cp_rows,15,64835,67875,66443.53,996653
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack1_cp_cols,15,18591,30372,21210.33,318155
f3,100_100_50,3,gpu_stencil37_hack1_cp_cols,15,117574,118949,118431.1,1776466
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack2,15,19095,39780,22994,344910
f3,100_100_50,3,gpu_stencil37_hack2,15,247051,253292,249709.6,3745644
f3,100_100_50,3,total_CUDA memcpy HtoD,5,632733,646622,637718.8,3188594
f3,100_100_50,3,total_CUDA memcpy DtoH,5,596475,609884,601755.8,3008779
f3,100_100_50,3,total_kernel_execution_time,0, 0, 0, 0, 6868251
f3,100_100_50,3,total_CUDA_functions,0, 0, 0, 0, 11864896
f3,100_100_50,3,total_running_time,0, 0, 0, 0, 40922960
f3,100_100_50,4,cuDeviceGetAttribute,91,336,241099,6527.505,594003
f3,100_100_50,4,cudaSetupArgument,800,405,7055,444.775,355820
f3,100_100_50,4,cudaMallocHost,2,2077252,192285041,97181146,194362293
f3,100_100_50,4,cudaGetDeviceCount,5,580,3866,1312.2,6561
f3,100_100_50,4,cudaGetDeviceProperties,5,492817,597244,517750.2,2588751
f3,100_100_50,4,cudaMemGetInfo,5,126672,166235,135232.6,676163
f3,100_100_50,4,cudaLaunch,80,15832,91033,18841.39,1507311
f3,100_100_50,4,cudaMalloc,20,254973,484406,340960.8,6819216
f3,100_100_50,4,cudaMemcpy,10,623592,715956,654809.6,6548096
f3,100_100_50,4,CUDA memcpy HtoD,5,632125,638110,633609.8,3168049
f3,100_100_50,4,CUDA memcpy DtoH,5,596475,596539,596507,2982535
f3,100_100_50,4,cudaFree,22,205422,1244864,401895.8,8841708
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_slices,20,16265,91033,23128.5,462570
f3,100_100_50,4,gpu_stencil37_hack1_cp_slices,20,23169,24097,23642.6,472852
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_rows,20,15888,25447,17402.35,348047
f3,100_100_50,4,gpu_stencil37_hack1_cp_rows,20,65155,67651,66710.2,1334204
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack1_cp_cols,20,15832,22627,16940.75,338815
f3,100_100_50,4,gpu_stencil37_hack1_cp_cols,20,117541,119045,118552.8,2371056
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack2,20,16439,24757,17893.95,357879
f3,100_100_50,4,gpu_stencil37_hack2,20,246827,252300,249849.8,4996995
f3,100_100_50,4,total_CUDA memcpy HtoD,5,632125,638110,633609.8,3168049
f3,100_100_50,4,total_CUDA memcpy DtoH,5,596475,596539,596507,2982535
f3,100_100_50,4,total_kernel_execution_time,0, 0, 0, 0, 9175107
f3,100_100_50,4,total_CUDA_functions,0, 0, 0, 0, 12547825
f3,100_100_50,4,total_running_time,0, 0, 0, 0, 43465225
f3,100_100_50,5,cuDeviceGetAttribute,91,427,252332,7398.626,673275
f3,100_100_50,5,cudaSetupArgument,1000,623,12197,778.189,778189
f3,100_100_50,5,cudaMallocHost,2,2085338,199111056,100598197,201196394
f3,100_100_50,5,cudaGetDeviceCount,5,898,8252,2494.2,12471
f3,100_100_50,5,cudaGetDeviceProperties,5,642815,966837,742499.8,3712499
f3,100_100_50,5,cudaMemGetInfo,5,167998,295606,207935,1039675
f3,100_100_50,5,cudaLaunch,100,21396,132691,28287.6,2828760
f3,100_100_50,5,cudaMalloc,20,259429,567458,311824.8,6236497
f3,100_100_50,5,cudaMemcpy,10,631224,762681,668553.5,6685535
f3,100_100_50,5,CUDA memcpy HtoD,5,632381,638109,633993.8,3169969
f3,100_100_50,5,CUDA memcpy DtoH,5,596507,596508,596507.6,2982538
f3,100_100_50,5,cudaFree,22,217876,1567191,433362.6,9533978
f3,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_slices,25,22107,132691,33863.08,846577
f3,100_100_50,5,gpu_stencil37_hack1_cp_slices,25,22913,23937,23425.08,585627
f3,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_rows,25,21478,43000,26528.92,663223
f3,100_100_50,5,gpu_stencil37_hack1_cp_rows,25,64611,67875,66853.56,1671339
f3,100_100_50,5,cudaLaunch (gpu_stencil37_hack1_cp_cols,25,21396,37703,25489.32,637233
f3,100_100_50,5,gpu_stencil37_hack1_cp_cols,25,118213,119749,119209.4,2980234
f3,100_100_50,5,cudaLaunch (gpu_stencil37_hack2,25,22758,41202,27269.08,681727
f3,100_100_50,5,gpu_stencil37_hack2,25,247819,256140,251066.8,6276671
f3,100_100_50,5,total_CUDA memcpy HtoD,5,632381,638109,633993.8,3169969
f3,100_100_50,5,total_CUDA memcpy DtoH,5,596507,596508,596507.6,2982538
f3,100_100_50,5,total_kernel_execution_time,0, 0, 0, 0, 11513871
f3,100_100_50,5,total_CUDA_functions,0, 0, 0, 0, 15281366
f3,100_100_50,5,total_running_time,0, 0, 0, 0, 48675861
f3,100_100_50,6,cuDeviceGetAttribute,91,440,277363,7675.824,698500
f3,100_100_50,6,cudaSetupArgument,1200,545,2187,681.3667,817640
f3,100_100_50,6,cudaMallocHost,2,2092940,198447377,100270158,200540317
f3,100_100_50,6,cudaGetDeviceCount,5,794,6815,2142.6,10713
f3,100_100_50,6,cudaGetDeviceProperties,5,628415,959798,730903.8,3654519
f3,100_100_50,6,cudaMemGetInfo,5,169941,295563,208221.4,1041107
f3,100_100_50,6,cudaLaunch,120,20934,130871,28050.54,3366065
f3,100_100_50,6,cudaMalloc,20,260213,576896,316875.3,6337506
f3,100_100_50,6,cudaMemcpy,10,629288,745886,670350.6,6703506
f3,100_100_50,6,CUDA memcpy HtoD,5,632254,643518,635108,3175540
f3,100_100_50,6,CUDA memcpy DtoH,5,596763,609948,599419.4,2997097
f3,100_100_50,6,cudaFree,22,205648,1499233,429603.4,9451275
f3,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_slices,30,21430,130871,31707.47,951224
f3,100_100_50,6,gpu_stencil37_hack1_cp_slices,30,22849,24129,23385.6,701568
f3,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_rows,30,21141,42985,26167.17,785015
f3,100_100_50,6,gpu_stencil37_hack1_cp_rows,30,64323,67587,66704.93,2001148
f3,100_100_50,6,cudaLaunch (gpu_stencil37_hack1_cp_cols,30,20934,50537,26664.43,799933
f3,100_100_50,6,gpu_stencil37_hack1_cp_cols,30,118086,119685,119150.2,3574505
f3,100_100_50,6,cudaLaunch (gpu_stencil37_hack2,30,21738,49612,27663.1,829893
f3,100_100_50,6,gpu_stencil37_hack2,30,246507,253324,249122.9,7473687
f3,100_100_50,6,total_CUDA memcpy HtoD,5,632254,643518,635108,3175540
f3,100_100_50,6,total_CUDA memcpy DtoH,5,596763,609948,599419.4,2997097
f3,100_100_50,6,total_kernel_execution_time,0, 0, 0, 0, 13750908
f3,100_100_50,6,total_CUDA_functions,0, 0, 0, 0, 15926050
f3,100_100_50,6,total_running_time,0, 0, 0, 0, 50768250
f3,100_100_50,7,cuDeviceGetAttribute,91,423,258950,7665.374,697549
f3,100_100_50,7,cudaSetupArgument,1400,351,6897,423.8336,593367
f3,100_100_50,7,cudaMallocHost,2,2080156,196964611,99522384,199044767
f3,100_100_50,7,cudaGetDeviceCount,5,680,3913,1347.6,6738
f3,100_100_50,7,cudaGetDeviceProperties,5,498534,570297,516319,2581595
f3,100_100_50,7,cudaMemGetInfo,5,126437,177630,137323,686615
f3,100_100_50,7,cudaLaunch,140,15862,85850,18198.44,2547782
f3,100_100_50,7,cudaMalloc,20,203441,347557,219712.2,4394245
f3,100_100_50,7,cudaMemcpy,10,623541,723597,659990.8,6599908
f3,100_100_50,7,CUDA memcpy HtoD,5,643870,649022,645117.8,3225589
f3,100_100_50,7,CUDA memcpy DtoH,5,596444,615964,600386,3001930
f3,100_100_50,7,cudaFree,22,174774,1356881,375843.2,8268551
f3,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_slices,35,16196,85850,20415.89,714556
f3,100_100_50,7,gpu_stencil37_hack1_cp_slices,35,23201,24226,23798.09,832933
f3,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_rows,35,15862,25526,17101.54,598554
f3,100_100_50,7,gpu_stencil37_hack1_cp_rows,35,65155,68035,66882.14,2340875
f3,100_100_50,7,cudaLaunch (gpu_stencil37_hack1_cp_cols,35,15947,27208,17278.26,604739
f3,100_100_50,7,gpu_stencil37_hack1_cp_cols,35,118022,119622,119142.4,4169985
f3,100_100_50,7,cudaLaunch (gpu_stencil37_hack2,35,16147,28637,17998.09,629933
f3,100_100_50,7,gpu_stencil37_hack2,35,246443,253420,249375.5,8728144
f3,100_100_50,7,total_CUDA memcpy HtoD,5,643870,649022,645117.8,3225589
f3,100_100_50,7,total_CUDA memcpy DtoH,5,596444,615964,600386,3001930
f3,100_100_50,7,total_kernel_execution_time,0, 0, 0, 0, 16071937
f3,100_100_50,7,total_CUDA_functions,0, 0, 0, 0, 11507891
f3,100_100_50,7,total_running_time,0, 0, 0, 0, 46478045
f3,100_100_50,8,cuDeviceGetAttribute,91,424,339901,8650.879,787230
f3,100_100_50,8,cudaSetupArgument,1600,468,1945,575.7475,921196
f3,100_100_50,8,cudaMallocHost,2,2074142,192835632,97454887,194909774
f3,100_100_50,8,cudaGetDeviceCount,5,712,6663,2051.8,10259
f3,100_100_50,8,cudaGetDeviceProperties,5,546285,835629,640405.6,3202028
f3,100_100_50,8,cudaMemGetInfo,5,152414,263813,182600.6,913003
f3,100_100_50,8,cudaLaunch,160,18687,117520,23694.2,3791072
f3,100_100_50,8,cudaMalloc,20,225554,530706,278106.8,5562137
f3,100_100_50,8,cudaMemcpy,10,625804,742766,663757.5,6637575
f3,100_100_50,8,CUDA memcpy HtoD,5,633629,634013,633923.4,3169617
f3,100_100_50,8,CUDA memcpy DtoH,5,596508,609724,599170.2,2995851
f3,100_100_50,8,cudaFree,22,198380,1426649,403244.5,8871378
f3,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_slices,40,18892,117520,26293.08,1051723
f3,100_100_50,8,gpu_stencil37_hack1_cp_slices,40,23233,24385,23819.47,952779
f3,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_rows,40,18956,38302,22962.8,918512
f3,100_100_50,8,gpu_stencil37_hack1_cp_rows,40,64835,67875,66809.45,2672378
f3,100_100_50,8,cudaLaunch (gpu_stencil37_hack1_cp_cols,40,18687,33270,21979.42,879177
f3,100_100_50,8,gpu_stencil37_hack1_cp_cols,40,118149,126982,119191.1,4767642
