machine,size,iteration,metric,invocations,min,max,mean,sum
f3,100_100_50,1,cuDeviceGetAttribute,91,427,260990,7937,722267
f3,100_100_50,1,cudaSetupArgument,1280,548,13660,699.8711,895835
f3,100_100_50,1,cudaMallocHost,2,2085300,192437577,97261438,194522877
f3,100_100_50,1,cudaGetDeviceCount,5,813,6941,2165.8,10829
f3,100_100_50,1,cudaGetDeviceProperties,5,568757,847799,655861.4,3279307
f3,100_100_50,1,cudaMemGetInfo,5,153662,271642,187375,936875
f3,100_100_50,1,cudaLaunch,80,20120,183860,82135.8,6570864
f3,100_100_50,1,cudaMalloc,15,332842,561271,412143.1,6182147
f3,100_100_50,1,cudaMemcpy,40,17430,90828,25460,1018400
f3,100_100_50,1,CUDA memcpy HtoD,20,42818,265933,207384.5,4147691
f3,100_100_50,1,CUDA memcpy DtoH,20,37057,220938,165942.5,3318850
f3,100_100_50,1,cudaFree,22,223477,1443839,586420.5,12901250
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_slices,20,67727,183860,92765.7,1855314
f3,100_100_50,1,gpu_stencil37_hack2_cp_slices,20,18817,22913,21202.7,424054
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_rows,20,21100,93687,75101.15,1502023
f3,100_100_50,1,gpu_stencil37_hack2_cp_rows,20,53155,66467,61027,1220540
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_cols,20,20120,101649,78010.5,1560210
f3,100_100_50,1,gpu_stencil37_hack2_cp_cols,20,117381,119782,118039.4,2360788
f3,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,60,20120,183860,81959.12,4917547
f3,100_100_50,1,gpu_stencil37_hack2,60,18817,119782,66756.37,4005382
f3,100_100_50,1,total_CUDA memcpy HtoD,20,42818,265933,207384.5,4147691
f3,100_100_50,1,total_CUDA memcpy DtoH,20,37057,220938,165942.5,3318850
f3,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 8010764
f3,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 18598124
f3,100_100_50,1,total_running_time,0, 0, 0, 0, 47667994
f3,100_100_50,2,cuDeviceGetAttribute,91,423,288220,8026.176,730382
f3,100_100_50,2,cudaSetupArgument,2560,525,1809,644.1176,1648941
f3,100_100_50,2,cudaMallocHost,2,2084352,199974297,101029324,202058649
f3,100_100_50,2,cudaGetDeviceCount,5,924,6994,2239,11195
f3,100_100_50,2,cudaGetDeviceProperties,5,576209,839485,662388.8,3311944
f3,100_100_50,2,cudaMemGetInfo,5,153995,264084,186049.2,930246
f3,100_100_50,2,cudaLaunch,160,19839,115132,25822.66,4131625
f3,100_100_50,2,cudaMalloc,15,230274,330816,268572.7,4028590
f3,100_100_50,2,cudaMemcpy,80,14823,91424,23079.74,1846379
f3,100_100_50,2,CUDA memcpy HtoD,40,44386,268558,216767.5,8670702
f3,100_100_50,2,CUDA memcpy DtoH,40,34561,245004,165205.8,6608230
f3,100_100_50,2,cudaFree,22,220963,1497995,562523.7,12375521
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_slices,40,22448,115132,29979.95,1199198
f3,100_100_50,2,gpu_stencil37_hack2_cp_slices,40,18528,26081,22869.05,914762
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_rows,40,19904,38602,24121.42,964857
f3,100_100_50,2,gpu_stencil37_hack2_cp_rows,40,54179,77156,64964.85,2598594
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_cols,40,19839,36264,24395.83,975833
f3,100_100_50,2,gpu_stencil37_hack2_cp_cols,40,117733,147015,125969.4,5038776
f3,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,120,19839,115132,26165.73,3139888
f3,100_100_50,2,gpu_stencil37_hack2,120,18528,147015,71267.77,8552132
f3,100_100_50,2,total_CUDA memcpy HtoD,40,44386,268558,216767.5,8670702
f3,100_100_50,2,total_CUDA memcpy DtoH,40,34561,245004,165205.8,6608230
f3,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 17104264
f3,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 14792923
f3,100_100_50,2,total_running_time,0, 0, 0, 0, 49376705
f3,100_100_50,3,cuDeviceGetAttribute,91,423,274400,8097.418,736865
f3,100_100_50,3,cudaSetupArgument,3840,403,7876,484.4445,1860267
f3,100_100_50,3,cudaMallocHost,2,2110740,197517807,99814274,199628547
f3,100_100_50,3,cudaGetDeviceCount,5,865,5934,1973,9865
f3,100_100_50,3,cudaGetDeviceProperties,5,531508,779790,608975.6,3044878
f3,100_100_50,3,cudaMemGetInfo,5,137117,235598,167777.2,838886
f3,100_100_50,3,cudaLaunch,240,18517,109162,22795.35,5470883
f3,100_100_50,3,cudaMalloc,15,218037,321390,245590.5,3683857
f3,100_100_50,3,cudaMemcpy,120,14026,85639,20109.65,2413158
f3,100_100_50,3,CUDA memcpy HtoD,60,44323,277134,221169.3,13270158
f3,100_100_50,3,CUDA memcpy DtoH,60,34497,235596,163152.5,9789152
f3,100_100_50,3,cudaFree,22,195954,1273031,531501.1,11693025
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_slices,60,20517,109162,25978.7,1558722
f3,100_100_50,3,gpu_stencil37_hack2_cp_slices,60,17889,30049,23303.03,1398182
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_rows,60,18517,36286,21250.97,1275058
f3,100_100_50,3,gpu_stencil37_hack2_cp_rows,60,49954,79748,66747.77,4004866
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_cols,60,18674,35966,21638.82,1298329
f3,100_100_50,3,gpu_stencil37_hack2_cp_cols,60,117478,152200,126747.6,7604856
f3,100_100_50,3,cudaLaunch (gpu_stencil37_hack2,180,18517,109162,22956.16,4132109
f3,100_100_50,3,gpu_stencil37_hack2,180,17889,152200,72266.13,13007904
f3,100_100_50,3,total_CUDA memcpy HtoD,60,44323,277134,221169.3,13270158
f3,100_100_50,3,total_CUDA memcpy DtoH,60,34497,235596,163152.5,9789152
f3,100_100_50,3,total_kernel_execution_time,0, 0, 0, 0, 26015808
f3,100_100_50,3,total_CUDA_functions,0, 0, 0, 0, 15645501
f3,100_100_50,3,total_running_time,0, 0, 0, 0, 54115070
f3,100_100_50,4,cuDeviceGetAttribute,91,348,241309,6745.824,613870
f3,100_100_50,4,cudaSetupArgument,5120,413,15258,577.1422,2954968
f3,100_100_50,4,cudaMallocHost,2,2121094,196102214,99111654,198223308
f3,100_100_50,4,cudaGetDeviceCount,5,918,7760,2376.8,11884
f3,100_100_50,4,cudaGetDeviceProperties,5,570863,880066,669315.4,3346577
f3,100_100_50,4,cudaMemGetInfo,5,154000,289488,192636,963180
f3,100_100_50,4,cudaLaunch,320,19769,129751,25995.52,8318565
f3,100_100_50,4,cudaMalloc,15,239817,353244,274554.2,4118313
f3,100_100_50,4,cudaMemcpy,160,14751,90642,21835.94,3493751
f3,100_100_50,4,CUDA memcpy HtoD,80,44226,276269,218914.2,17513138
f3,100_100_50,4,CUDA memcpy DtoH,80,34946,253037,165575.3,13246021
f3,100_100_50,4,cudaFree,22,216735,1476072,563807.5,12403765
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_slices,80,21883,129751,30168.2,2413456
f3,100_100_50,4,gpu_stencil37_hack2_cp_slices,80,18401,33474,23008.36,1840669
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_rows,80,20044,39314,24431,1954480
f3,100_100_50,4,gpu_stencil37_hack2_cp_rows,80,54306,84900,65767.16,5261373
f3,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_cols,80,19769,44723,24330.06,1946405
