machine,size,iteration,metric,invocations,min,max,mean,sum
supermicro,100_100_50,1,cuDeviceGetAttribute,364,140,238785,6639.387,2416737
supermicro,100_100_50,1,cudaSetupArgument,200,258,1369,362.05,72410
supermicro,100_100_50,1,cudaMallocHost,2,1558163,244140450,122849306,245698613
supermicro,100_100_50,1,cudaGetDeviceCount,5,984,8892,2947.6,14738
supermicro,100_100_50,1,cudaGetDeviceProperties,5,632760,746080,666463,3332315
supermicro,100_100_50,1,cudaMemGetInfo,5,189535,225711,204388,1021940
supermicro,100_100_50,1,cudaLaunch,20,16561,68161,26783.35,535667
supermicro,100_100_50,1,cudaMalloc,20,222882,358255,249084.8,4981695
supermicro,100_100_50,1,cudaMemcpy,10,624766,697390,654155.9,6541559
supermicro,100_100_50,1,CUDA memcpy HtoD,5,638350,639374,639060.6,3195303
supermicro,100_100_50,1,CUDA memcpy DtoH,5,598285,598573,598355.6,2991778
supermicro,100_100_50,1,cudaFree,22,163003,1079015,256031.9,5632701
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_slices,5,39701,68161,50411.6,252058
supermicro,100_100_50,1,gpu_stencil37_hack1_cp_slices,5,24160,24736,24512.6,122563
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_rows,5,16708,21247,19062.2,95311
supermicro,100_100_50,1,gpu_stencil37_hack1_cp_rows,5,64930,65665,65319.8,326599
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack1_cp_cols,5,16561,20184,18582.4,92912
supermicro,100_100_50,1,gpu_stencil37_hack1_cp_cols,5,117763,118563,118204.6,591023
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,5,16673,20248,19077.2,95386
supermicro,100_100_50,1,gpu_stencil37_hack2,5,288071,294471,291616.4,1458082
supermicro,100_100_50,1,total_CUDA memcpy HtoD,5,638350,639374,639060.6,3195303
supermicro,100_100_50,1,total_CUDA memcpy DtoH,5,598285,598573,598355.6,2991778
supermicro,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 2498267
supermicro,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 12375502
supermicro,100_100_50,1,total_running_time,0, 0, 0, 0, 35786356
supermicro,100_100_50,2,cuDeviceGetAttribute,364,144,222701,6356.802,2313876
supermicro,100_100_50,2,cudaSetupArgument,400,243,1362,351.4475,140579
