==22606== NVPROF is profiling process 22606, command: ./StencilCudaGpu37 200 200 100 1 5
==22606== Profiling application: ./StencilCudaGpu37 200 200 100 1 5
==22606== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,
114189667.000000,964,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
114191299.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGet"
114191805.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114194296.000000,237,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114195040.000000,209,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114313326.000000,531,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
114314094.000000,192,,,,,,,,,,,,,,,,,"cuDeviceGet"
114314810.000000,24547.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName"
114339590.000000,138608.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem"
114478443.000000,248,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114478821.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114479077.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114479334.000000,137,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114479607.000000,119,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114479857.000000,20653.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114500693.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114500948.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114501214.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114501470.000000,120,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114501732.000000,119,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114501983.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114502231.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114502487.000000,120,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114502740.000000,114,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114502986.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114503238.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114503491.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114503738.000000,121,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114503990.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114504313.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114504571.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114504836.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114505090.000000,109,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114505337.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114505587.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114505836.000000,115,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114506095.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114506342.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114506589.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114506841.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114507096.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114507349.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114507603.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114507864.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114508111.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114508358.000000,114,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114508604.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114508870.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114509117.000000,115,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114509363.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114509610.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114509866.000000,115,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114510113.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114510360.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114510609.000000,116,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114510869.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114511118.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114511367.000000,115,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114511613.000000,120,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114511868.000000,111,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114512113.000000,115,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114512360.000000,119,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
