==18115== NVPROF is profiling process 18115, command: ./StencilCudaGpu37 800 800 100 1 5
==18115== Profiling application: ./StencilCudaGpu37 800 800 100 1 5
==18115== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,
116794078.000000,1092.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
116795925.000000,232,,,,,,,,,,,,,,,,,"cuDeviceGet"
116796447.000000,303,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
116799700.000000,317,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
116800655.000000,239,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
116939647.000000,623,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
116940540.000000,231,,,,,,,,,,,,,,,,,"cuDeviceGet"
116941558.000000,26887.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName"
116968816.000000,169826.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem"
117138897.000000,228,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117139293.000000,145,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117139598.000000,161,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117139920.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117140256.000000,135,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117140554.000000,25538.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117166287.000000,165,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117166615.000000,141,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117166925.000000,152,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117167237.000000,144,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117167542.000000,145,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117167849.000000,154,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117168163.000000,152,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117168477.000000,157,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117168796.000000,154,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117169114.000000,138,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117169421.000000,139,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117169725.000000,147,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117170034.000000,160,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117170357.000000,149,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
117170669.000000,138,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
