==6329== NVPROF is profiling process 6329, command: ./StencilCudaGpu37 200 200 50 30 10
==6329== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6329== Profiling application: ./StencilCudaGpu37 200 200 50 30 10
==6329== Profiling result:
==6329== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex0_cache_sector_queries",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex1_cache_sector_queries",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex2_cache_sector_queries",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex3_cache_sector_queries",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex0_cache_sector_misses",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex1_cache_sector_misses",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex2_cache_sector_misses",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"tex3_cache_sector_misses",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"fb_subp0_read_sectors",42603,42894,42697,12809391
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"fb_subp1_read_sectors",42490,42798,42613,12784176
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"fb_subp0_write_sectors",40210,40447,40323,12097168
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"fb_subp1_write_sectors",39847,40475,40329,12098879
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_write_sector_misses",16254,16257,16254,4876380
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_write_sector_misses",16252,16257,16254,4876415
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_write_sector_misses",16251,16252,16251,4875360
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_write_sector_misses",16248,16253,16251,4875323
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_sector_misses",16289,16377,16294,4888483
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_read_sector_misses",16244,16336,16254,4876323
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_read_sector_misses",16307,16384,16314,4894343
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_sector_misses",16168,16268,16177,4853139
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_write_l1_sector_queries",16252,16252,16252,4875600
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_write_l1_sector_queries",16252,16252,16252,4875600
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_write_l1_sector_queries",16248,16248,16248,4874400
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_write_l1_sector_queries",16248,16248,16248,4874400
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_l1_sector_queries",16288,16288,16288,4886400
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_read_l1_sector_queries",16244,16244,16244,4873200
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_read_l1_sector_queries",16304,16304,16304,4891200
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_l1_sector_queries",16164,16164,16164,4849200
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_l1_hit_sectors",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_read_l1_hit_sectors",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_read_l1_hit_sectors",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_l1_hit_sectors",0,0,0,0
"Tesla K40c (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_tex_sector_queries",0,0,0,0
