machine, size, metric, invocations, min, max, mean
ccsl,200_200_50,300,"tex0_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex1_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex2_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex3_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex0_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex1_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex2_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex3_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"fb_subp0_read_sectors",42603,42894,42697
ccsl,200_200_50,300,"fb_subp1_read_sectors",42490,42798,42613
ccsl,200_200_50,300,"fb_subp0_write_sectors",40210,40447,40323
ccsl,200_200_50,300,"fb_subp1_write_sectors",39847,40475,40329
ccsl,200_200_50,300,"l2_subp0_write_sector_misses",16254,16257,16254
ccsl,200_200_50,300,"l2_subp1_write_sector_misses",16252,16257,16254
ccsl,200_200_50,300,"l2_subp2_write_sector_misses",16251,16252,16251
ccsl,200_200_50,300,"l2_subp3_write_sector_misses",16248,16253,16251
ccsl,200_200_50,300,"l2_subp0_read_sector_misses",16289,16377,16294
ccsl,200_200_50,300,"l2_subp1_read_sector_misses",16244,16336,16254
ccsl,200_200_50,300,"l2_subp2_read_sector_misses",16307,16384,16314
ccsl,200_200_50,300,"l2_subp3_read_sector_misses",16168,16268,16177
ccsl,200_200_50,300,"l2_subp0_write_l1_sector_queries",16252,16252,16252
ccsl,200_200_50,300,"l2_subp1_write_l1_sector_queries",16252,16252,16252
ccsl,200_200_50,300,"l2_subp2_write_l1_sector_queries",16248,16248,16248
ccsl,200_200_50,300,"l2_subp3_write_l1_sector_queries",16248,16248,16248
ccsl,200_200_50,300,"l2_subp0_read_l1_sector_queries",16288,16288,16288
ccsl,200_200_50,300,"l2_subp1_read_l1_sector_queries",16244,16244,16244
ccsl,200_200_50,300,"l2_subp2_read_l1_sector_queries",16304,16304,16304
ccsl,200_200_50,300,"l2_subp3_read_l1_sector_queries",16164,16164,16164
ccsl,200_200_50,300,"l2_subp0_read_l1_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_l1_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_l1_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_l1_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp0_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp0_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"l2_subp0_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp0_write_sysmem_sector_queries",0,4,1
ccsl,200_200_50,300,"l2_subp1_write_sysmem_sector_queries",0,4,1
ccsl,200_200_50,300,"l2_subp2_write_sysmem_sector_queries",0,5,2
ccsl,200_200_50,300,"l2_subp3_write_sysmem_sector_queries",0,4,0
ccsl,200_200_50,300,"l2_subp0_total_read_sector_queries",16288,16416,16305
ccsl,200_200_50,300,"l2_subp1_total_read_sector_queries",16244,16367,16263
ccsl,200_200_50,300,"l2_subp2_total_read_sector_queries",16344,16472,16359
ccsl,200_200_50,300,"l2_subp3_total_read_sector_queries",16204,16317,16222
ccsl,200_200_50,300,"l2_subp0_total_write_sector_queries",16254,16260,16255
ccsl,200_200_50,300,"l2_subp1_total_write_sector_queries",16252,16260,16255
ccsl,200_200_50,300,"l2_subp2_total_write_sector_queries",16252,16258,16253
ccsl,200_200_50,300,"l2_subp3_total_write_sector_queries",16248,16257,16251
ccsl,200_200_50,300,"elapsed_cycles_sm",743559,772152,755018
ccsl,200_200_50,300,"gld_inst_8bit",0,0,0
ccsl,200_200_50,300,"gld_inst_16bit",0,0,0
ccsl,200_200_50,300,"gld_inst_32bit",0,0,0
ccsl,200_200_50,300,"gld_inst_64bit",260000,260000,260000
ccsl,200_200_50,300,"gld_inst_128bit",0,0,0
ccsl,200_200_50,300,"gst_inst_8bit",0,0,0
ccsl,200_200_50,300,"gst_inst_16bit",0,0,0
ccsl,200_200_50,300,"gst_inst_32bit",0,0,0
ccsl,200_200_50,300,"gst_inst_64bit",260000,260000,260000
ccsl,200_200_50,300,"gst_inst_128bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_8bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_16bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_32bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_64bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_128bit",0,0,0
ccsl,200_200_50,300,"prof_trigger_00",0,0,0
ccsl,200_200_50,300,"prof_trigger_01",0,0,0
ccsl,200_200_50,300,"prof_trigger_02",0,0,0
ccsl,200_200_50,300,"prof_trigger_03",0,0,0
ccsl,200_200_50,300,"prof_trigger_04",0,0,0
ccsl,200_200_50,300,"prof_trigger_05",0,0,0
ccsl,200_200_50,300,"prof_trigger_06",0,0,0
ccsl,200_200_50,300,"prof_trigger_07",0,0,0
ccsl,200_200_50,300,"atom_cas_count",0,0,0
