==19139== NVPROF is profiling process 19139, command: ./StencilCudaGpu37 200 200 100 30 10
==19139== Profiling application: ./StencilCudaGpu37 200 200 100 30 10
==19139== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
109239304.000000,1166.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
109241330.000000,142,,,,,,,,,,,,,,,"cuDeviceGetCount"
109241709.000000,219,,,,,,,,,,,,,,,"cuDeviceGet"
109242209.000000,219,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109443712.000000,486,,,,,,,,,,,,,,,"cuDeviceGet"
109444521.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109447137.000000,179,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109447602.000000,166,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109553673.000000,439,,,,,,,,,,,,,,,"cuDeviceGetCount"
109554352.000000,169,,,,,,,,,,,,,,,"cuDeviceGet"
109555297.000000,17235.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
109572976.000000,141638.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
109714859.000000,207,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109715227.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109715553.000000,175,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109715890.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109716210.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109716517.000000,13231.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109729972.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109730293.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109730605.000000,164,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109730931.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109731247.000000,215,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109731623.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109731939.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109732270.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109732592.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109732907.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109733221.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109733534.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109733849.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109734155.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109734471.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109734793.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109735107.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109735419.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109735738.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109736057.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109736373.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109736681.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109737002.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109737313.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109737624.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109737937.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109738244.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109738559.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109738872.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109739193.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109739504.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109739810.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109740121.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109740438.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109740762.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109741080.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109741394.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109741706.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109742012.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109742322.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109742637.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109742952.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109743259.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109743564.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109743882.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109744193.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109744512.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109744818.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109745142.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109745453.000000,65093.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109810803.000000,188,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109811151.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109811480.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109811791.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109812106.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109812418.000000,199,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109812779.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109813093.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109813412.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109813721.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109814035.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109814353.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109814661.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109814983.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109815303.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109815620.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109815942.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
