machine, size, metric, invocations, min, max, mean
ccsl, 200_200_50, cuDeviceGetAttribute, 91,147,72653,2245.242
ccsl, 200_200_50, cudaSetupArgument, 12000,169,588,189.1128
ccsl, 200_200_50, cudaMallocHost, 2,2941343,103394776,53168060
ccsl, 200_200_50, cudaGetDeviceCount, 10,1183,2238,1699.5
ccsl, 200_200_50, cudaGetDeviceProperties, 10,236403,261476,244103.8
ccsl, 200_200_50, cudaMemGetInfo, 10,202111,261668,212575.6
ccsl, 200_200_50, cudaMalloc, 42,97430,103394776,2649582
ccsl, 200_200_50, cudaMemcpy, 20,1532277,2545774,1598413
ccsl, 200_200_50, CUDA memcpy HtoD, 10,1518451,1519187,1518768
ccsl, 200_200_50, CUDA memcpy DtoH, 10,1517939,2466175,1612903
ccsl, 200_200_50, cudaFree, 42,61085,2039341,173085.7
ccsl, 200_200_50, cudaLaunch (gpu_stencil37_hack1_cp_slices, 300,5013,33800,6143.43
ccsl, 200_200_50, "gpu_stencil37_hack1_cp_slices, 300,21728,23457,22146.7
ccsl, 200_200_50, cudaLaunch (gpu_stencil37_hack1_cp_rows, 300,4940,12446,5258.427
ccsl, 200_200_50, "gpu_stencil37_hack1_cp_rows, 300,61057,63169,62104.05
ccsl, 200_200_50, cudaLaunch (gpu_stencil37_hack1_cp_cols, 300,4963,11314,5219.213
ccsl, 200_200_50, "gpu_stencil37_hack1_cp_cols, 300,128674,131842,130244
ccsl, 200_200_50, cudaLaunch (gpu_stencil37_hack2, 300,4959,12451,5338.633
ccsl, 200_200_50, "gpu_stencil37_hack2, 300,577703,592775,583982.6
ccsl, 200_200_100, cuDeviceGetAttribute, 91,145,65093,2166.912
ccsl, 200_200_100, cudaSetupArgument, 12000,161,610,188.2639
ccsl, 200_200_100, cudaMallocHost, 2,5839132,108724179,57281656
ccsl, 200_200_100, cudaGetDeviceCount, 10,1220,2720,1519.2
ccsl, 200_200_100, cudaGetDeviceProperties, 10,237956,390102,269446
ccsl, 200_200_100, cudaMemGetInfo, 10,200179,245106,209957.7
ccsl, 200_200_100, cudaMalloc, 42,98475,108724179,2862986
ccsl, 200_200_100, cudaMemcpy, 20,3053088,3113050,3072180
ccsl, 200_200_100, CUDA memcpy HtoD, 10,3033380,3079045,3042760
ccsl, 200_200_100, CUDA memcpy DtoH, 10,3032868,3034756,3033246
ccsl, 200_200_100, cudaFree, 42,67186,5268403,317785.5
ccsl, 200_200_100, cudaLaunch (gpu_stencil37_hack1_cp_slices, 300,4836,36355,6040.193
ccsl, 200_200_100, "gpu_stencil37_hack1_cp_slices, 300,24992,26752,25703.05
ccsl, 200_200_100, cudaLaunch (gpu_stencil37_hack1_cp_rows, 300,4871,11497,5250.48
ccsl, 200_200_100, "gpu_stencil37_hack1_cp_rows, 300,72065,74368,73088.66
ccsl, 200_200_100, cudaLaunch (gpu_stencil37_hack1_cp_cols, 300,4859,24456,5191.573
ccsl, 200_200_100, "gpu_stencil37_hack1_cp_cols, 300,186082,192098,188898.7
ccsl, 200_200_100, cudaLaunch (gpu_stencil37_hack2, 300,4880,12037,5276.343
ccsl, 200_200_100, "gpu_stencil37_hack2, 300,1167342,1194447,1183805
ccsl, 200_200_200, cuDeviceGetAttribute, 91,142,66030,2122.604
ccsl, 200_200_200, cudaSetupArgument, 12000,171,3168,189.3637
ccsl, 200_200_200, cudaMallocHost, 2,13390119,115531586,64460852
ccsl, 200_200_200, cudaGetDeviceCount, 10,975,2427,1467.7
ccsl, 200_200_200, cudaGetDeviceProperties, 10,234885,339803,261769
ccsl, 200_200_200, cudaMemGetInfo, 10,200230,229150,205716.2
ccsl, 200_200_200, cudaMalloc, 42,100276,115531586,3223611
ccsl, 200_200_200, cudaMemcpy, 20,6096346,6454343,6143895
ccsl, 200_200_200, CUDA memcpy HtoD, 10,6063111,6219848,6101566
ccsl, 200_200_200, CUDA memcpy DtoH, 10,6062247,6411275,6098417
ccsl, 200_200_200, cudaFree, 42,69691,9829945,574677.1
ccsl, 200_200_200, cudaLaunch (gpu_stencil37_hack1_cp_slices, 300,5033,65359,6862.37
ccsl, 200_200_200, "gpu_stencil37_hack1_cp_slices, 300,36000,38144,36968.95
ccsl, 200_200_200, cudaLaunch (gpu_stencil37_hack1_cp_rows, 300,4937,18132,5769.813
ccsl, 200_200_200, "gpu_stencil37_hack1_cp_rows, 300,108930,112705,110616.4
ccsl, 200_200_200, cudaLaunch (gpu_stencil37_hack1_cp_cols, 300,4907,15187,5530.207
