==15694== NVPROF is profiling process 15694, command: ./StencilCudaGpu37 200 200 50 8 5
==15694== Profiling application: ./StencilCudaGpu37 200 200 50 8 5
==15694== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,
115311984.000000,803,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
115313566.000000,259,,,,,,,,,,,,,,,,,"cuDeviceGet"
115314316.000000,334,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115317080.000000,212,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115317805.000000,217,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115444392.000000,516,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
115445138.000000,159,,,,,,,,,,,,,,,,,"cuDeviceGet"
115446344.000000,25470.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName"
115472486.000000,136810.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem"
115609512.000000,222,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115609872.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115610137.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115610397.000000,137,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115610673.000000,110,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115610921.000000,20577.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115631659.000000,143,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115631935.000000,119,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115632186.000000,167,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115632489.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115632747.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115633004.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115633266.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115633515.000000,120,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115633794.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115634050.000000,118,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115634300.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115634550.000000,117,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
