machine, size, metric, invocations, min, max, mean
ccsl,200_200_50,300,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%
ccsl,200_200_50,300,"l1_cache_local_hit_rate","L1 Local Hit Rate",0.000000%,0.000000%
ccsl,200_200_50,300,"sm_efficiency","Multiprocessor Activity",77.023155%,79.409762%
ccsl,200_200_50,300,"ipc","Executed IPC",0.206179,0.212780
ccsl,200_200_50,300,"achieved_occupancy","Achieved Occupancy",0.109360,0.109361
ccsl,200_200_50,300,"gld_requested_throughput","Requested Global Load Throughput",29.866651GB/s,30.023108GB/s
ccsl,200_200_50,300,"gst_requested_throughput","Requested Global Store Throughput",29.866651GB/s,30.023108GB/s
ccsl,200_200_50,300,"sm_efficiency_instance","Multiprocessor Activity",77.023155%,79.409762%
ccsl,200_200_50,300,"ipc_instance","Executed IPC",0.206179,0.212780
ccsl,200_200_50,300,"inst_replay_overhead","Instruction Replay Overhead",0.432026,0.432410
ccsl,200_200_50,300,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000
ccsl,200_200_50,300,"global_replay_overhead","Global Memory Replay Overhead",0.187149,0.187149
ccsl,200_200_50,300,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000
ccsl,200_200_50,300,"tex_cache_hit_rate","Texture Cache Hit Rate",0.000000%,0.000000%
ccsl,200_200_50,300,"tex_cache_throughput","Texture Cache Throughput",0.000000B/s,0.000000B/s
ccsl,200_200_50,300,"dram_read_throughput","Device Memory Read Throughput",39.158395GB/s,39.441134GB/s
ccsl,200_200_50,300,"dram_write_throughput","Device Memory Write Throughput",36.835360GB/s,37.272958GB/s
ccsl,200_200_50,300,"gst_throughput","Global Store Throughput",29.866651GB/s,30.023108GB/s
ccsl,200_200_50,300,"gld_throughput","Global Load Throughput",29.866651GB/s,30.023108GB/s
ccsl,200_200_50,300,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000
ccsl,200_200_50,300,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%
ccsl,200_200_50,300,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%
ccsl,200_200_50,300,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%
ccsl,200_200_50,300,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",0.000000%,0.000000%
ccsl,200_200_50,300,"l2_texture_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%
ccsl,200_200_50,300,"l2_l1_read_throughput","L2 Throughput (L1 Reads)",29.866651GB/s,30.023108GB/s
ccsl,200_200_50,300,"l2_texture_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,0.000000B/s
ccsl,200_200_50,300,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%
ccsl,200_200_50,300,"warp_execution_efficiency","Warp Execution Efficiency",89.285714%,89.285714%
ccsl,200_200_50,300,"nc_gld_requested_throughput","Requested Non-Coherent Global Load Throughput",0.000000B/s,0.000000B/s
ccsl,200_200_50,300,"issued_ipc","Issued IPC",0.295447,0.304614
ccsl,200_200_50,300,"inst_per_warp","Instructions per warp",1374.000000,1374.000000
ccsl,200_200_50,300,"issue_slot_utilization","Issue Slot Utilization",5.482883%,5.652971%
