==19417== NVPROF is profiling process 19417, command: ./StencilCudaGpu37 400 400 800 30 10
==19417== Profiling application: ./StencilCudaGpu37 400 400 800 30 10
==19417== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
108301331.000000,1259.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
108303412.000000,239,,,,,,,,,,,,,,,"cuDeviceGetCount"
108304081.000000,334,,,,,,,,,,,,,,,"cuDeviceGet"
108304830.000000,425,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108526428.000000,666,,,,,,,,,,,,,,,"cuDeviceGet"
108527564.000000,339,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108539727.000000,298,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108540509.000000,281,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108695605.000000,545,,,,,,,,,,,,,,,"cuDeviceGetCount"
108696530.000000,304,,,,,,,,,,,,,,,"cuDeviceGet"
108697868.000000,38092.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
108736580.000000,232147.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
108969177.000000,311,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108969807.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108970280.000000,251,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108970812.000000,248,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108971325.000000,239,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108971818.000000,16123.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108988270.000000,270,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108988812.000000,253,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108989347.000000,276,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108989903.000000,263,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108990417.000000,303,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108990984.000000,257,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108991519.000000,260,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108992039.000000,278,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108992587.000000,271,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108993135.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108993660.000000,262,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108994201.000000,226,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108994702.000000,306,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108995277.000000,240,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108995785.000000,265,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108996311.000000,247,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108996829.000000,252,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108997362.000000,268,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108997904.000000,264,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108998430.000000,296,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108999001.000000,240,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
108999517.000000,245,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109000040.000000,248,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109000570.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109001093.000000,267,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109001649.000000,255,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109002199.000000,316,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109002758.000000,217,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109003227.000000,241,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109003734.000000,251,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109004255.000000,311,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109004845.000000,247,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109005373.000000,237,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109005899.000000,267,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109006465.000000,267,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109006992.000000,315,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109007580.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109008093.000000,248,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109008620.000000,245,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109009146.000000,242,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109009672.000000,253,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109010221.000000,256,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109010757.000000,251,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109011264.000000,248,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109011784.000000,243,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109012300.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109012820.000000,246,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109013350.000000,251,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109013874.000000,260,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109014428.000000,95753.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109110597.000000,217,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109111019.000000,232,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109111460.000000,202,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109111878.000000,204,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109112280.000000,200,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109112701.000000,212,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109113135.000000,216,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109113576.000000,238,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109114069.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109114565.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
109115008.000000,262,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
