==17447== NVPROF is profiling process 17447, command: ./StencilCudaGpu37 400 400 400 5 5
==17447== Profiling application: ./StencilCudaGpu37 400 400 400 5 5
==17447== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,
114704019.000000,1331.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
114706113.000000,241,,,,,,,,,,,,,,,,,"cuDeviceGet"
114706620.000000,282,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114709296.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114709887.000000,156,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114800962.000000,401,,,,,,,,,,,,,,,,,"cuDeviceGetCount"
114801561.000000,155,,,,,,,,,,,,,,,,,"cuDeviceGet"
114802646.000000,28985.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName"
114831940.000000,152380.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem"
114984562.000000,228,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114984958.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114985229.000000,142,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114985517.000000,136,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114985810.000000,121,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
114986076.000000,21309.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115007589.000000,143,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115007874.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115008152.000000,134,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115008427.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115008697.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115008975.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115009244.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115009513.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115009780.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115010051.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115010320.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115010592.000000,137,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115010872.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115011139.000000,189,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115011471.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115011744.000000,132,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115012022.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115012290.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115012556.000000,141,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115012848.000000,130,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115013129.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115013403.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115013673.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115013943.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115014210.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115014477.000000,133,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115014756.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115015022.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115015311.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115015588.000000,121,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115015854.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115016120.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115016394.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115016661.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115016934.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115017203.000000,121,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115017467.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115017734.000000,121,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115017999.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115018275.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115018544.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115018808.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115019076.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115019343.000000,134,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115019621.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115019888.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115020153.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115020422.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115020691.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115020956.000000,110174.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115131398.000000,142,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115131683.000000,128,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115131952.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115132221.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115132490.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115132761.000000,165,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115133073.000000,133,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115133349.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115133627.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115133896.000000,120,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115134159.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115134428.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115134696.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115134962.000000,125,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115135230.000000,123,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115135493.000000,139,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115135783.000000,129,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115136058.000000,126,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115136329.000000,122,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115136596.000000,119674.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115256521.000000,134,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115256801.000000,140,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115257092.000000,130,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115257366.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115257636.000000,127,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115257908.000000,135,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115258195.000000,133,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115258474.000000,416,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115259102.000000,33301.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115292635.000000,163,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115292950.000000,128,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115293219.000000,283,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115293646.000000,124,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115293912.000000,200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115294257.000000,135,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
115299012.000000,168538352.000000,,,,,,,,,,,,,,,,,"cudaMallocHost"
283839884.000000,91072645.000000,,,,,,,,,,,,,,,,,"cudaMallocHost"
690616209.000000,1671.000000,,,,,,,,,,,,,,,,,"cudaGetDeviceCount"
690618115.000000,351825.000000,,,,,,,,,,,,,,,,,"cudaGetDeviceProperties"
690970657.000000,230963.000000,,,,,,,,,,,,,,,,,"cudaMemGetInfo"
691208247.000000,51934.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691260608.000000,13447.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691274252.000000,13100.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691287620.000000,12039.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691299882.000000,11385.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691311492.000000,12847.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691324568.000000,14703.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691339553.000000,190847.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691530827.000000,14770.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691545871.000000,12412.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691558463.000000,11727.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691570374.000000,10773.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691581380.000000,11705.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691593324.000000,10241.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
691603796.000000,11258.000000,,,,,,,,,,,,,,,,,"cudaStreamCreate"
