==11463== NVPROF is profiling process 11463, command: ./StencilCudaGpu37 800 800 800 4 5
==11463== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==11463== Profiling application: ./StencilCudaGpu37 800 800 800 4 5
==11463== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
117172375.000000,1277.000000,,,,,,,,,,,,,"cuDeviceGetCount",1
117174398.000000,204,,,,,,,,,,,,,"cuDeviceGetCount",2
117181942.000000,412,,,,,,,,,,,,,"cuDeviceGet",3
117182770.000000,238,,,,,,,,,,,,,"cuDeviceGetAttribute",4
117184936.000000,237,,,,,,,,,,,,,"cuDeviceGetAttribute",5
117185621.000000,201,,,,,,,,,,,,,"cuDeviceGetAttribute",6
117523623.000000,567,,,,,,,,,,,,,"cuDeviceGet",7
117524488.000000,224,,,,,,,,,,,,,"cuDeviceGetAttribute",8
117525096.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",9
117525607.000000,194,,,,,,,,,,,,,"cuDeviceGetAttribute",10
117548605.000000,349,,,,,,,,,,,,,"cuDeviceGetCount",11
117549195.000000,180,,,,,,,,,,,,,"cuDeviceGet",12
117550126.000000,48237.000000,,,,,,,,,,,,,"cuDeviceGetName",13
117599446.000000,101134.000000,,,,,,,,,,,,,"cuDeviceTotalMem",14
117701030.000000,377,,,,,,,,,,,,,"cuDeviceGetAttribute",15
117701618.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",16
117702002.000000,198,,,,,,,,,,,,,"cuDeviceGetAttribute",17
117702416.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",18
117702798.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",19
117703191.000000,28930.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",20
117732613.000000,228,,,,,,,,,,,,,"cuDeviceGetAttribute",21
117733048.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",22
117733423.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",23
117733805.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",24
117734185.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",25
117734575.000000,188,,,,,,,,,,,,,"cuDeviceGetAttribute",26
117734964.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",27
117735340.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",28
117735764.000000,195,,,,,,,,,,,,,"cuDeviceGetAttribute",29
117736171.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",30
117736561.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",31
117736938.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",32
117737322.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",33
117737715.000000,246,,,,,,,,,,,,,"cuDeviceGetAttribute",34
117738167.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",35
117738544.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",36
117738932.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",37
117739320.000000,242,,,,,,,,,,,,,"cuDeviceGetAttribute",38
117739766.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",39
117740143.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",40
117740530.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",41
117740922.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",42
117741302.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",43
117741686.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",44
117742076.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",45
117742453.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",46
117742839.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",47
117743213.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",48
117743599.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",49
