==6970== NVPROF is profiling process 6970, command: ./StencilCudaGpu37 200 200 100 3 3
==6970== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==6970== Profiling application: ./StencilCudaGpu37 200 200 100 3 3
==6970== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,,
116240090.000000,1500.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount",1
116242597.000000,231,,,,,,,,,,,,,,,,,"cuDeviceGetCount",2
116253746.000000,532,,,,,,,,,,,,,,,,,"cuDeviceGet",3
116254843.000000,336,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",4
116258767.000000,277,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",5
116259537.000000,235,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",6
116601894.000000,1275.000000,,,,,,,,,,,,,,,,,"cuDeviceGet",7
116603649.000000,332,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",8
116605292.000000,215,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",9
116612698.000000,385,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",10
116667611.000000,463,,,,,,,,,,,,,,,,,"cuDeviceGetCount",11
116668465.000000,252,,,,,,,,,,,,,,,,,"cuDeviceGet",12
116669722.000000,46800.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",13
116717581.000000,110053.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",14
116828254.000000,395,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",15
116828870.000000,200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",16
116829297.000000,203,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",17
116829716.000000,204,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",18
116830136.000000,192,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",19
