==12464== NVPROF is profiling process 12464, command: ./StencilCudaGpu37 1000 1000 100 9 5
==12464== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==12464== Profiling application: ./StencilCudaGpu37 1000 1000 100 9 5
==12464== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,,
115226113.000000,1046.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount",1
115227876.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetCount",2
115238617.000000,528,,,,,,,,,,,,,,,,,"cuDeviceGet",3
115239580.000000,370,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",4
115241872.000000,228,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",5
115242591.000000,196,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",6
115575940.000000,559,,,,,,,,,,,,,,,,,"cuDeviceGet",7
115576777.000000,203,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",8
115577344.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",9
115577881.000000,200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",10
115599682.000000,302,,,,,,,,,,,,,,,,,"cuDeviceGetCount",11
115600226.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGet",12
115601053.000000,34873.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",13
115636741.000000,131663.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",14
115769089.000000,393,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",15
115769681.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",16
115770060.000000,198,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",17
115770461.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",18
115770837.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",19
115771217.000000,29873.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",20
115801561.000000,209,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",21
115801975.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",22
115802358.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",23
115802735.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",24
115803124.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",25
115803500.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",26
115803882.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",27
115804258.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",28
115804645.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",29
115805021.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",30
115805404.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",31
115805779.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",32
115806162.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",33
115806546.000000,251,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",34
115807001.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",35
115807374.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",36
115807745.000000,190,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",37
115808138.000000,245,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",38
115808579.000000,214,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",39
115808982.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",40
115809364.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",41
115809743.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",42
115810123.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",43
115810497.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",44
115810877.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",45
115811251.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",46
115811621.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",47
115812005.000000,243,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",48
115812448.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",49
115812820.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",50
115813195.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",51
115813562.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",52
115813938.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",53
115814314.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",54
115814683.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",55
115815052.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",56
115815421.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",57
115815804.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",58
115816174.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",59
115816555.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",60
115816928.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",61
115817294.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",62
115817677.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",63
115818049.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",64
115818428.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",65
115818805.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",66
115819174.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",67
115819550.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",68
115819925.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",69
115820306.000000,140001.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",70
115960864.000000,225,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",71
115961286.000000,202,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",72
115961685.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",73
115962051.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",74
115962436.000000,191,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",75
115962825.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",76
115963208.000000,191,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",77
115963597.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",78
115963970.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",79
115964344.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",80
115964715.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",81
115965085.000000,244,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",82
115965531.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",83
115965911.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",84
115966284.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",85
115966660.000000,199,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",86
115967049.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",87
115967425.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",88
115967797.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",89
115968178.000000,138248.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",90
116106958.000000,229,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",91
116107388.000000,192,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",92
116107783.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",93
116108163.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",94
116108543.000000,255,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",95
116108996.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",96
116109381.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",97
