==13314== NVPROF is profiling process 13314, command: ./StencilCudaGpu37 1000 1000 400 1 5
==13314== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==13314== Profiling application: ./StencilCudaGpu37 1000 1000 400 1 5
==13314== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
116495886.000000,1445.000000,,,,,,,,,,,,,"cuDeviceGetCount",1
116498244.000000,198,,,,,,,,,,,,,"cuDeviceGetCount",2
116507451.000000,474,,,,,,,,,,,,,"cuDeviceGet",3
116508473.000000,307,,,,,,,,,,,,,"cuDeviceGetAttribute",4
116511493.000000,206,,,,,,,,,,,,,"cuDeviceGetAttribute",5
116512249.000000,199,,,,,,,,,,,,,"cuDeviceGetAttribute",6
116862198.000000,671,,,,,,,,,,,,,"cuDeviceGet",7
116863179.000000,245,,,,,,,,,,,,,"cuDeviceGetAttribute",8
116867345.000000,273,,,,,,,,,,,,,"cuDeviceGetAttribute",9
116868164.000000,234,,,,,,,,,,,,,"cuDeviceGetAttribute",10
116924951.000000,390,,,,,,,,,,,,,"cuDeviceGetCount",11
116925584.000000,195,,,,,,,,,,,,,"cuDeviceGet",12
116926738.000000,40226.000000,,,,,,,,,,,,,"cuDeviceGetName",13
116968122.000000,104393.000000,,,,,,,,,,,,,"cuDeviceTotalMem",14
117073054.000000,398,,,,,,,,,,,,,"cuDeviceGetAttribute",15
117073663.000000,198,,,,,,,,,,,,,"cuDeviceGetAttribute",16
117074062.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",17
117074463.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",18
117074881.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",19
117075277.000000,29492.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",20
117105223.000000,218,,,,,,,,,,,,,"cuDeviceGetAttribute",21
117105646.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",22
117106024.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",23
117106405.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",24
117106791.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",25
117107170.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",26
117107555.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",27
117107942.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",28
117108333.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",29
117108723.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",30
117109114.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",31
117109506.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",32
117109891.000000,251,,,,,,,,,,,,,"cuDeviceGetAttribute",33
117110343.000000,255,,,,,,,,,,,,,"cuDeviceGetAttribute",34
117110807.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",35
117111187.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",36
117111571.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",37
117111962.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",38
117112347.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",39
117112729.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",40
117113117.000000,254,,,,,,,,,,,,,"cuDeviceGetAttribute",41
117113579.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",42
117113970.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",43
117114361.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",44
117114748.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",45
117115138.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",46
117115520.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",47
