==25047== NVPROF is profiling process 25047, command: ./StencilCudaGpu37 400 400 200 6 5
==25047== Profiling application: ./StencilCudaGpu37 400 400 200 6 5
==25047== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
134292465.000000,3913.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134299917.000000,643,,,,,,,,,,,,,,,"cuDeviceGetCount"
134301631.000000,714,,,,,,,,,,,,,,,"cuDeviceGet"
134305735.000000,656,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134779874.000000,1489.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134785822.000000,769,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134793696.000000,646,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134795449.000000,511,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135146121.000000,1590.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135148481.000000,569,,,,,,,,,,,,,,,"cuDeviceGet"
135153967.000000,253237.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135412311.000000,211158.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135624844.000000,1040.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135626367.000000,455,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135627262.000000,523,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135628238.000000,498,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135629185.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135630069.000000,57224.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135688512.000000,652,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135689622.000000,410,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135690475.000000,409,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135691330.000000,452,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135692226.000000,412,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135693084.000000,418,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135693955.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135694832.000000,412,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135695693.000000,397,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135696539.000000,468,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135697459.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135698299.000000,407,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
