==4260== NVPROF is profiling process 4260, command: ./StencilCudaGpu37 200 200 200 6 5
==4260== Profiling application: ./StencilCudaGpu37 200 200 200 6 5
==4260== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
134152911.000000,4176.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134161117.000000,617,,,,,,,,,,,,,,,"cuDeviceGetCount"
134162881.000000,766,,,,,,,,,,,,,,,"cuDeviceGet"
134167114.000000,597,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134671801.000000,1873.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134678721.000000,813,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134688261.000000,1017.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134691274.000000,814,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135363599.000000,1567.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135365867.000000,560,,,,,,,,,,,,,,,"cuDeviceGet"
135385832.000000,100523.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135488338.000000,217207.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135706905.000000,800,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135708308.000000,464,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135709238.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135710242.000000,496,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135711235.000000,537,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135712338.000000,56994.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135770405.000000,600,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135771478.000000,464,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135772428.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135773382.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135774348.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135775308.000000,494,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
