==23386== NVPROF is profiling process 23386, command: ./StencilCudaGpu37 400 400 50 6 5
==23386== Profiling application: ./StencilCudaGpu37 400 400 50 6 5
==23386== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
133762978.000000,3148.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
133769371.000000,604,,,,,,,,,,,,,,,"cuDeviceGetCount"
133770738.000000,677,,,,,,,,,,,,,,,"cuDeviceGet"
133773829.000000,622,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134746936.000000,1134.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134752110.000000,624,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134759818.000000,513,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134761159.000000,426,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135049769.000000,1278.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135051694.000000,454,,,,,,,,,,,,,,,"cuDeviceGet"
135056310.000000,177384.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135237955.000000,178365.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135417597.000000,878,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135418892.000000,362,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135419647.000000,459,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135420517.000000,415,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135421339.000000,360,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135422106.000000,48249.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135471240.000000,530,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135472170.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135472939.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135473703.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135474461.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135475228.000000,360,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135475976.000000,356,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135476715.000000,351,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135477454.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135478188.000000,402,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135478976.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135479708.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135480440.000000,461,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135481290.000000,345,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135482026.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135482755.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135483487.000000,405,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135484339.000000,355,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135485136.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135485854.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135486586.000000,369,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135487346.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135488077.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135488814.000000,343,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135489753.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135490487.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135491217.000000,340,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135491950.000000,356,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135492697.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135493433.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135494167.000000,336,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135494897.000000,409,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135495697.000000,340,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135496430.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135497160.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135497897.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135498633.000000,348,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135499374.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135500103.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135500833.000000,350,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135501572.000000,343,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135502308.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135503037.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135503783.000000,354,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135504527.000000,348,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135505266.000000,12635.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135518595.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135519417.000000,357,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135520143.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135520890.000000,223364.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135745334.000000,553,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135746287.000000,370,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135747050.000000,343,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135747781.000000,379,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135748551.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135749292.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135750061.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135750835.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135751579.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135752306.000000,348,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135753040.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135753774.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135754617.000000,340,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135755341.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135756073.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135756810.000000,378,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135757577.000000,350,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135758313.000000,348,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135759050.000000,357,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135759791.000000,213506.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135974255.000000,538,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135975177.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135975941.000000,356,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135976671.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135977395.000000,353,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135978139.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135978873.000000,348,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135979610.000000,1249.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135981250.000000,58578.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136040835.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136041706.000000,402,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136055852.000000,220572097.000000,,,,,,,,,,,,,,,"cudaMallocHost"
356631523.000000,29652769.000000,,,,,,,,,,,,,,,"cudaMallocHost"
