==30690== NVPROF is profiling process 30690, command: ./StencilCudaGpu37 200 200 50 3 3
==30690== Profiling application: ./StencilCudaGpu37 200 200 50 3 3
==30690== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
134403287.000000,4024.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134411391.000000,646,,,,,,,,,,,,,,,"cuDeviceGetCount"
134413025.000000,729,,,,,,,,,,,,,,,"cuDeviceGet"
134429617.000000,754,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134879205.000000,1312.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134884674.000000,783,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134892488.000000,544,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134894297.000000,491,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135166370.000000,1455.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135168453.000000,537,,,,,,,,,,,,,,,"cuDeviceGet"
135173387.000000,221473.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135399700.000000,191340.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135592286.000000,854,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135593575.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135594408.000000,518,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135595332.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135596172.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135596975.000000,51388.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135649395.000000,573,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135650395.000000,385,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135651198.000000,500,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135652118.000000,400,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135652952.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135653768.000000,410,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135654598.000000,385,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135655408.000000,387,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135656218.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135657015.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135657863.000000,383,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135658675.000000,371,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135659468.000000,492,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135660392.000000,386,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135661200.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135662066.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135662863.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135663668.000000,387,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135664480.000000,375,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135665280.000000,535,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135666240.000000,378,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135667040.000000,368,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135667835.000000,371,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135668628.000000,375,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135669426.000000,369,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135670220.000000,378,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135671023.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135671818.000000,382,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135672628.000000,378,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135673438.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135674243.000000,375,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135675046.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135675960.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135676760.000000,368,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135677558.000000,365,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135678348.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135679146.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135679952.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135680752.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135681548.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135682343.000000,375,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135683140.000000,368,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135683935.000000,383,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135684748.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135685558.000000,382,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135686368.000000,364,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135687158.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135688080.000000,420,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135688978.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135689778.000000,233274.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135924209.000000,554,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135925195.000000,388,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135926009.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135926812.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135927629.000000,386,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135928423.000000,392,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135929243.000000,423,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135930092.000000,388,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135930909.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135931715.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135932526.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135933332.000000,400,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135934158.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135934960.000000,372,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135935758.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135936543.000000,392,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135937358.000000,382,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135938169.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135938975.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135939855.000000,224498.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136165463.000000,563,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136166438.000000,408,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136167263.000000,390,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136168075.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136168873.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136169658.000000,380,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136170478.000000,377,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136171283.000000,1410.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136173121.000000,63568.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136237666.000000,569,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136238678.000000,468,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136254689.000000,200557589.000000,,,,,,,,,,,,,,,"cudaMallocHost"
336815208.000000,7714375.000000,,,,,,,,,,,,,,,"cudaMallocHost"
425336224.000000,4831.000000,,,,,,,,,,,,,,,"cudaGetDeviceCount"
425341879.000000,587662.000000,,,,,,,,,,,,,,,"cudaGetDeviceProperties"
425932714.000000,172632.000000,,,,,,,,,,,,,,,"cudaMemGetInfo"
426143396.000000,429519.000000,,,,,,,,,,,,,,,"cudaMalloc"
426574083.000000,213637.000000,,,,,,,,,,,,,,,"cudaMalloc"
426788658.000000,209702.000000,,,,,,,,,,,,,,,"cudaMalloc"
426999274.000000,226140.000000,,,,,,,,,,,,,,,"cudaMalloc"
427230249.000000,2615002.000000,,,,,,,,,,,,,,,"cudaMemcpy"
427295720.000000,2526748.000000,,,,,,,,,,15.258789,5.897367,"Tesla K20m (0)","1","7","[CUDA memcpy HtoD]"
429851376.000000,2007.000000,,,,,,,,,,,,,,,"cudaConfigureCall"
429854813.000000,1215.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
429856410.000000,424,,,,,,,,,,,,,,,"cudaSetupArgument"
429857120.000000,1090.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
429858583.000000,370,,,,,,,,,,,,,,,"cudaSetupArgument"
429859219.000000,421,,,,,,,,,,,,,,,"cudaSetupArgument"
429859982.000000,326,,,,,,,,,,,,,,,"cudaSetupArgument"
429860679.000000,318,,,,,,,,,,,,,,,"cudaSetupArgument"
429861262.000000,312,,,,,,,,,,,,,,,"cudaSetupArgument"
429861968.000000,803,,,,,,,,,,,,,,,"cudaSetupArgument"
429863173.000000,370,,,,,,,,,,,,,,,"cudaSetupArgument"
429867066.000000,85479.000000,,,,,,,,,,,,,,,"cudaLaunch (gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [121])"
429950922.000000,25025.000000,1,13,1,200,1,1,18,0,0.000000,,,"Tesla K20m (0)","1","7","gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [121]"
429953431.000000,671,,,,,,,,,,,,,,,"cudaConfigureCall"
429954760.000000,427,,,,,,,,,,,,,,,"cudaSetupArgument"
429955582.000000,311,,,,,,,,,,,,,,,"cudaSetupArgument"
429956253.000000,361,,,,,,,,,,,,,,,"cudaSetupArgument"
429956876.000000,351,,,,,,,,,,,,,,,"cudaSetupArgument"
429957585.000000,335,,,,,,,,,,,,,,,"cudaSetupArgument"
429958197.000000,325,,,,,,,,,,,,,,,"cudaSetupArgument"
429958837.000000,317,,,,,,,,,,,,,,,"cudaSetupArgument"
429959533.000000,315,,,,,,,,,,,,,,,"cudaSetupArgument"
429960107.000000,367,,,,,,,,,,,,,,,"cudaSetupArgument"
429960839.000000,358,,,,,,,,,,,,,,,"cudaSetupArgument"
429962065.000000,26595.000000,,,,,,,,,,,,,,,"cudaLaunch (gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int) [133])"
429989463.000000,568,,,,,,,,,,,,,,,"cudaConfigureCall"
429990508.000000,69475.000000,1,13,1,200,1,1,17,0,0.000000,,,"Tesla K20m (0)","1","7","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int) [133]"
429990511.000000,422,,,,,,,,,,,,,,,"cudaSetupArgument"
429991190.000000,337,,,,,,,,,,,,,,,"cudaSetupArgument"
429991910.000000,338,,,,,,,,,,,,,,,"cudaSetupArgument"
429992614.000000,345,,,,,,,,,,,,,,,"cudaSetupArgument"
429993227.000000,353,,,,,,,,,,,,,,,"cudaSetupArgument"
