==20325== NVPROF is profiling process 20325, command: ./StencilCudaGpu37 200 200 50 5 3
==20325== Profiling application: ./StencilCudaGpu37 200 200 50 5 3
==20325== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
135158777.000000,4047.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135166947.000000,703,,,,,,,,,,,,,,,"cuDeviceGetCount"
135168820.000000,764,,,,,,,,,,,,,,,"cuDeviceGet"
135173140.000000,680,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135659437.000000,1333.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135665647.000000,887,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135674684.000000,666,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135676777.000000,537,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136064725.000000,1484.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
136066878.000000,560,,,,,,,,,,,,,,,"cuDeviceGet"
136071955.000000,183803.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
136261451.000000,219574.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
136482588.000000,1060.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136484188.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136485155.000000,630,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136486321.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136487311.000000,484,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136488325.000000,56193.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136545655.000000,583,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136546735.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
