==23633== NVPROF is profiling process 23633, command: ./StencilCudaGpu37 400 400 50 9 5
==23633== Profiling application: ./StencilCudaGpu37 400 400 50 9 5
==23633== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
134554089.000000,4150.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134562132.000000,637,,,,,,,,,,,,,,,"cuDeviceGetCount"
134563905.000000,770,,,,,,,,,,,,,,,"cuDeviceGet"
134568099.000000,726,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135069759.000000,1493.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135075992.000000,803,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135084955.000000,760,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135086862.000000,520,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135402799.000000,1713.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135405265.000000,597,,,,,,,,,,,,,,,"cuDeviceGet"
135411135.000000,216934.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135633662.000000,219751.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135855036.000000,1143.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135856696.000000,540,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135857709.000000,574,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135858769.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135859779.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135860729.000000,57081.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135919083.000000,683,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135920253.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135921216.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135922150.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135923120.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135924066.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135925006.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135925936.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135926863.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135927816.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135928803.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135929726.000000,594,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135930803.000000,563,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135931853.000000,567,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135932916.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135933853.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135934770.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135935703.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135936633.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135937530.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135938443.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135939390.000000,603,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135940480.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135941400.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135942560.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135943476.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135944410.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135945333.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135946273.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135947276.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135948196.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135949123.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135950126.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135951040.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135951960.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135952873.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135953803.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135954730.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135955650.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135956576.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135957493.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135958413.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135959330.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135960256.000000,444,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135961186.000000,444,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135962120.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135963043.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135963956.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135964853.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135965776.000000,279537.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136247066.000000,774,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136248326.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136249286.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136250200.000000,486,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136251173.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136252140.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136253080.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136254063.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136255010.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136255930.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136256853.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136257780.000000,560,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136258830.000000,426,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136259750.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136260663.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136261583.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136262543.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136263466.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136264396.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136265413.000000,250573.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136517336.000000,677,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136518510.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136519480.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136520386.000000,520,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136521436.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136522383.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136523333.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136524270.000000,1626.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136526383.000000,69743.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136597336.000000,690,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136598523.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136616300.000000,228563600.000000,,,,,,,,,,,,,,,"cudaMallocHost"
365183724.000000,29694086.000000,,,,,,,,,,,,,,,"cudaMallocHost"
550684612.000000,4773.000000,,,,,,,,,,,,,,,"cudaGetDeviceCount"
550690260.000000,593271.000000,,,,,,,,,,,,,,,"cudaGetDeviceProperties"
551286525.000000,170336.000000,,,,,,,,,,,,,,,"cudaMemGetInfo"
551473616.000000,87303.000000,,,,,,,,,,,,,,,"cudaStreamCreate"
551561490.000000,16161.000000,,,,,,,,,,,,,,,"cudaStreamCreate"
551578010.000000,14578.000000,,,,,,,,,,,,,,,"cudaStreamCreate"
551592950.000000,13626.000000,,,,,,,,,,,,,,,"cudaStreamCreate"
551626935.000000,551631.000000,,,,,,,,,,,,,,,"cudaMalloc"
552179803.000000,234029.000000,,,,,,,,,,,,,,,"cudaMalloc"
552414869.000000,222246.000000,,,,,,,,,,,,,,,"cudaMalloc"
552637977.000000,202503.000000,,,,,,,,,,,,,,,"cudaMalloc"
552845049.000000,10218251.000000,,,,,,,,,,,,,,,"cudaMemcpy"
552906563.000000,10132003.000000,,,,,,,,,,61.035156,5.882810,"Tesla K20m (0)","1","7","[CUDA memcpy HtoD]"
563067566.000000,9512.000000,,,,,,,,,,,,,,,"cudaEventCreate"
563077589.000000,2100.000000,,,,,,,,,,,,,,,"cudaEventCreate"
563080018.000000,5091.000000,,,,,,,,,,,,,,,"cudaEventCreate"
563085372.000000,1708.000000,,,,,,,,,,,,,,,"cudaEventCreate"
563091529.000000,1654.000000,,,,,,,,,,,,,,,"cudaConfigureCall"
563096509.000000,1161.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
563098007.000000,440,,,,,,,,,,,,,,,"cudaSetupArgument"
563098830.000000,1159.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
563100252.000000,414,,,,,,,,,,,,,,,"cudaSetupArgument"
563101049.000000,481,,,,,,,,,,,,,,,"cudaSetupArgument"
563101917.000000,383,,,,,,,,,,,,,,,"cudaSetupArgument"
563102580.000000,375,,,,,,,,,,,,,,,"cudaSetupArgument"
563103384.000000,433,,,,,,,,,,,,,,,"cudaSetupArgument"
563104160.000000,855,,,,,,,,,,,,,,,"cudaSetupArgument"
563105309.000000,383,,,,,,,,,,,,,,,"cudaSetupArgument"
563108969.000000,96555.000000,,,,,,,,,,,,,,,"cudaLaunch (gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [129])"
563205421.000000,43810.000000,2,25,1,256,1,1,18,0,0.000000,,,"Tesla K20m (0)","1","14","gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [129]"
563208586.000000,15805.000000,,,,,,,,,,,,,,,"cudaEventRecord"
563225237.000000,764,,,,,,,,,,,,,,,"cudaConfigureCall"
563226492.000000,580,,,,,,,,,,,,,,,"cudaSetupArgument"
563227327.000000,384,,,,,,,,,,,,,,,"cudaSetupArgument"
563228014.000000,386,,,,,,,,,,,,,,,"cudaSetupArgument"
563228803.000000,386,,,,,,,,,,,,,,,"cudaSetupArgument"
563229463.000000,429,,,,,,,,,,,,,,,"cudaSetupArgument"
563230269.000000,389,,,,,,,,,,,,,,,"cudaSetupArgument"
563231051.000000,386,,,,,,,,,,,,,,,"cudaSetupArgument"
563231698.000000,385,,,,,,,,,,,,,,,"cudaSetupArgument"
563232460.000000,383,,,,,,,,,,,,,,,"cudaSetupArgument"
563233106.000000,389,,,,,,,,,,,,,,,"cudaSetupArgument"
563234783.000000,26368.000000,,,,,,,,,,,,,,,"cudaLaunch (gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int) [142])"
563261975.000000,7052.000000,,,,,,,,,,,,,,,"cudaEventRecord"
563266256.000000,314318.000000,2,25,1,256,1,1,17,0,0.000000,,,"Tesla K20m (0)","1","15","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int) [142]"
563269861.000000,579,,,,,,,,,,,,,,,"cudaConfigureCall"
563270852.000000,486,,,,,,,,,,,,,,,"cudaSetupArgument"
563271732.000000,386,,,,,,,,,,,,,,,"cudaSetupArgument"
563272364.000000,390,,,,,,,,,,,,,,,"cudaSetupArgument"
