machine,kernel,size(xyz),iteration,metric,"Stream","Grid X","SrcMemType",minExe,"Size","Throughput","Grid Z",maxGridy,"DstMemType",maxExe,"Duration",avgThroughput,"Device",avgExe,maxGridz,"Context",minThroughput,minGridz,callNum,"Block Y","Static SMem","Grid Y","Block X",minGridy,"Dynamic SMem","Start",minGridx,"Registers Per Thread",totalThroughput,"Block Z",maxGridx,maxThroughput,totalExe
debian,StencilCudaGpu37,100_100_50,1,"cudaMalloc3D",0,0,0,218758.000000,0,0,0,0,0,268324.000000,218758.000000,0,0,240095.8,0,0,0,0,5,0,0,0,0,0,0,306133176.000000,0,0,0,0,0,0,1200479
debian,StencilCudaGpu37,100_100_50,1,"cudaMemGetInfo",0,0,0,132894.000000,0,0,0,0,0,144832.000000,132894.000000,0,0,139633.6,0,0,0,0,5,0,0,0,0,0,0,305921323.000000,0,0,0,0,0,0,698168
debian,StencilCudaGpu37,100_100_50,1,"cuDeviceGetCount",0,0,0,187,0,0,0,0,0,1357.000000,646,0,0,730,0,0,0,0,3,0,0,0,0,0,0,116180885.000000,0,0,0,0,0,0,2190
debian,StencilCudaGpu37,100_100_50,1,"cudaEventRecord",0,0,0,3537.000000,0,0,0,0,0,12691.000000,3782.000000,0,0,4484.06,0,0,0,0,100,0,0,0,0,0,0,307665441.000000,0,0,0,0,0,0,448406
debian,StencilCudaGpu37,100_100_50,1,"cuDeviceGetName",0,0,0,34317.000000,0,0,0,0,0,55286.000000,34317.000000,0,0,44801.5,0,0,0,0,2,0,0,0,0,0,0,116758823.000000,0,0,0,0,0,0,89603
debian,StencilCudaGpu37,100_100_50,1,"cudaMallocHost",0,0,0,866178.000000,0,0,0,0,0,93147480.000000,866178.000000,0,0,47006829,0,0,0,0,2,0,0,0,0,0,0,210375777.000000,0,0,0,0,0,0,94013658
debian,StencilCudaGpu37,100_100_50,1,"cudaStreamWaitEvent",0,0,0,1385.000000,0,0,0,0,0,9766.000000,1515.000000,0,0,1761.025,0,0,0,0,120,0,0,0,0,0,0,307610619.000000,0,0,0,0,0,0,211323
debian,StencilCudaGpu37,100_100_50,1,"gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","113",2,0,196895.000000,0,0,1,7,0,226879.000000,225567.000000,0,"GeForce GTX TITAN (0)",205541.5,1,"1",0,1,20,16,0,7,2,7,7.593750,307851450.000000,2,43,0,1,3,0,4110830
debian,StencilCudaGpu37,100_100_50,1,"cudaStreamCreate",0,0,0,2507.000000,0,0,0,0,0,238285.000000,2584.000000,0,0,8697.28,0,0,0,0,100,0,0,0,0,0,0,306126184.000000,0,0,0,0,0,0,869728
debian,StencilCudaGpu37,100_100_50,1,"gpu_stencil37_hack2_cp_rows(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","111",1,0,38208.000000,0,0,1,7,0,54624.000000,42464.000000,0,"GeForce GTX TITAN (0)",47487.65,1,"1",0,1,20,1,0,7,4,7,0.000000,307719483.000000,1,32,0,1,1,0,949753
debian,StencilCudaGpu37,100_100_50,1,"cudaEventCreate",0,0,0,1360.000000,0,0,0,0,0,5676.000000,1543.000000,0,0,1816.75,0,0,0,0,100,0,0,0,0,0,0,306849894.000000,0,0,0,0,0,0,181675
debian,StencilCudaGpu37,100_100_50,1,"cudaLaunch(gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,100_100_50,1,"cuDeviceGet",0,0,0,199,0,0,0,0,0,703,199,0,0,431.5,0,0,0,0,4,0,0,0,0,0,0,116758070.000000,0,0,0,0,0,0,1726
debian,StencilCudaGpu37,100_100_50,1,"cudaConfigureCall",0,0,0,303,0,0,0,0,0,1259.000000,330,0,0,409.0375,0,0,0,0,80,0,0,0,0,0,0,307612517.000000,0,0,0,0,0,0,32723
debian,StencilCudaGpu37,100_100_50,1,"gpu_stencil37_hack2_cp_slices(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","110",1,0,11584.000000,0,0,1,7,0,19871.000000,15040.000000,0,"GeForce GTX TITAN (0)",17169.45,1,"1",0,1,20,1,0,7,4,7,0.000000,307714971.000000,1,32,0,1,1,0,343389
debian,StencilCudaGpu37,100_100_50,1,"cudaFree",0,0,0,144427.000000,0,0,0,0,0,974184.000000,176164.000000,0,0,367545.15,0,0,0,0,20,0,0,0,0,0,0,309452641.000000,0,0,0,0,0,0,7350903
debian,StencilCudaGpu37,100_100_50,1,"cudaLaunch(gpu_stencil37_hack2_cp_rows(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,100_100_50,1,"cudaMemcpy3DAsync",0,0,0,9259.000000,0,0,0,0,0,66327.000000,32899.000000,0,0,35113.65,0,0,0,0,40,0,0,0,0,0,0,307632138.000000,0,0,0,0,0,0,1404546
debian,StencilCudaGpu37,100_100_50,1,"[CUDAmemcpyHtoD]","109",0,"Pinned",37472.000000,0.152588,3.929631,0,0,"Device",149248.000000,37920.000000,7.37270935,"GeForce GTX TITAN (0)",121006.05,0,"1",3.926421,0,20,0,0,0,0,0,0,307665947.000000,0,0,147.454187,0,0,8.619601,2420121
debian,StencilCudaGpu37,100_100_50,1,"cuDeviceGetAttribute",0,0,0,172,0,0,0,0,0,156958.000000,186,0,0,3963.98936170213,0,0,0,0,188,0,0,0,0,0,0,117222882.000000,0,0,0,0,0,0,745230
debian,StencilCudaGpu37,100_100_50,1,"cudaDeviceSynchronize",0,0,0,405101.000000,0,0,0,0,0,461664.000000,445863.000000,0,0,433794,0,0,0,0,5,0,0,0,0,0,0,307670189.000000,0,0,0,0,0,0,2168970
debian,StencilCudaGpu37,100_100_50,1,"cudaGetDeviceCount",0,0,0,815,0,0,0,0,0,2160.000000,815,0,0,1262,0,0,0,0,5,0,0,0,0,0,0,305456424.000000,0,0,0,0,0,0,6310
debian,StencilCudaGpu37,100_100_50,1,"cudaGetDeviceProperties",0,0,0,463173.000000,0,0,0,0,0,494579.000000,463173.000000,0,0,478519.8,0,0,0,0,5,0,0,0,0,0,0,305457443.000000,0,0,0,0,0,0,2392599
debian,StencilCudaGpu37,100_100_50,1,"cudaLaunch",0,0,0,11503.000000,0,0,0,0,0,264523.000000,12525.000000,0,0,17836.075,0,0,0,0,80,0,0,0,0,0,0,307619124.000000,0,0,0,0,0,0,1426886
debian,StencilCudaGpu37,100_100_50,1,"cuDeviceTotalMem",0,0,0,50325.000000,0,0,0,0,0,112999.000000,50325.000000,0,0,81662,0,0,0,0,2,0,0,0,0,0,0,116793697.000000,0,0,0,0,0,0,163324
debian,StencilCudaGpu37,100_100_50,1,"cudaStreamDestroy",0,0,0,3152.000000,0,0,0,0,0,49296.000000,4233.000000,0,0,4738.08,0,0,0,0,100,0,0,0,0,0,0,309719590.000000,0,0,0,0,0,0,473808
debian,StencilCudaGpu37,100_100_50,1,"cudaLaunch(gpu_stencil37_hack2_cp_slices(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,100_100_50,1,"cudaEventDestroy",0,0,0,1078.000000,0,0,0,0,0,9053.000000,1194.000000,0,0,1370.19,0,0,0,0,100,0,0,0,0,0,0,308154533.000000,0,0,0,0,0,0,137019
debian,StencilCudaGpu37,100_100_50,1,"cudaMalloc",0,0,0,151042.000000,0,0,0,0,0,163729.000000,152152.000000,0,0,155946.133333333,0,0,0,0,15,0,0,0,0,0,0,306657999.000000,0,0,0,0,0,0,2339192
debian,StencilCudaGpu37,100_100_50,1,"gpu_stencil37_hack2_cp_cols(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","112",2,0,96255.000000,0,0,1,1,0,98656.000000,97791.000000,0,"GeForce GTX TITAN (0)",97604.25,1,"1",0,1,20,100,0,1,1,1,0.000000,307723867.000000,2,23,0,1,3,0,1952085
debian,StencilCudaGpu37,100_100_50,1,"cudaFreeHost",0,0,0,464962.000000,0,0,0,0,0,533509.000000,464962.000000,0,0,499235.5,0,0,0,0,2,0,0,0,0,0,0,310649997.000000,0,0,0,0,0,0,998471
debian,StencilCudaGpu37,100_100_50,1,"[CUDAmemcpyDtoH]","113",0,"Device",29312.000000,0.071777,2.337749,0,0,"Pinned",140479.000000,29984.000000,6.63531995,"GeForce GTX TITAN (0)",111764.4,0,"1",2.313063,0,20,0,0,0,0,0,0,308079577.000000,0,0,132.706399,0,0,8.179180,2235288
debian,StencilCudaGpu37,100_100_50,1,"cudaLaunch(gpu_stencil37_hack2_cp_cols(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,100_100_50,1,"cudaSetupArgument",0,0,0,165,0,0,0,0,0,6182.000000,180,0,0,192.953125,0,0,0,0,1280,0,0,0,0,0,0,307618503.000000,0,0,0,0,0,0,246980
debian,StencilCudaGpu37,200_200_50,1,"cudaMalloc3D",0,0,0,287616.000000,0,0,0,0,0,329912.000000,325206.000000,0,0,319167,0,0,0,0,5,0,0,0,0,0,0,345861372.000000,0,0,0,0,0,0,1595835
debian,StencilCudaGpu37,200_200_50,1,"cudaMemGetInfo",0,0,0,136824.000000,0,0,0,0,0,150750.000000,150750.000000,0,0,143816.2,0,0,0,0,5,0,0,0,0,0,0,345623058.000000,0,0,0,0,0,0,719081
debian,StencilCudaGpu37,200_200_50,1,"cuDeviceGetCount",0,0,0,324,0,0,0,0,0,1403.000000,560,0,0,762.333333333333,0,0,0,0,3,0,0,0,0,0,0,121804551.000000,0,0,0,0,0,0,2287
debian,StencilCudaGpu37,200_200_50,1,"cudaEventRecord",0,0,0,3627.000000,0,0,0,0,0,6462.000000,3824.000000,0,0,4445.36,0,0,0,0,100,0,0,0,0,0,0,347344219.000000,0,0,0,0,0,0,444536
debian,StencilCudaGpu37,200_200_50,1,"cuDeviceGetName",0,0,0,41506.000000,0,0,0,0,0,42464.000000,41506.000000,0,0,41985,0,0,0,0,2,0,0,0,0,0,0,122455318.000000,0,0,0,0,0,0,83970
debian,StencilCudaGpu37,200_200_50,1,"cudaMallocHost",0,0,0,4374505.000000,0,0,0,0,0,111638967.000000,4374505.000000,0,0,58006736,0,0,0,0,2,0,0,0,0,0,0,234675154.000000,0,0,0,0,0,0,116013472
debian,StencilCudaGpu37,200_200_50,1,"cudaStreamWaitEvent",0,0,0,1232.000000,0,0,0,0,0,3184.000000,1355.000000,0,0,1642.78333333333,0,0,0,0,120,0,0,0,0,0,0,347310239.000000,0,0,0,0,0,0,197134
debian,StencilCudaGpu37,200_200_50,1,"gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","113",2,0,211743.000000,0,0,1,13,0,237471.000000,211743.000000,0,"GeForce GTX TITAN (0)",222926.85,1,"1",0,1,20,16,0,13,6,13,7.593750,348629326.000000,2,43,0,1,5,0,4458537
debian,StencilCudaGpu37,200_200_50,1,"cudaStreamCreate",0,0,0,2354.000000,0,0,0,0,0,245122.000000,2568.000000,0,0,8824.73,0,0,0,0,100,0,0,0,0,0,0,345853947.000000,0,0,0,0,0,0,882473
debian,StencilCudaGpu37,200_200_50,1,"gpu_stencil37_hack2_cp_rows(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int)","111",1,0,54560.000000,0,0,1,13,0,87711.000000,74367.000000,0,"GeForce GTX TITAN (0)",65873.3,1,"1",0,1,20,1,0,13,8,13,0.000000,348485903.000000,1,32,0,1,1,0,1317466
debian,StencilCudaGpu37,200_200_50,1,"cudaEventCreate",0,0,0,1213.000000,0,0,0,0,0,5228.000000,1440.000000,0,0,1707.62,0,0,0,0,100,0,0,0,0,0,0,346702300.000000,0,0,0,0,0,0,170762
debian,StencilCudaGpu37,200_200_50,1,"cudaLaunch(gpu_stencil37_hack3(double*,double*,double*,double*,int,int,int,int,int,int,int,int,int,int,int,int))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debian,StencilCudaGpu37,200_200_50,1,"cuDeviceGet",0,0,0,341,0,0,0,0,0,742,341,0,0,532,0,0,0,0,4,0,0,0,0,0,0,122454233.000000,0,0,0,0,0,0,2128
