==30256== NVPROF is profiling process 30256, command: ./StencilCudaGpu37 800 800 400 1 5
==30256== Profiling application: ./StencilCudaGpu37 800 800 400 1 5
==30256== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,B,B,B/s,,,,
130470173.000000,4449.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
130477204.000000,253,,,,,,,,,,,,,,,"cuDeviceGetCount"
130478075.000000,718,,,,,,,,,,,,,,,"cuDeviceGet"
130479259.000000,502,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130516851.000000,429,,,,,,,,,,,,,,,"cuDeviceGet"
130517474.000000,210,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130518120.000000,252,,,,,,,,,,,,,,,"cuDeviceGet"
130518531.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130518918.000000,141,,,,,,,,,,,,,,,"cuDeviceGet"
130519216.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130796726.000000,552,,,,,,,,,,,,,,,"cuDeviceGet"
130799422.000000,333,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130807726.000000,210,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130808453.000000,183,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131561251.000000,603,,,,,,,,,,,,,,,"cuDeviceGet"
131562244.000000,240,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131562891.000000,203,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131563411.000000,187,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132079436.000000,365,,,,,,,,,,,,,,,"cuDeviceGet"
132080137.000000,205,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132080643.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132081198.000000,175,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132652300.000000,544,,,,,,,,,,,,,,,"cuDeviceGet"
132653207.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132654090.000000,164,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132654583.000000,190,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133310175.000000,763,,,,,,,,,,,,,,,"cuDeviceGetCount"
133311526.000000,238,,,,,,,,,,,,,,,"cuDeviceGet"
133315583.000000,53976.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
133370403.000000,171920.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
133542721.000000,276,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133543245.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133543646.000000,194,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133544012.000000,416,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133544683.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133545092.000000,43175.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133588616.000000,188,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133589049.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133589370.000000,268,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133589890.000000,258,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133590400.000000,2659.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133593342.000000,304,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133593894.000000,277,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133594416.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133594738.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133595145.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133595476.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133595878.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133596285.000000,289,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133596738.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133597142.000000,241,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133597640.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133597958.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133598357.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133598679.000000,284,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133599216.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133599636.000000,295,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133600102.000000,261,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133600527.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133600853.000000,282,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133601303.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133601636.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133601961.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133602289.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133602616.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
