==8216== NVPROF is profiling process 8216, command: ./StencilCudaGpu37 800 800 200 1 5
==8216== Profiling application: ./StencilCudaGpu37 800 800 200 1 5
==8216== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
132953625.000000,2699.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
132958266.000000,231,,,,,,,,,,,,,,,"cuDeviceGetCount"
132959146.000000,317,,,,,,,,,,,,,,,"cuDeviceGet"
132960017.000000,263,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132988585.000000,274,,,,,,,,,,,,,,,"cuDeviceGet"
132989052.000000,174,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132989603.000000,155,,,,,,,,,,,,,,,"cuDeviceGet"
132989908.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132990320.000000,171,,,,,,,,,,,,,,,"cuDeviceGet"
132990646.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133229416.000000,484,,,,,,,,,,,,,,,"cuDeviceGet"
133231588.000000,268,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133235001.000000,227,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133235609.000000,171,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133638157.000000,455,,,,,,,,,,,,,,,"cuDeviceGet"
133638866.000000,182,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133639369.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133639828.000000,174,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134186114.000000,361,,,,,,,,,,,,,,,"cuDeviceGet"
134186686.000000,13115.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134200356.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134200797.000000,164,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134967723.000000,5174.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134974663.000000,1217.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134976950.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134978410.000000,637,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135718431.000000,1596.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135721197.000000,617,,,,,,,,,,,,,,,"cuDeviceGet"
135729291.000000,87240.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135818481.000000,402320.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
136222061.000000,933,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136223571.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136224538.000000,546,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136225544.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136226488.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136227411.000000,71587.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136300101.000000,580,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136301148.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136302068.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136303021.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136303998.000000,4840.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136309568.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136310528.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136311491.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136312411.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136313331.000000,464,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136314278.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136315198.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136316115.000000,556,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136317151.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136318071.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136318998.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136319915.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136320841.000000,424,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136321731.000000,587,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136322805.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136323721.000000,557,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136324761.000000,474,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136325715.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136326628.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136327551.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136328468.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136329381.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136330295.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136331211.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136332145.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136333091.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136334008.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136334935.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136335858.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136336771.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136337685.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136338601.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136339495.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136340408.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136341308.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136342218.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136343128.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136344048.000000,417,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136344948.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136345875.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136346791.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136347708.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136348621.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136349541.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136350478.000000,390255.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136750224.000000,688,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136751282.000000,411,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136752082.000000,336,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136752805.000000,381,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136753664.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136754432.000000,360,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136755162.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136756024.000000,368,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136756762.000000,424,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136757632.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136758368.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136759104.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136759952.000000,346,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136760693.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136761429.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136762162.000000,382,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136762920.000000,365,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136763693.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136764426.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136765157.000000,304523.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137070696.000000,555,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137071632.000000,411,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137072429.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137073155.000000,360,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137073901.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137074648.000000,357,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137075397.000000,352,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137076136.000000,195856.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137273296.000000,89299.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137363731.000000,515,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137364624.000000,350,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137365435.000000,504,,,,,,,,,,,,,,,"cuDeviceGet"
137367206.000000,68778.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
137437174.000000,330133.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
137768390.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137769217.000000,389,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137769985.000000,402,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137770753.000000,368,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137771489.000000,394,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137772249.000000,63941.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137837067.000000,438,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137837934.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137838665.000000,429,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137839475.000000,403,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137840233.000000,397,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137841014.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137841731.000000,363,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137842467.000000,403,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137843217.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137843950.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137844670.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137845387.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137846105.000000,373,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137846841.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137847566.000000,451,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137848403.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137849118.000000,339,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137849827.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137850569.000000,352,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137851294.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137852033.000000,381,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137852801.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137853494.000000,336,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137854201.000000,376,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137854966.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137855673.000000,341,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137856385.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137857105.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137857833.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137858563.000000,374,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137859382.000000,363,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137860115.000000,355,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137860846.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137861558.000000,347,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137862289.000000,344,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
