==17818== NVPROF is profiling process 17818, command: ./StencilCudaGpu37 200 200 50 3 3
==17818== Profiling application: ./StencilCudaGpu37 200 200 50 3 3
==17818== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
132760876.000000,3425.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
132766295.000000,248,,,,,,,,,,,,,,,"cuDeviceGetCount"
132767124.000000,250,,,,,,,,,,,,,,,"cuDeviceGet"
132767772.000000,249,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132794782.000000,294,,,,,,,,,,,,,,,"cuDeviceGet"
132795242.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132795776.000000,131,,,,,,,,,,,,,,,"cuDeviceGet"
132796056.000000,131,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132796429.000000,130,,,,,,,,,,,,,,,"cuDeviceGet"
132796708.000000,132,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133043604.000000,456,,,,,,,,,,,,,,,"cuDeviceGet"
133045955.000000,272,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133049539.000000,217,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133050176.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133724960.000000,626,,,,,,,,,,,,,,,"cuDeviceGet"
133725888.000000,223,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133726482.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133726896.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134259672.000000,383,,,,,,,,,,,,,,,"cuDeviceGet"
134260310.000000,198,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134260760.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134273681.000000,199,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135064140.000000,5180.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135071134.000000,1270.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135073404.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135075104.000000,656,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135829311.000000,1737.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135832341.000000,660,,,,,,,,,,,,,,,"cuDeviceGet"
135839891.000000,90497.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135931961.000000,410494.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
136343645.000000,937,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136345062.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136346005.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136346948.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136347888.000000,420,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136348768.000000,75481.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136425362.000000,44110.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136470662.000000,627,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136471762.000000,623,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136472862.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136473795.000000,27792.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136502621.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136503547.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136504412.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136505273.000000,394,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136506110.000000,394,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136506923.000000,393,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136507759.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136508578.000000,1729.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136510726.000000,418,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136511569.000000,390,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
