==32804== NVPROF is profiling process 32804, command: ./StencilCudaGpu37 1000 1000 50 8 5
==32804== Profiling application: ./StencilCudaGpu37 1000 1000 50 8 5
==32804== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
129948480.000000,4330.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
129955056.000000,270,,,,,,,,,,,,,,,"cuDeviceGetCount"
129956294.000000,511,,,,,,,,,,,,,,,"cuDeviceGet"
129957311.000000,249,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129998769.000000,399,,,,,,,,,,,,,,,"cuDeviceGet"
129999401.000000,175,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129999990.000000,147,,,,,,,,,,,,,,,"cuDeviceGet"
130000386.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130000773.000000,145,,,,,,,,,,,,,,,"cuDeviceGet"
130001075.000000,137,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130278135.000000,579,,,,,,,,,,,,,,,"cuDeviceGet"
130280677.000000,285,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130288886.000000,234,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130289677.000000,285,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130674916.000000,460,,,,,,,,,,,,,,,"cuDeviceGet"
130675736.000000,200,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130706800.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130708204.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131261930.000000,551,,,,,,,,,,,,,,,"cuDeviceGet"
131262847.000000,237,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131263471.000000,174,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131264092.000000,283,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131855650.000000,2538.000000,,,,,,,,,,,,,,,"cuDeviceGet"
131858954.000000,831,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131860254.000000,170,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131860787.000000,283,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132516718.000000,752,,,,,,,,,,,,,,,"cuDeviceGetCount"
132518049.000000,287,,,,,,,,,,,,,,,"cuDeviceGet"
132522901.000000,56365.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
132579972.000000,169684.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
132750103.000000,352,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132750689.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132751053.000000,173,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132751391.000000,225,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132751818.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132752174.000000,41836.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132794411.000000,223,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132794835.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132795167.000000,232,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132795609.000000,211,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132796025.000000,2046.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132798317.000000,264,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132798779.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132799208.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132799536.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132799908.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132800247.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132800598.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132800968.000000,246,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132801381.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132801748.000000,204,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132802156.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132802479.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132802834.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132803159.000000,250,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132803692.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132804049.000000,239,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132804454.000000,214,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132804847.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132805177.000000,241,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132805591.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132805928.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
