==13343== NVPROF is profiling process 13343, command: ./StencilCudaGpu37 1000 1000 200 5 5
==13343== Profiling application: ./StencilCudaGpu37 1000 1000 200 5 5
==13343== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
132889963.000000,3484.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
132895544.000000,283,,,,,,,,,,,,,,,"cuDeviceGetCount"
132896443.000000,290,,,,,,,,,,,,,,,"cuDeviceGet"
132897183.000000,307,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132930051.000000,347,,,,,,,,,,,,,,,"cuDeviceGet"
132930646.000000,220,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132931323.000000,196,,,,,,,,,,,,,,,"cuDeviceGet"
132931727.000000,197,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132932207.000000,199,,,,,,,,,,,,,,,"cuDeviceGet"
132932613.000000,199,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133185732.000000,542,,,,,,,,,,,,,,,"cuDeviceGet"
133188073.000000,304,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133192692.000000,286,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133193429.000000,223,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133691673.000000,624,,,,,,,,,,,,,,,"cuDeviceGet"
133692615.000000,276,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133701633.000000,395,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133712753.000000,366,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134522155.000000,5204.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134529182.000000,1300.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134536242.000000,773,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134538395.000000,794,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135406923.000000,1690.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135409569.000000,864,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135416033.000000,713,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135417953.000000,690,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136254852.000000,1389.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
136257097.000000,712,,,,,,,,,,,,,,,"cuDeviceGet"
136263830.000000,81440.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
136346753.000000,328099.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
136675801.000000,776,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136677103.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136678103.000000,570,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136679188.000000,589,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136680265.000000,520,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136681297.000000,62288.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136744561.000000,707,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136745785.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136746783.000000,549,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136747833.000000,555,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136748876.000000,3845.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136753425.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136754431.000000,632,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136755585.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136756583.000000,509,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136757591.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136758585.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136759596.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136760585.000000,622,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136761719.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136762708.000000,555,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136763764.000000,520,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136764756.000000,509,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136765767.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136766748.000000,611,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136767860.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136768852.000000,613,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136769977.000000,547,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136771009.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136772028.000000,613,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136773132.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136774148.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136775140.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136776161.000000,502,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136777153.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136778175.000000,608,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136779273.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136780297.000000,502,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136781289.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136782305.000000,502,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136783295.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136784311.000000,501,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136785303.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136786329.000000,502,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136787319.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136788335.000000,501,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136789324.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136790343.000000,501,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136791335.000000,496,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136792343.000000,533,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136793351.000000,568,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136794431.000000,501,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136795423.000000,506,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136796439.000000,512,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136797457.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136798476.000000,307798.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137107514.000000,677,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137108684.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137109684.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137110655.000000,485,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137111602.000000,498,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137112583.000000,525,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137113591.000000,584,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137114620.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137115575.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137116546.000000,466,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137117492.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137118428.000000,635,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137119551.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137120508.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137121487.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137122442.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137123460.000000,499,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137124436.000000,478,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137125418.000000,474,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137126375.000000,295022.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137422621.000000,669,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137423786.000000,560,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137424826.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137425807.000000,478,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137426765.000000,485,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137427730.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137428690.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137429613.000000,195928.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137626922.000000,90120.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137718120.000000,677,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137719288.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
137720405.000000,637,,,,,,,,,,,,,,,"cuDeviceGet"
137722389.000000,68795.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
137792293.000000,330414.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
138123595.000000,672,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138124747.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138125704.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138126709.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138127677.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138128667.000000,64069.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138193590.000000,629,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138194710.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138195664.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138196622.000000,538,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138197624.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138198667.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138199590.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138200568.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138201512.000000,486,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138202470.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138203395.000000,496,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138204400.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138205344.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138206328.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138207264.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138208187.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138209136.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138210059.000000,459,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138210984.000000,496,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138211987.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138212926.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138213894.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138214923.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138215872.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138216854.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138217790.000000,469,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138218763.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138219704.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138220627.000000,469,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138221568.000000,499,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138222539.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138223494.000000,474,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138224438.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138225371.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138226352.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138227291.000000,469,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138228267.000000,469,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138229216.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138230176.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138231110.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138232080.000000,478,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138233003.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138233904.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138234846.000000,474,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138235774.000000,469,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138236734.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138237691.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138238659.000000,485,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138239627.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138240600.000000,310585.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138552315.000000,643,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138553475.000000,486,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138554411.000000,536,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138555419.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138556347.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138557302.000000,499,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138558281.000000,506,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138559281.000000,482,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138560227.000000,478,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138561195.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138562126.000000,445,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138563033.000000,584,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138564105.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138565049.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138566009.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138566934.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138567894.000000,485,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138568833.000000,568,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138569862.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138570779.000000,306113.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138877990.000000,635,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138879126.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138880089.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138881038.000000,478,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138881969.000000,472,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138882934.000000,486,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138883884.000000,474,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138884854.000000,1224.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138886582.000000,91016.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138978654.000000,614,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138979713.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
138980817.000000,525,,,,,,,,,,,,,,,"cuDeviceGet"
138982420.000000,68437.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
139051870.000000,331054.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
139383871.000000,624,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139384975.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139385903.000000,605,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139386961.000000,475,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
