machine,kernel,size(xyz),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,100_100_50,1,0,0,11550262
f3,StencilCudaGpu37,100_100_50,1,1,1,11435136
f3,StencilCudaGpu37,100_100_50,1,1,2,14323468
f3,StencilCudaGpu37,100_100_50,1,1,3,11128999
f3,StencilCudaGpu37,100_100_50,1,1,4,10842765
f3,StencilCudaGpu37,200_200_50,1,0,0,18274118
f3,StencilCudaGpu37,200_200_50,1,1,1,17371084
f3,StencilCudaGpu37,200_200_50,1,1,2,17923076
f3,StencilCudaGpu37,200_200_50,1,1,3,18850030
f3,StencilCudaGpu37,200_200_50,1,1,4,17939026
f3,StencilCudaGpu37,400_400_50,1,0,0,40464267
f3,StencilCudaGpu37,400_400_50,1,1,1,39607041
f3,StencilCudaGpu37,400_400_50,1,1,2,41056324
f3,StencilCudaGpu37,400_400_50,1,1,3,41419292
f3,StencilCudaGpu37,400_400_50,1,1,4,40985842
f3,StencilCudaGpu37,800_800_50,1,0,0,134077268
f3,StencilCudaGpu37,800_800_50,1,1,1,134643310
f3,StencilCudaGpu37,800_800_50,1,1,2,134838615
f3,StencilCudaGpu37,800_800_50,1,1,3,134099537
f3,StencilCudaGpu37,800_800_50,1,1,4,134439470
f3,StencilCudaGpu37,1000_1000_50,1,0,0,204925813
f3,StencilCudaGpu37,1000_1000_50,1,1,1,205276693
f3,StencilCudaGpu37,1000_1000_50,1,1,2,204861735
f3,StencilCudaGpu37,1000_1000_50,1,1,3,203793559
f3,StencilCudaGpu37,1000_1000_50,1,1,4,204793438
f3,StencilCudaGpu37,100_100_100,1,0,0,15708284
f3,StencilCudaGpu37,100_100_100,1,1,1,15718416
f3,StencilCudaGpu37,100_100_100,1,1,2,14766893
f3,StencilCudaGpu37,100_100_100,1,1,3,11788482
f3,StencilCudaGpu37,100_100_100,1,1,4,15300637
f3,StencilCudaGpu37,100_100_100,1,1,5,13364733
f3,StencilCudaGpu37,100_100_100,1,1,6,13398416
f3,StencilCudaGpu37,100_100_100,1,1,7,14562015
f3,StencilCudaGpu37,200_200_100,1,0,0,26077145
f3,StencilCudaGpu37,200_200_100,1,1,1,24926356
f3,StencilCudaGpu37,200_200_100,1,1,2,25258479
f3,StencilCudaGpu37,200_200_100,1,1,3,25447941
f3,StencilCudaGpu37,200_200_100,1,1,4,25486660
f3,StencilCudaGpu37,200_200_100,1,1,5,24566616
f3,StencilCudaGpu37,200_200_100,1,1,6,24242728
f3,StencilCudaGpu37,200_200_100,1,1,7,24532934
f3,StencilCudaGpu37,400_400_100,1,0,0,71026459
f3,StencilCudaGpu37,400_400_100,1,1,1,70911345
f3,StencilCudaGpu37,400_400_100,1,1,2,72002430
f3,StencilCudaGpu37,400_400_100,1,1,3,71334690
f3,StencilCudaGpu37,400_400_100,1,1,4,71146642
f3,StencilCudaGpu37,400_400_100,1,1,5,71274100
f3,StencilCudaGpu37,400_400_100,1,1,6,70768249
f3,StencilCudaGpu37,400_400_100,1,1,7,71183172
f3,StencilCudaGpu37,800_800_100,1,0,0,259730398
f3,StencilCudaGpu37,800_800_100,1,1,1,258762294
f3,StencilCudaGpu37,800_800_100,1,1,2,259668373
f3,StencilCudaGpu37,800_800_100,1,1,3,259432659
f3,StencilCudaGpu37,800_800_100,1,1,4,259300480
f3,StencilCudaGpu37,800_800_100,1,1,5,258702105
f3,StencilCudaGpu37,800_800_100,1,1,6,258447464
f3,StencilCudaGpu37,800_800_100,1,1,7,258199999
f3,StencilCudaGpu37,1000_1000_100,1,0,0,402065997
f3,StencilCudaGpu37,1000_1000_100,1,1,1,401501829
f3,StencilCudaGpu37,1000_1000_100,1,1,2,400681851
f3,StencilCudaGpu37,1000_1000_100,1,1,3,400365237
f3,StencilCudaGpu37,1000_1000_100,1,1,4,400462915
f3,StencilCudaGpu37,1000_1000_100,1,1,5,400776412
f3,StencilCudaGpu37,1000_1000_100,1,1,6,401731429
f3,StencilCudaGpu37,1000_1000_100,1,1,7,404453340
f3,StencilCudaGpu37,100_100_200,1,0,0,18515374
f3,StencilCudaGpu37,100_100_200,1,1,1,18313694
f3,StencilCudaGpu37,100_100_200,1,1,2,18670722
f3,StencilCudaGpu37,100_100_200,1,1,3,16544701
f3,StencilCudaGpu37,100_100_200,1,1,4,18492458
f3,StencilCudaGpu37,100_100_200,1,1,5,16523182
f3,StencilCudaGpu37,100_100_200,1,1,6,19331955
f3,StencilCudaGpu37,100_100_200,1,1,7,18130455
f3,StencilCudaGpu37,200_200_200,1,0,0,39709266
f3,StencilCudaGpu37,200_200_200,1,1,1,40525301
f3,StencilCudaGpu37,200_200_200,1,1,2,40626789
f3,StencilCudaGpu37,200_200_200,1,1,3,42115364
f3,StencilCudaGpu37,200_200_200,1,1,4,40177583
f3,StencilCudaGpu37,200_200_200,1,1,5,41379008
f3,StencilCudaGpu37,200_200_200,1,1,6,40479059
f3,StencilCudaGpu37,200_200_200,1,1,7,40625178
f3,StencilCudaGpu37,200_200_200,1,1,8,41350229
f3,StencilCudaGpu37,200_200_200,1,1,9,41513818
f3,StencilCudaGpu37,200_200_200,1,1,10,40430051
f3,StencilCudaGpu37,200_200_200,1,1,11,41009101
f3,StencilCudaGpu37,200_200_200,1,1,12,41200093
f3,StencilCudaGpu37,200_200_200,1,1,13,40182175
f3,StencilCudaGpu37,400_400_200,1,0,0,134638501
f3,StencilCudaGpu37,400_400_200,1,1,1,134641798
f3,StencilCudaGpu37,400_400_200,1,1,2,134437093
f3,StencilCudaGpu37,400_400_200,1,1,3,134683261
f3,StencilCudaGpu37,400_400_200,1,1,4,134145070
