machine,kernel,size(x),size(y),size(z),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,50,50,50,1,0,0,3853736
f3,StencilCudaGpu37,50,50,50,1,1,1,3821176
f3,StencilCudaGpu37,50,50,50,1,1,2,3887943
f3,StencilCudaGpu37,50,50,50,1,1,3,3811929
f3,StencilCudaGpu37,50,50,50,1,1,4,3881326
f3,StencilCudaGpu37,100,100,100,1,0,0,8131780
f3,StencilCudaGpu37,100,100,100,1,1,1,8007540
f3,StencilCudaGpu37,100,100,100,1,1,2,8185790
f3,StencilCudaGpu37,100,100,100,1,1,3,8566746
f3,StencilCudaGpu37,100,100,100,1,1,4,8145022
f3,StencilCudaGpu37,100,100,100,1,1,5,8231252
f3,StencilCudaGpu37,100,100,100,1,1,6,8249101
f3,StencilCudaGpu37,100,100,100,1,1,7,8113599
f3,StencilCudaGpu37,200,200,100,1,0,0,19697811
f3,StencilCudaGpu37,200,200,100,1,1,1,19518874
f3,StencilCudaGpu37,200,200,100,1,1,2,19606996
f3,StencilCudaGpu37,200,200,100,1,1,3,19723646
f3,StencilCudaGpu37,200,200,100,1,1,4,19715163
f3,StencilCudaGpu37,200,200,100,1,1,5,19657641
f3,StencilCudaGpu37,200,200,100,1,1,6,19702762
f3,StencilCudaGpu37,200,200,100,1,1,7,19705251
f3,StencilCudaGpu37,300,300,100,1,0,0,38784406
f3,StencilCudaGpu37,300,300,100,1,1,1,38715211
f3,StencilCudaGpu37,300,300,100,1,1,2,38633169
f3,StencilCudaGpu37,300,300,100,1,1,3,38958280
f3,StencilCudaGpu37,300,300,100,1,1,4,38730826
f3,StencilCudaGpu37,300,300,100,1,1,5,39118471
f3,StencilCudaGpu37,300,300,100,1,1,6,38668861
f3,StencilCudaGpu37,300,300,100,1,1,7,38647025
f3,StencilCudaGpu37,400,400,100,1,0,0,65860027
f3,StencilCudaGpu37,400,400,100,1,1,1,65583661
f3,StencilCudaGpu37,400,400,100,1,1,2,65594421
f3,StencilCudaGpu37,400,400,100,1,1,3,65983029
f3,StencilCudaGpu37,400,400,100,1,1,4,65789126
f3,StencilCudaGpu37,400,400,100,1,1,5,65538805
f3,StencilCudaGpu37,400,400,100,1,1,6,65790839
f3,StencilCudaGpu37,400,400,100,1,1,7,65867985
f3,StencilCudaGpu37,500,500,100,1,0,0,101690042
f3,StencilCudaGpu37,500,500,100,1,1,1,101661400
f3,StencilCudaGpu37,500,500,100,1,1,2,101378047
f3,StencilCudaGpu37,500,500,100,1,1,3,101705316
f3,StencilCudaGpu37,500,500,100,1,1,4,101469329
f3,StencilCudaGpu37,500,500,100,1,1,5,101649011
f3,StencilCudaGpu37,500,500,100,1,1,6,101709911
f3,StencilCudaGpu37,500,500,100,1,1,7,101355463
f3,StencilCudaGpu37,600,600,100,1,0,0,144314706
f3,StencilCudaGpu37,600,600,100,1,1,1,144448745
f3,StencilCudaGpu37,600,600,100,1,1,2,144395989
f3,StencilCudaGpu37,600,600,100,1,1,3,144635186
f3,StencilCudaGpu37,600,600,100,1,1,4,144401771
f3,StencilCudaGpu37,600,600,100,1,1,5,144436594
f3,StencilCudaGpu37,600,600,100,1,1,6,144347851
f3,StencilCudaGpu37,600,600,100,1,1,7,144407339
f3,StencilCudaGpu37,700,700,100,1,0,0,195782179
f3,StencilCudaGpu37,700,700,100,1,1,1,195349062
f3,StencilCudaGpu37,700,700,100,1,1,2,195196048
f3,StencilCudaGpu37,700,700,100,1,1,3,195289555
f3,StencilCudaGpu37,700,700,100,1,1,4,195298455
f3,StencilCudaGpu37,700,700,100,1,1,5,195254661
f3,StencilCudaGpu37,700,700,100,1,1,6,195401029
f3,StencilCudaGpu37,700,700,100,1,1,7,195387196
f3,StencilCudaGpu37,800,800,100,1,0,0,253245773
f3,StencilCudaGpu37,800,800,100,1,1,1,253189403
f3,StencilCudaGpu37,800,800,100,1,1,2,253587091
f3,StencilCudaGpu37,800,800,100,1,1,3,253140545
f3,StencilCudaGpu37,800,800,100,1,1,4,253911771
f3,StencilCudaGpu37,800,800,100,1,1,5,253450661
f3,StencilCudaGpu37,800,800,100,1,1,6,253953394
f3,StencilCudaGpu37,800,800,100,1,1,7,253281552
f3,StencilCudaGpu37,900,900,100,1,0,0,320995381
f3,StencilCudaGpu37,900,900,100,1,1,1,321945506
f3,StencilCudaGpu37,900,900,100,1,1,2,321179627
f3,StencilCudaGpu37,900,900,100,1,1,3,321217951
f3,StencilCudaGpu37,900,900,100,1,1,4,321031645
f3,StencilCudaGpu37,900,900,100,1,1,5,320928279
f3,StencilCudaGpu37,900,900,100,1,1,6,322138232
f3,StencilCudaGpu37,900,900,100,1,1,7,320983041
f3,StencilCudaGpu37,1000,1000,100,1,0,0,394451605
f3,StencilCudaGpu37,1000,1000,100,1,1,1,394482383
f3,StencilCudaGpu37,1000,1000,100,1,1,2,394536924
