==7042== NVPROF is profiling process 7042, command: ./StencilCudaGpu37 800 800 200 3 3
==7042== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==7042== Profiling application: ./StencilCudaGpu37 800 800 200 3 3
==7042== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,,
115194333.000000,1267.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount",1
115196309.000000,205,,,,,,,,,,,,,,,,,"cuDeviceGetCount",2
115204143.000000,489,,,,,,,,,,,,,,,,,"cuDeviceGet",3
115205064.000000,388,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",4
115207550.000000,297,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",5
115208636.000000,312,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",6
115618634.000000,1020.000000,,,,,,,,,,,,,,,,,"cuDeviceGet",7
115620295.000000,453,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",8
115628478.000000,610,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",9
115639102.000000,631,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",10
115693066.000000,506,,,,,,,,,,,,,,,,,"cuDeviceGetCount",11
115693943.000000,272,,,,,,,,,,,,,,,,,"cuDeviceGet",12
115695021.000000,36222.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",13
115732209.000000,102260.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",14
115834994.000000,359,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",15
115835553.000000,197,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",16
115835972.000000,199,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",17
115836393.000000,209,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",18
115836802.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",19
115837183.000000,29065.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",20
115866787.000000,217,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",21
115867201.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",22
115867586.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",23
115867962.000000,196,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",24
115868352.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",25
115868724.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",26
115869108.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",27
115869486.000000,190,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",28
115869876.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",29
115870250.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",30
115870635.000000,203,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",31
115871050.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",32
115871437.000000,193,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",33
115871827.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",34
115872211.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",35
115872588.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",36
115872963.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",37
115873351.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",38
115873728.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",39
115874110.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",40
115874485.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",41
115874870.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",42
115875251.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",43
115875634.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",44
115876007.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",45
115876392.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",46
115876779.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",47
115877156.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",48
115877541.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",49
115877917.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",50
115878298.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",51
115878669.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",52
115879045.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",53
115879422.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",54
115879796.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",55
115880180.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",56
115880560.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",57
115880941.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",58
115881317.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",59
115881707.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",60
115882087.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",61
115882465.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",62
115882841.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",63
115883229.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",64
115883601.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",65
115883985.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",66
115884359.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",67
115884742.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",68
115885116.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",69
115885501.000000,139728.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",70
116025856.000000,221,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",71
116026273.000000,192,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",72
116026657.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",73
116027030.000000,190,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",74
116027420.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",75
116027794.000000,202,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",76
116028192.000000,194,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",77
116028581.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",78
116028958.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",79
116029339.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",80
116029714.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",81
116030104.000000,246,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",82
116030555.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",83
116030940.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",84
116031317.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",85
116031703.000000,201,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",86
116032103.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",87
116032473.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",88
116032858.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",89
116033229.000000,137710.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",90
116171504.000000,230,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",91
116171935.000000,193,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",92
116172326.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",93
116172703.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",94
116173087.000000,198,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",95
116173486.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",96
116173862.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",97
116174246.000000,618,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",98
116175088.000000,37018.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",99
116212721.000000,236,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",100
116213154.000000,192,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",101
116213541.000000,493,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",102
116214229.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",103
116214605.000000,234,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",104
116215042.000000,195,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",105
116215505.000000,206,,,,,,,,,,,,,,,,,"cuDeviceGet",106
116216221.000000,33938.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",107
116250755.000000,50539.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",108
116301768.000000,245,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",109
116302208.000000,205,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",110
116302621.000000,194,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",111
116303017.000000,196,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",112
116303410.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",113
116303785.000000,32368.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",114
116336691.000000,225,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",115
116337113.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",116
116337486.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",117
116337864.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",118
116338240.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",119
116338613.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",120
116338993.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",121
116339367.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",122
116339744.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",123
116340118.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",124
116340487.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",125
116340870.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",126
116341238.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",127
116341621.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",128
116342005.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",129
116342383.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",130
116342754.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",131
116343127.000000,189,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",132
116343514.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",133
116343899.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",134
116344270.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",135
116344642.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",136
116345024.000000,176,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",137
116345396.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",138
116345764.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",139
116346143.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",140
116346514.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",141
116346884.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",142
116347273.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",143
116347642.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",144
116348020.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",145
116348389.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",146
116348761.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",147
116349137.000000,175,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",148
116349508.000000,178,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",149
116349886.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",150
116350275.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",151
116350658.000000,171,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",152
116351030.000000,173,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",153
116351414.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",154
116351783.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",155
116352154.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",156
116352539.000000,174,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",157
116352910.000000,172,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",158
