==25936== NVPROF is profiling process 25936, command: ./StencilCudaGpu37 200 200 200 1 1
==25936== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25936== Profiling application: ./StencilCudaGpu37 200 200 200 1 1
==25936== Profiling result:
==25936== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex2_cache_sector_queries",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex3_cache_sector_queries",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex2_cache_sector_misses",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"tex3_cache_sector_misses",0,0,0,0
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",129904,129904,129904,129904
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",130103,130103,130103,130103
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",130000,130000,130000,130000
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",130053,130053,130053,130053
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",65000,65000,65000,65000
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",65024,65024,65024,65024
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp2_write_sector_misses",65000,65000,65000,65000
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp3_write_sector_misses",65045,65045,65045,65045
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",65008,65008,65008,65008
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",64896,64896,64896,64896
"GeForce GTX TITAN (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",1,"l2_subp2_read_sector_misses",65123,65123,65123,65123
