==11545== NVPROF is profiling process 11545, command: ./StencilCudaGpu37 800 800 800 6 5
==11545== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==11545== Profiling application: ./StencilCudaGpu37 800 800 800 6 5
==11545== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
115273687.000000,1344.000000,,,,,,,,,,,,,"cuDeviceGetCount",1
115275972.000000,218,,,,,,,,,,,,,"cuDeviceGetCount",2
115283865.000000,458,,,,,,,,,,,,,"cuDeviceGet",3
115284769.000000,350,,,,,,,,,,,,,"cuDeviceGetAttribute",4
115287065.000000,229,,,,,,,,,,,,,"cuDeviceGetAttribute",5
115287864.000000,201,,,,,,,,,,,,,"cuDeviceGetAttribute",6
115651453.000000,566,,,,,,,,,,,,,"cuDeviceGet",7
115652306.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",8
115652860.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",9
115653402.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",10
115675485.000000,352,,,,,,,,,,,,,"cuDeviceGetCount",11
115676080.000000,191,,,,,,,,,,,,,"cuDeviceGet",12
115677103.000000,46061.000000,,,,,,,,,,,,,"cuDeviceGetName",13
115724052.000000,140242.000000,,,,,,,,,,,,,"cuDeviceTotalMem",14
115865162.000000,379,,,,,,,,,,,,,"cuDeviceGetAttribute",15
115865749.000000,189,,,,,,,,,,,,,"cuDeviceGetAttribute",16
115866145.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",17
115866559.000000,198,,,,,,,,,,,,,"cuDeviceGetAttribute",18
115866967.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",19
115867359.000000,30346.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",20
115898184.000000,215,,,,,,,,,,,,,"cuDeviceGetAttribute",21
115898605.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",22
115899008.000000,189,,,,,,,,,,,,,"cuDeviceGetAttribute",23
115899418.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",24
115899816.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",25
115900226.000000,197,,,,,,,,,,,,,"cuDeviceGetAttribute",26
115900628.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",27
115901017.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",28
115901405.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",29
115901793.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",30
115902187.000000,190,,,,,,,,,,,,,"cuDeviceGetAttribute",31
115902587.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",32
115902977.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",33
115903374.000000,248,,,,,,,,,,,,,"cuDeviceGetAttribute",34
115903832.000000,192,,,,,,,,,,,,,"cuDeviceGetAttribute",35
115904230.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",36
115904625.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",37
115905015.000000,249,,,,,,,,,,,,,"cuDeviceGetAttribute",38
115905474.000000,188,,,,,,,,,,,,,"cuDeviceGetAttribute",39
115905872.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",40
115906265.000000,273,,,,,,,,,,,,,"cuDeviceGetAttribute",41
115906749.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",42
115907151.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",43
115907542.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",44
115907932.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",45
115908312.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",46
115908710.000000,189,,,,,,,,,,,,,"cuDeviceGetAttribute",47
115909105.000000,252,,,,,,,,,,,,,"cuDeviceGetAttribute",48
115909571.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",49
115909960.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",50
115910357.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",51
115910749.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",52
115911141.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",53
115911529.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",54
115911912.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",55
115912308.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",56
115912697.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",57
115913079.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",58
115913474.000000,192,,,,,,,,,,,,,"cuDeviceGetAttribute",59
115913876.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",60
115914272.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",61
115914662.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",62
115915063.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",63
115915453.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",64
115915848.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",65
115916230.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",66
115916626.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",67
115917014.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",68
115917407.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",69
115917795.000000,139511.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",70
116057866.000000,233,,,,,,,,,,,,,"cuDeviceGetAttribute",71
116058308.000000,194,,,,,,,,,,,,,"cuDeviceGetAttribute",72
116058709.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",73
116059096.000000,188,,,,,,,,,,,,,"cuDeviceGetAttribute",74
116059490.000000,204,,,,,,,,,,,,,"cuDeviceGetAttribute",75
116059904.000000,195,,,,,,,,,,,,,"cuDeviceGetAttribute",76
116060303.000000,195,,,,,,,,,,,,,"cuDeviceGetAttribute",77
116060707.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",78
116061103.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",79
