==30857== NVPROF is profiling process 30857, command: ./StencilCudaGpu37 200 200 200 3 3
==30857== Profiling application: ./StencilCudaGpu37 200 200 200 3 3
==30857== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
133861975.000000,4243.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
133870185.000000,693,,,,,,,,,,,,,,,"cuDeviceGetCount"
133872221.000000,790,,,,,,,,,,,,,,,"cuDeviceGet"
133876525.000000,736,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134377995.000000,1593.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134384405.000000,826,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134392908.000000,673,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134394931.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134699601.000000,1594.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134701888.000000,597,,,,,,,,,,,,,,,"cuDeviceGet"
134707631.000000,179684.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
134892785.000000,220927.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135115139.000000,1013.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135116659.000000,480,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135117609.000000,590,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135118689.000000,533,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135119699.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135120712.000000,56530.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135178345.000000,594,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135179429.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135180375.000000,614,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135181482.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135182489.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135183429.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135184349.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135185305.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135186245.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135187192.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135188112.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135189035.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135189955.000000,537,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135190982.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135191905.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135192825.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135193752.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135194679.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135195659.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135196579.000000,533,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135197595.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135198519.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135199432.000000,420,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135200335.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135201262.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135202175.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135203162.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135204082.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135205012.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135205935.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135206905.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135207955.000000,500,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135208945.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135209882.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135210879.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135211822.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135212765.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135213695.000000,441,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135214682.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135215616.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135216546.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135217486.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135218422.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135219372.000000,444,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135220302.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135221236.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135222169.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135223082.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135223996.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135224919.000000,258630.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135484996.000000,616,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135486102.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135487046.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135488036.000000,503,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135489039.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135489942.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135490879.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135491866.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135492799.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135493712.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135494626.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135495549.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135496492.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135497412.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135498326.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135499226.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135500162.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135501082.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135501996.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135502909.000000,249920.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135754026.000000,630,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135755126.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135756079.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135757009.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135757929.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135758832.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135759819.000000,423,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135760729.000000,1530.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135762749.000000,99381.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135863616.000000,618,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135864684.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135895796.000000,218692079.000000,,,,,,,,,,,,,,,"cudaMallocHost"
354591472.000000,29559125.000000,,,,,,,,,,,,,,,"cudaMallocHost"
538181612.000000,5463.000000,,,,,,,,,,,,,,,"cudaGetDeviceCount"
538188052.000000,640034.000000,,,,,,,,,,,,,,,"cudaGetDeviceProperties"
538831791.000000,188080.000000,,,,,,,,,,,,,,,"cudaMemGetInfo"
539063056.000000,609811.000000,,,,,,,,,,,,,,,"cudaMalloc"
539674166.000000,266147.000000,,,,,,,,,,,,,,,"cudaMalloc"
539941380.000000,245174.000000,,,,,,,,,,,,,,,"cudaMalloc"
540187558.000000,224303.000000,,,,,,,,,,,,,,,"cudaMalloc"
540417091.000000,10225585.000000,,,,,,,,,,,,,,,"cudaMemcpy"
540485208.000000,10126372.000000,,,,,,,,,,61.035156,5.886081,"Tesla K20m (0)","1","7","[CUDA memcpy HtoD]"
550649211.000000,2236.000000,,,,,,,,,,,,,,,"cudaConfigureCall"
550652703.000000,1286.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
550654417.000000,420,,,,,,,,,,,,,,,"cudaSetupArgument"
550655123.000000,1111.000000,,,,,,,,,,,,,,,"cudaSetupArgument"
550656674.000000,367,,,,,,,,,,,,,,,"cudaSetupArgument"
550657323.000000,444,,,,,,,,,,,,,,,"cudaSetupArgument"
550658103.000000,330,,,,,,,,,,,,,,,"cudaSetupArgument"
550658827.000000,339,,,,,,,,,,,,,,,"cudaSetupArgument"
550659444.000000,342,,,,,,,,,,,,,,,"cudaSetupArgument"
550660193.000000,811,,,,,,,,,,,,,,,"cudaSetupArgument"
550661441.000000,392,,,,,,,,,,,,,,,"cudaSetupArgument"
550665367.000000,91826.000000,,,,,,,,,,,,,,,"cudaLaunch (gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [121])"
550754819.000000,44226.000000,1,13,4,200,1,1,18,0,0.000000,,,"Tesla K20m (0)","1","7","gpu_stencil37_hack1_cp_slices(double*, double*, double*, double*, int, int, int, int, int, int) [121]"
550758056.000000,735,,,,,,,,,,,,,,,"cudaConfigureCall"
550759253.000000,520,,,,,,,,,,,,,,,"cudaSetupArgument"
