==6202== NVPROF is profiling process 6202, command: ./StencilCudaGpu37 400 400 800 30 10
==6202== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6202== Profiling application: ./StencilCudaGpu37 400 400 800 30 10
==6202== Profiling result:
==6202== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex0_cache_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex1_cache_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex2_cache_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex3_cache_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex0_cache_sector_misses",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex1_cache_sector_misses",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex2_cache_sector_misses",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"tex3_cache_sector_misses",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"fb_subp0_read_sectors",2495429,2497803,2496121,481751378
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"fb_subp1_read_sectors",2495208,2497988,2496092,481745776
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"fb_subp0_write_sectors",2462829,2471069,2466831,476098455
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"fb_subp1_write_sectors",2462232,2470758,2467248,476178989
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp0_write_sector_misses",1000001,1000003,1000001,193000328
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp1_write_sector_misses",1000000,1000009,1000005,193001033
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp2_write_sector_misses",1000000,1000001,1000000,193000002
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp3_write_sector_misses",1000002,1000003,1000002,193000404
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp0_read_sector_misses",1000080,1000888,1000215,193041596
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp1_read_sector_misses",1000080,1000858,1000215,193041527
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp2_read_sector_misses",1000048,1000832,1000189,193036560
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp3_read_sector_misses",1000047,1000887,1000185,193035820
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp0_write_l1_sector_queries",1000000,1000000,1000000,193000000
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp1_write_l1_sector_queries",1000000,1000000,1000000,193000000
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp2_write_l1_sector_queries",1000000,1000000,1000000,193000000
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp3_write_l1_sector_queries",1000000,1000000,1000000,193000000
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp0_read_l1_sector_queries",1000016,1000016,1000016,193003088
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",193,"l2_subp1_read_l1_sector_queries",1000016,1000016,1000016,193003088
