==31110== NVPROF is profiling process 31110, command: ./StencilCudaGpu37 800 800 400 3 3
==31110== Profiling application: ./StencilCudaGpu37 800 800 400 3 3
==31110== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
133527440.000000,2864.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
133533529.000000,650,,,,,,,,,,,,,,,"cuDeviceGetCount"
133535249.000000,664,,,,,,,,,,,,,,,"cuDeviceGet"
133538591.000000,670,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133972562.000000,1074.000000,,,,,,,,,,,,,,,"cuDeviceGet"
133977407.000000,558,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133984871.000000,511,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133986264.000000,534,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134279069.000000,1393.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134281064.000000,480,,,,,,,,,,,,,,,"cuDeviceGet"
134285198.000000,61393.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
134348118.000000,175447.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
134524445.000000,605,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134525431.000000,351,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134526151.000000,445,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134526994.000000,416,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134527791.000000,349,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134528528.000000,210788.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134743382.000000,1306.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134745092.000000,375,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134745843.000000,384,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134746598.000000,400,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134747385.000000,369,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134748130.000000,391,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134748918.000000,382,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134749678.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134750412.000000,360,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134751170.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134751921.000000,357,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134752650.000000,358,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134753389.000000,485,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
