==20490== NVPROF is profiling process 20490, command: ./StencilCudaGpu37 200 200 200 5 3
==20490== Profiling application: ./StencilCudaGpu37 200 200 200 5 3
==20490== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
134528572.000000,3938.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
134536443.000000,643,,,,,,,,,,,,,,,"cuDeviceGetCount"
134538184.000000,723,,,,,,,,,,,,,,,"cuDeviceGet"
134542427.000000,539,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135004068.000000,1449.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135009938.000000,699,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135018021.000000,600,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135019871.000000,455,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135386680.000000,13436.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135400653.000000,251,,,,,,,,,,,,,,,"cuDeviceGet"
135403199.000000,133440.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135541771.000000,220966.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135764291.000000,963,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135765713.000000,452,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135766605.000000,563,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135767630.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135768590.000000,452,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135769507.000000,54744.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135825319.000000,581,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135826371.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135827276.000000,618,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135828353.000000,449,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135829270.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135830177.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135831094.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135831990.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135832879.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135833768.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135834657.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135835547.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135836430.000000,535,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135837430.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135838325.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135839211.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135840101.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135840999.000000,471,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135841925.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135842821.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135843710.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135844611.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135845501.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135846399.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135847304.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135848199.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135849097.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135849993.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135850901.000000,507,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135851867.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135852759.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135853697.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135854670.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135855559.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135856451.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135857353.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135858251.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135859147.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135860039.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135860928.000000,428,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135861811.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135862713.000000,431,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135863596.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
