==509== NVPROF is profiling process 509, command: ./StencilCudaGpu37 1000 1000 100 9 5
==509== Profiling application: ./StencilCudaGpu37 1000 1000 100 9 5
==509== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
135016009.000000,4277.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135024429.000000,527,,,,,,,,,,,,,,,"cuDeviceGetCount"
135025989.000000,897,,,,,,,,,,,,,,,"cuDeviceGet"
135030369.000000,757,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135540623.000000,1660.000000,,,,,,,,,,,,,,,"cuDeviceGet"
135547073.000000,847,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135555707.000000,716,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135557617.000000,543,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135961824.000000,1658.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135964190.000000,502,,,,,,,,,,,,,,,"cuDeviceGet"
135969387.000000,88970.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
136060810.000000,372283.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
136437883.000000,1754.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136440193.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136441167.000000,566,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136442223.000000,537,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136443223.000000,454,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136444157.000000,68150.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136513837.000000,653,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136514990.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136515944.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136516880.000000,514,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136517877.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136518807.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136519757.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136520717.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136521660.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136522584.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136523517.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136524434.000000,426,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136525347.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136526304.000000,466,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136527257.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136528170.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136529090.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136530057.000000,553,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136531100.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136531994.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136532914.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136533894.000000,453,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136534837.000000,457,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136535780.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136536917.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136537840.000000,427,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136538760.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136539684.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136540614.000000,503,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136541600.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136542570.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136543484.000000,513,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136544484.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136545400.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136546320.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136547234.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136548150.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136549067.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136549990.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136551067.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136552054.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136552970.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136553897.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136554827.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136555804.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136556734.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136557660.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136558580.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136559480.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136560407.000000,261407.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136823191.000000,660,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136824328.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136825274.000000,434,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136826191.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136827124.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
