==15210== NVPROF is profiling process 15210, command: ./StencilCudaGpu37 1000 1000 200 4 5
==15210== Profiling application: ./StencilCudaGpu37 1000 1000 200 4 5
==15210== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
133598296.000000,3870.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
133606069.000000,720,,,,,,,,,,,,,,,"cuDeviceGetCount"
133607972.000000,900,,,,,,,,,,,,,,,"cuDeviceGet"
133612189.000000,683,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134759420.000000,1500.000000,,,,,,,,,,,,,,,"cuDeviceGet"
134765683.000000,794,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134774213.000000,687,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134775993.000000,577,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135084070.000000,1540.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
135086573.000000,620,,,,,,,,,,,,,,,"cuDeviceGet"
135092330.000000,190610.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
135288517.000000,219553.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
135509667.000000,1027.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135511204.000000,470,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135512144.000000,623,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135513257.000000,523,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135514267.000000,487,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135515270.000000,57341.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135573714.000000,580,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135574774.000000,477,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135575741.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135576671.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135577621.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135578564.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135579527.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135580461.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135581394.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135582317.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135583314.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135584244.000000,610,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135585337.000000,574,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135586401.000000,563,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135587451.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135588374.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135589301.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135590231.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135591157.000000,430,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135592054.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135592977.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135593911.000000,603,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135594994.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135595911.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135597064.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135597984.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135598911.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135599831.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135600767.000000,444,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135601701.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135602621.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135603541.000000,526,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135604551.000000,433,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135605464.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135606384.000000,490,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135607361.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135608287.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135609214.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135610144.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135611071.000000,443,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135612001.000000,436,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135612921.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135613851.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135614784.000000,510,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135615781.000000,466,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135616734.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135617664.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135618587.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135619487.000000,437,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135620407.000000,330924.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135953074.000000,690,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135954258.000000,473,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135955224.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135956154.000000,467,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135957114.000000,450,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135958048.000000,483,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135959018.000000,476,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135959981.000000,567,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135961031.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135961981.000000,460,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135962931.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135963888.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135964828.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135965758.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135966688.000000,446,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135967621.000000,463,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135968564.000000,447,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135969494.000000,444,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135970428.000000,493,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
135971408.000000,251986.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136224608.000000,680,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136225761.000000,487,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136226728.000000,456,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
136227651.000000,440,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
