machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"tex0_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex1_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex2_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex3_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex0_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex1_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex2_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex3_cache_sector_misses",0,0,0
f3,200_200_50,300,"fb_subp0_read_sectors",42588,42863,42682
f3,200_200_50,300,"fb_subp1_read_sectors",42581,42898,42690
f3,200_200_50,300,"fb_subp0_write_sectors",40065,40259,40150
f3,200_200_50,300,"fb_subp1_write_sectors",39982,40196,40107
f3,200_200_50,300,"l2_subp0_write_sector_misses",16253,16256,16254
f3,200_200_50,300,"l2_subp1_write_sector_misses",16256,16263,16259
f3,200_200_50,300,"l2_subp2_write_sector_misses",16248,16248,16248
f3,200_200_50,300,"l2_subp3_write_sector_misses",16250,16251,16250
f3,200_200_50,300,"l2_subp0_read_sector_misses",16320,16402,16327
f3,200_200_50,300,"l2_subp1_read_sector_misses",16179,16269,16190
f3,200_200_50,300,"l2_subp2_read_sector_misses",16348,16428,16353
f3,200_200_50,300,"l2_subp3_read_sector_misses",16163,16251,16169
f3,200_200_50,300,"l2_subp0_write_l1_sector_queries",16252,16252,16252
f3,200_200_50,300,"l2_subp1_write_l1_sector_queries",16252,16252,16252
f3,200_200_50,300,"l2_subp2_write_l1_sector_queries",16248,16248,16248
f3,200_200_50,300,"l2_subp3_write_l1_sector_queries",16248,16248,16248
f3,200_200_50,300,"l2_subp0_read_l1_sector_queries",16320,16320,16320
f3,200_200_50,300,"l2_subp1_read_l1_sector_queries",16176,16176,16176
f3,200_200_50,300,"l2_subp2_read_l1_sector_queries",16344,16344,16344
f3,200_200_50,300,"l2_subp3_read_l1_sector_queries",16160,16160,16160
f3,200_200_50,300,"l2_subp0_read_l1_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp1_read_l1_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp2_read_l1_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp3_read_l1_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp0_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp1_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp2_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp3_read_tex_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp0_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp1_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp2_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp3_read_tex_hit_sectors",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_thread_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_thread_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_thread_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_thread_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_thread_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_thread_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_thread_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_thread_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_thread_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_warp_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_warp_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_warp_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_warp_count_32b",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_warp_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_warp_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_warp_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_warp_count_64b",0,0,0
f3,200_200_50,300,"rocache_subp0_gld_warp_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp1_gld_warp_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp2_gld_warp_count_128b",0,0,0
f3,200_200_50,300,"rocache_subp3_gld_warp_count_128b",0,0,0
f3,200_200_50,300,"l2_subp0_read_sysmem_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp1_read_sysmem_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp2_read_sysmem_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp3_read_sysmem_sector_queries",0,0,0
f3,200_200_50,300,"l2_subp0_write_sysmem_sector_queries",0,4,0
f3,200_200_50,300,"l2_subp1_write_sysmem_sector_queries",0,4,1
f3,200_200_50,300,"l2_subp2_write_sysmem_sector_queries",0,5,1
f3,200_200_50,300,"l2_subp3_write_sysmem_sector_queries",0,5,1
f3,200_200_50,300,"l2_subp0_total_read_sector_queries",16343,16485,16360
f3,200_200_50,300,"l2_subp1_total_read_sector_queries",16199,16307,16218
f3,200_200_50,300,"l2_subp2_total_read_sector_queries",16364,16452,16374
f3,200_200_50,300,"l2_subp3_total_read_sector_queries",16180,16276,16189
f3,200_200_50,300,"l2_subp0_total_write_sector_queries",16253,16260,16255
f3,200_200_50,300,"l2_subp1_total_write_sector_queries",16256,16267,16260
f3,200_200_50,300,"l2_subp2_total_write_sector_queries",16249,16253,16250
f3,200_200_50,300,"l2_subp3_total_write_sector_queries",16250,16254,16250
f3,200_200_50,300,"elapsed_cycles_sm",657839,679016,667162
f3,200_200_50,300,"gld_inst_8bit",0,0,0
f3,200_200_50,300,"gld_inst_16bit",0,0,0
f3,200_200_50,300,"gld_inst_32bit",0,0,0
f3,200_200_50,300,"gld_inst_64bit",260000,260000,260000
f3,200_200_50,300,"gld_inst_128bit",0,0,0
f3,200_200_50,300,"gst_inst_8bit",0,0,0
f3,200_200_50,300,"gst_inst_16bit",0,0,0
f3,200_200_50,300,"gst_inst_32bit",0,0,0
f3,200_200_50,300,"gst_inst_64bit",260000,260000,260000
f3,200_200_50,300,"gst_inst_128bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_8bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_16bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_32bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_64bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_128bit",0,0,0
f3,200_200_50,300,"prof_trigger_00",0,0,0
f3,200_200_50,300,"prof_trigger_01",0,0,0
f3,200_200_50,300,"prof_trigger_02",0,0,0
f3,200_200_50,300,"prof_trigger_03",0,0,0
f3,200_200_50,300,"prof_trigger_04",0,0,0
f3,200_200_50,300,"prof_trigger_05",0,0,0
f3,200_200_50,300,"prof_trigger_06",0,0,0
f3,200_200_50,300,"prof_trigger_07",0,0,0
f3,200_200_50,300,"atom_cas_count",0,0,0
f3,200_200_50,300,"warps_launched",91,91,91
f3,200_200_50,300,"threads_launched",2600,2600,2600
f3,200_200_50,300,"inst_executed",125034,125034,125034
f3,200_200_50,300,"inst_issued1",86685,86701,86690
