==18132== NVPROF is profiling process 18132, command: ./StencilCudaGpu37 800 800 800 3 3
==18132== Profiling application: ./StencilCudaGpu37 800 800 800 3 3
==18132== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
139698383.000000,2795.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
139703259.000000,198,,,,,,,,,,,,,,,"cuDeviceGetCount"
139703990.000000,247,,,,,,,,,,,,,,,"cuDeviceGet"
139704651.000000,230,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139731218.000000,276,,,,,,,,,,,,,,,"cuDeviceGet"
139731673.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139732223.000000,145,,,,,,,,,,,,,,,"cuDeviceGet"
139732512.000000,138,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139732875.000000,137,,,,,,,,,,,,,,,"cuDeviceGet"
139733157.000000,138,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139979216.000000,486,,,,,,,,,,,,,,,"cuDeviceGet"
139981505.000000,265,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139984970.000000,239,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
139985608.000000,168,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
140559293.000000,494,,,,,,,,,,,,,,,"cuDeviceGet"
140560173.000000,196,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
140560732.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
140561144.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141101688.000000,367,,,,,,,,,,,,,,,"cuDeviceGet"
141102284.000000,178,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141102716.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141115847.000000,277,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141742639.000000,3412.000000,,,,,,,,,,,,,,,"cuDeviceGet"
141746810.000000,768,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141748083.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
141748872.000000,310,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142464109.000000,1926.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
142466519.000000,331,,,,,,,,,,,,,,,"cuDeviceGet"
142469810.000000,51237.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
142521669.000000,164718.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
142686810.000000,300,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142687299.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142687628.000000,166,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142687954.000000,171,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142688290.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142688607.000000,58384.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142747441.000000,212,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142747811.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142748119.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142748439.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142748753.000000,2148.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142751126.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142751440.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142751751.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142752064.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142752373.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142752684.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142752994.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142753295.000000,304,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142753761.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142754071.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142754372.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142754681.000000,141,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142754983.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142755286.000000,297,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142755751.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142756054.000000,318,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142756534.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142756850.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142757160.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142757472.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142757776.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142758085.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142758398.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142758711.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142759018.000000,302,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142759480.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142759779.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142760087.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142760402.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142760717.000000,141,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142761020.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142761329.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142761633.000000,141,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142761935.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142762236.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142762539.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142762848.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142763160.000000,138,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142763459.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142763770.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142764078.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142764379.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142764690.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142765002.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142765311.000000,205948.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142971692.000000,200,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142972047.000000,184,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142972392.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142972694.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142973010.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142973336.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142973644.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142973973.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142974284.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142974596.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142974904.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142975224.000000,313,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142975699.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142976012.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142976327.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142976640.000000,166,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142976964.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142977281.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142977599.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
142977911.000000,202506.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143180800.000000,208,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143181164.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143181487.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143181799.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143182105.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143182416.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143182732.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143183045.000000,112822.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143296594.000000,63048.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143360092.000000,218,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143360471.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143360842.000000,205,,,,,,,,,,,,,,,"cuDeviceGet"
143361621.000000,46279.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
143408349.000000,181297.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
143590163.000000,208,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143590532.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143590841.000000,174,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143591164.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143591470.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143591784.000000,44376.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143636492.000000,197,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143636846.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143637155.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143637471.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143637770.000000,191,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143638123.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143638430.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143638744.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143639041.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143639348.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143639649.000000,236,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143640040.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143640333.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143640646.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143640956.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143641254.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143641560.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143641867.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143642168.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143642478.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143642783.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143643102.000000,230,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143643487.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143643803.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143644122.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143644422.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143644713.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143645015.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143645323.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143645630.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143645955.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143646255.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143646560.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143646866.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143647173.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143647468.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143647773.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143648070.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143648364.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143648667.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143648975.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143649282.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143649583.000000,141,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143649887.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143650208.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143650515.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143650816.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143651117.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143651433.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143651744.000000,216723.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143868868.000000,184,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143869202.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143869507.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143869806.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143870116.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143870426.000000,165,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143870734.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143871047.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143871349.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143871671.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143871982.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143872286.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143872604.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143872908.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143873224.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143873559.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143873855.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143874161.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143874469.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
143874772.000000,215115.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144090253.000000,202,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144090611.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144090922.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144091223.000000,141,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144091520.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144091826.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144092122.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144092431.000000,421,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144093002.000000,66371.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144159764.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144160095.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144160434.000000,157,,,,,,,,,,,,,,,"cuDeviceGet"
144161017.000000,44214.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
144205652.000000,160913.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
144366945.000000,186,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144367286.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144367587.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144367887.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144368191.000000,226,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144368575.000000,42660.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144411585.000000,181,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144411924.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144412217.000000,237,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144412611.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144412906.000000,168,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144413230.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144413526.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144413825.000000,139,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144414117.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144414415.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144414718.000000,139,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144415007.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144415303.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144415609.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144415907.000000,139,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144416192.000000,142,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144416490.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144416790.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144417090.000000,238,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144417484.000000,149,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144417787.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144418076.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144418374.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144418672.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144418968.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144419263.000000,139,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144419551.000000,140,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144419847.000000,176,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144420167.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144420465.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144420766.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144421057.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144421351.000000,138,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144421638.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144421944.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144422248.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144422558.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144422848.000000,143,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144423134.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144423428.000000,139,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
144423729.000000,145,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
