==18236== NVPROF is profiling process 18236, command: ./StencilCudaGpu37 1000 1000 1000 3 3
==18236== Profiling application: ./StencilCudaGpu37 1000 1000 1000 3 3
==18236== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
128553699.000000,2606.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
128558244.000000,220,,,,,,,,,,,,,,,"cuDeviceGetCount"
128558915.000000,258,,,,,,,,,,,,,,,"cuDeviceGet"
128559641.000000,257,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128586301.000000,277,,,,,,,,,,,,,,,"cuDeviceGet"
128586745.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128587280.000000,138,,,,,,,,,,,,,,,"cuDeviceGet"
128587561.000000,137,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128587941.000000,133,,,,,,,,,,,,,,,"cuDeviceGet"
128588224.000000,133,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128812642.000000,511,,,,,,,,,,,,,,,"cuDeviceGet"
128814962.000000,258,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128827931.000000,222,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
128828602.000000,180,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129218428.000000,503,,,,,,,,,,,,,,,"cuDeviceGet"
129219177.000000,211,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129219694.000000,150,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129220118.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129774069.000000,387,,,,,,,,,,,,,,,"cuDeviceGet"
129774698.000000,187,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129775174.000000,12617.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
129788484.000000,199,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130404185.000000,2564.000000,,,,,,,,,,,,,,,"cuDeviceGet"
130407495.000000,625,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130460861.000000,385,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130473244.000000,517,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131113116.000000,713,,,,,,,,,,,,,,,"cuDeviceGetCount"
131114492.000000,276,,,,,,,,,,,,,,,"cuDeviceGet"
131117874.000000,68745.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
131189796.000000,162580.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
131352849.000000,504,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131353528.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131353856.000000,262,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131354280.000000,234,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131354675.000000,178,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131355015.000000,49492.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131404957.000000,212,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131405325.000000,161,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131405647.000000,192,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131405993.000000,173,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131406327.000000,3338.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131409936.000000,192,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131410296.000000,171,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131410626.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131410954.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131411276.000000,178,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131411615.000000,221,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131411997.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131412316.000000,282,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131412758.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131413081.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131413402.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
