==27325== NVPROF is profiling process 27325, command: ./StencilCudaGpu37 400 400 800 10 5
==27325== Profiling application: ./StencilCudaGpu37 400 400 800 10 5
==27325== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,
130167710.000000,4606.000000,,,,,,,,,,,,,,,"cuDeviceGetCount"
130174852.000000,208,,,,,,,,,,,,,,,"cuDeviceGetCount"
130175585.000000,557,,,,,,,,,,,,,,,"cuDeviceGet"
130176492.000000,482,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130214180.000000,320,,,,,,,,,,,,,,,"cuDeviceGet"
130214779.000000,190,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130215390.000000,156,,,,,,,,,,,,,,,"cuDeviceGet"
130215798.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130216221.000000,156,,,,,,,,,,,,,,,"cuDeviceGet"
130216539.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130494489.000000,567,,,,,,,,,,,,,,,"cuDeviceGet"
130497330.000000,289,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130507198.000000,266,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130507989.000000,197,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130982891.000000,543,,,,,,,,,,,,,,,"cuDeviceGet"
130983784.000000,272,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130984455.000000,170,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
130984899.000000,297,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131518181.000000,433,,,,,,,,,,,,,,,"cuDeviceGet"
131518961.000000,214,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131519474.000000,166,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
131520017.000000,179,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132241231.000000,2751.000000,,,,,,,,,,,,,,,"cuDeviceGet"
132244674.000000,648,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132247659.000000,252,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132248351.000000,332,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
132942211.000000,823,,,,,,,,,,,,,,,"cuDeviceGetCount"
132943607.000000,306,,,,,,,,,,,,,,,"cuDeviceGet"
132950183.000000,55863.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
133006842.000000,171606.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
133178880.000000,296,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133179379.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133179740.000000,192,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133180099.000000,222,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133180494.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133180836.000000,43287.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133224527.000000,269,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133224968.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133225296.000000,204,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133225680.000000,202,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133226056.000000,2299.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133228612.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133228957.000000,455,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133229616.000000,164,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133229958.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133230323.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133230657.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133231023.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133231399.000000,241,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133231813.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133232172.000000,203,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133232575.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133232917.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133233288.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133233611.000000,234,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133234049.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133234404.000000,243,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133234820.000000,201,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133235237.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133235559.000000,235,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133235965.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133236295.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133236623.000000,169,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133236966.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133237302.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133237639.000000,234,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133238047.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133238373.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133238700.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133239034.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133239365.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133239691.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133240020.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133240344.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133240679.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133241006.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133241333.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133241672.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133241998.000000,144,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133242324.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133242655.000000,201,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133243037.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133243362.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133243690.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133244023.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133244356.000000,220932.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133465864.000000,257,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133466288.000000,201,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133466738.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133467077.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133467489.000000,161,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133467899.000000,176,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133468243.000000,295,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133468718.000000,163,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133469050.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133469456.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133469861.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133470197.000000,248,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133470696.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133471095.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133471433.000000,183,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133472093.000000,242,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133472501.000000,162,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133472920.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133473247.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133473575.000000,208401.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133682480.000000,238,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133682886.000000,215,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133683283.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133683614.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133683942.000000,157,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133684279.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133684611.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133684939.000000,104027.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133789496.000000,70464.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133860437.000000,244,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133860847.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
133861209.000000,239,,,,,,,,,,,,,,,"cuDeviceGet"
133862024.000000,46830.000000,,,,,,,,,,,,,,,"cuDeviceGetName"
133909354.000000,171343.000000,,,,,,,,,,,,,,,"cuDeviceTotalMem"
134081089.000000,211,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134081460.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134081857.000000,185,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134082289.000000,169,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134082619.000000,199,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134083080.000000,45722.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134129154.000000,225,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134129638.000000,161,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134130049.000000,209,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134130437.000000,201,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134130889.000000,200,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134131338.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134131664.000000,170,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134132087.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134132403.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134132819.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134133234.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134133554.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134133953.000000,161,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134134370.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134134684.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134135099.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134135421.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134135742.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134136060.000000,218,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134136450.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134136771.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134137105.000000,210,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134137482.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134137801.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134138135.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134138454.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134138766.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134139085.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134139410.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134139732.000000,164,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134140073.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134140394.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134140702.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134141024.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134141357.000000,148,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134141665.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134141997.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134142305.000000,151,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134142623.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134142938.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134143273.000000,147,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134143601.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134143916.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134144240.000000,154,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134144567.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134144896.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134145219.000000,155,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134145541.000000,161,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134145863.000000,160,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134146201.000000,219846.000000,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134366487.000000,233,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134366883.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134367205.000000,202,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134367568.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134367894.000000,159,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134368225.000000,158,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134368545.000000,173,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134368889.000000,167,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134369238.000000,146,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134369564.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134369891.000000,152,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134370215.000000,230,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134370606.000000,153,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134370925.000000,156,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
134371257.000000,180,,,,,,,,,,,,,,,"cuDeviceGetAttribute"
